B2 F2 D' R' B L
F2 B2 D' R' B L
B' L U R' F' U' F'
U' L U2 L2 F2 B' L
U' L U2 L2 B' L F2
U' L U2 L2 B' F2 L
U L U2 L' F2 B' L
U L U2 L' B' L F2
U L U2 L' B' F2 L
U L U2 F2 L' B' L
U' L D2 F B2 U2 L'
U' L D2 B2 F U2 L'
U' L F U2 D2 F L'
U' L F D2 U2 F L'
U' L F B R' U2 F
U' L F B' U2 F L
B' L F2 U R' F' U'
B2 L F2 D' R' B L
B' L F2 B' D' R' B
U' L B R' F U2 F
U L B R' F' U2 F'
U' L B F R' U2 F
U L B' L F2 R B
U' L B' F U2 F L
B' L B' F2 D' R' B
B2 L' F2 D' R' B L
U' L' F2 B' D2 L R2
U' L' F2 B' D2 R2 L
U' L' B' L' F2 L2 R
U' L' B' L' F2 R L2
U' L' B' F2 D2 L R2
U' L' B' F2 D2 R2 L
U' L2 F2 L R B' L
U' L2 F2 L B' L R
U' L2 F2 L B' R L
U' L2 F2 R L B' L
U' L2 F2 R B' L B'
B2 L2 F2 D' R' B L
U' L2 F2 B' L R B'
U' L2 F2 B' L B' R
U' L2 F2 B' R L B'
U L2 F2 R B' L B2
U L2 F2 B' L R B
U L2 F2 B' R L B
U L2 F2 B2 R B L
U' L2 B' F2 L R B'
U' L2 B' F2 L B' R
U' L2 B' F2 R L B'
U L2 B' F2 L R B
U L2 B' F2 R L B
U L2 B2 F2 R B L
L2 U F2 R B' L B2
L2 U F2 B' L R B
L2 U F2 B' R L B
L2 U F2 B2 R B L
L2 U B' F2 L R B
L2 U B' F2 R L B
L2 U B2 F2 R B L
L2 U' L' U2 F2 B' L
L2 U' L' U2 B' L F2
L2 U' L' U2 B' F2 L
L' U' L' F2 R B' L
L' U' L' F2 B' L R
L' U' L' F2 B' R L
L' U' L' B' F2 L R
L' U' L' B' F2 R L
L U' L' U' F2 B' L
L U' L' U' B' L F2
L U' L' U' B' F2 L
L2 U' L' B' L F2 R
F2 R B2 D' R' B L
L2 U' F2 L' R B' L
L2 U' F2 L' B' L R
L2 U' F2 L' B' R L
L2 U' F2 R L' B' L
B2 R' F2 D B L B'
F2 R' B2 D' R' B L
L U2 F2 B' D' L B'
L U2 B' F2 D' L B'
U R2 F2 B2 R' B L
F2 R2 B2 D' R' B L
U R2 B2 R' F2 B L
U R2 B2 R' B L F2
U R2 B2 R' B F2 L
U R2 B2 F2 R' B L
B' U R' F' U' L F'
B' U R' F' U' F' L
D2 U' L F B2 U2 L'
D2 U' L B2 F U2 L'
U' D2 L F B2 U2 L'
U' D2 L B2 F U2 L'
B2 D' R' D F2 B L
B2 D' R' D B L F2
B2 D' R' D B F2 L
B2 D' R' B D L F2
B2 D' R' B D F2 L
U' F2 L' B' D2 L R2
U' F2 L' B' D2 R2 L
U F2 R2 B2 R' B L
U' F2 B' L' B' L2 R'
U' F2 B' L' B' R' L2
L2 F2 B' L R D B2
L2 F2 B' R L D B2
L2 F2 B' R D L B2
R' F2 B2 D' R' B L
U2 F2 B' D' L B' R'
U2 F2 B2 D R' B L
R2 F2 B2 D' R' B L
U F2 B2 R B L R2
U F2 B2 R B R2 L
R F2 B2 D' R' B L
L B R' U L U F2
U' B' L' F2 B' L2 R'
U' B' L' F2 B' R' L2
U' B' L' B' L2 R' F2
U' B' L' B' L2 F2 R'
U' B' L' B' R' L2 F2
U' B' L' B' R' F2 L2
U' B' L' B' F2 L2 R'
U' B' L' B' F2 R' L2
L B' L F2 R D B2
B2 F D' R' F B L
B2 F D' R' B F L
B2 F D' F R' B L
L2 B' R' U' F2 L R
L2 B' R' U' F2 R L
F2 B' L U R' F' U'
F2 B' L B' D' R' B
L B' U' R' U' L F2
L B' U' R' U' F2 L
F2 B' U R' F' U' L
U' B' F2 L' B' L2 R'
U' B' F2 L' B' R' L2
L2 B' F2 L R D B2
L2 B' F2 R L D B2
L2 B' F2 R D L B2
U2 B' F2 D' L B' R'
B2 F' D' F' R' B L
B' F2 L U R' F' U'
B' F2 L B' D' R' B
B2 F2 L D' R' B L
F2 B2 L D' R' B L
B2 F2 L' D' R' B L
F2 B2 L' D' R' B L
B2 F2 L2 D' R' B L
F2 B2 L2 D' R' B L
U B2 R F2 B L R2
U B2 R F2 B R2 L
U B2 R B L R2 F2
U B2 R B L F2 R2
U B2 R B R2 L F2
U B2 R B R2 F2 L
U B2 R B F2 L R2
U B2 R B F2 R2 L
B2 F2 R' D B L B'
F2 B2 R' D B L B'
B' F2 U R' F' U' L
B2 F2 D R' B L B'
F2 B2 D R' B L B'
B2 F2 D B L B' R'
F2 B2 D B L B' R'
B2 F2 D' L R' B L
B2 F2 D' L' R' B L
B2 F2 D' L2 R' B L
F2 B2 D' L R' B L
F2 B2 D' L' R' B L
B2 F2 D' R' L B L
B2 F2 D' R' L' B L
