F' L' D2 F' R U R
D U L R2 F B' U2
D U L R2 B' F U2
U D L R2 F B' U2
U D L R2 B' F U2
D U L F R2 B' U2
D U L F B' R2 U2
D U L B' R2 F U2
D U L B' F R2 U2
U D L F R2 B' U2
U D L F B' R2 U2
U D L B' R2 F U2
U D L B' F R2 U2
D U R2 L F B' U2
D U R2 L B' F U2
U D R2 L F B' U2
U D R2 L B' F U2
U' D' L2 F2 R F' B
U' D' L2 F2 R B F'
D' U' L2 F2 R F' B
D' U' L2 F2 R B F'
D2 F R B2 L' U' R'
D2 F B2 L' R U' R2
D2 F B2 R L' U' R2
B2 F' L' F' U R' F'
F' B2 L' F' U R' F'
B2 F2 U D R' F' B
B2 F2 U D R' B F'
F2 B2 U D R' F' B
F2 B2 U D R' B F'
D2 B2 F L' R U' R2
D2 B2 F R L' U' R2
B2 F2 D U R' F' B
B2 F2 D U R' B F'
F2 B2 D U R' F' B
F2 B2 D U R' B F'
