B' L U2 B U' R'
D L U' R B' R2 F'
U' L U2 L' D' R' B
U' L U2 D' L' R' B
U' L U2 D' R' L' B
U' L U2 D' R' B L'
B' L U2 F B U' R'
B' L U2 F' B U' R'
B' L U2 F2 B U' R'
B' L U2 B U' R' D
B' L U2 B U' R' D'
B' L U2 B U' R' D2
B' L U2 B U' D R'
B' L U2 B U' D' R'
B' L U2 B U' D2 R'
B' L U2 B D U' R'
B' L U2 B D' U' R'
B' L U2 B D2 U' R'
B' L U2 B F U' R'
B' L U2 B F' U' R'
B' L U2 B F2 U' R'
U' L D' U2 L' R' B
U' L D' U2 R' L' B
U' L D' U2 R' B L'
B' L F U2 B U' R'
B' L F' U2 B U' R'
B' L F2 U2 B U' R'
B' L B' U2 B2 U' R'
D L' U F U2 F' R'
U' L' U2 L D' R' B
U' L' U2 R' D L B'
U' L' U2 D L R' B'
U' L' U2 D R' L B'
U' L' U2 D' L R' B
U' L' U2 D' R' L B
U' L' D U2 L R' B'
U' L' D U2 R' L B'
U' L' D' U2 L R' B
U' L' D' U2 R' L B
U' L2 U2 L2 D' R' B
B2 L2 D2 F2 U R B
D' R U2 R' U R' B
R2 U' D' R' F2 B R2
R2 U' D' R' B R2 F2
R2 U' D' R' B F2 R2
U R' U2 D' R F' U2
U R' D' U2 R F' U2
D2 R' F' R U' R' F'
B R' F' B' U' R' F'
B R' F2 B' L' U' R'
R U2 R' U D' R' B
R U2 R' D' U R' B
R2 U2 R2 U D' R' B
R2 U2 R2 D' U R' B
B R' B' U' R' D' F2
B R' B' U2 R U R2
B R' B' F' U' R' F'
B R' B' F2 L' U' R'
R2 U2 B' L R2 U R'
R2 U2 B' R2 L U R'
U' D L U2 R' B' L'
U' D L' F U2 L R'
U' D L' F U2 R' L
D U L' F U2 F' R'
U D L' F U2 F' R'
D' U R B R2 B L
D' U R B2 L R2 B
D' U R B2 R2 L B
D' U R' F2 L' F2 B
D' U R' F2 L' B F2
D' U R' F2 B L' F2
D' U R' B U2 R U2
D' U R' B F2 L' F2
D U R B2 L R2 B'
D U R B2 L B' R2
D U R B2 R2 L B'
U D R B2 L R2 B'
U D R B2 L B' R2
U D R B2 R2 L B'
D' U R2 D2 L2 R B
D' U R2 D2 R L2 B
D' U R2 D2 R B L2
B U R' F' B' U' F
B U R' B' F' U' F
D' U F U2 F' R' B
D' U F' U2 R' F B
D' U F' U2 R' B F
D' U F' U2 F R' B
D' U F2 R' F2 L' B
D' U F2 R' F2 B L'
D' U F2 R' B F2 L'
D' U F2 U2 R' F2 B
D' U F2 U2 R' B F2
D' U F2 U2 F2 R' B
R2 D' R' U' F2 B R2
R2 D' R' U' B R2 F2
R2 D' R' U' B F2 R2
D' U' L U2 L' R' B
D' U' L U2 R' L' B
D' U' L U2 R' B L'
U' D' L U2 L' R' B
U' D' L U2 R' L' B
U' D' L U2 R' B L'
U' D' L' U2 L R' B
D' U' L' U2 L R' B
U' D' L' U2 R' L B
D' U' L' U2 R' L B
D U' L U2 R' B' L'
U' D' L2 R' B L2 F
D' U' L2 R' B L2 F
U' D' L2 U2 L2 R' B
D' U' L2 U2 L2 R' B
U' D' L2 U2 R' L2 B
D' U' L2 U2 R' L2 B
U' D' L2 U2 R' B L2
D' U' L2 U2 R' B L2
D U' L' F U2 L R'
D U' L' F U2 R' L
R2 D' U' R' F2 B R2
R2 D' U' R' B R2 F2
R2 D' U' R' B F2 R2
B2 U' L U2 D L2 B'
B2 U' L D U2 L2 B'
B2 U' L D F U2 L2
B2 U' L D' R2 F U2
B2 U' L D' F R2 U2
B2 U' L F U' B2 U'
B2 U' L F U2 D L2
B2 U' L F D U2 L2
B2 U' L F D' R2 U2
U' D' R B' R2 F' B
D' U' R B' R2 F' B
D' U' R B' R2 B F'
U' D' R B' R2 B F'
U' D' R' L2 B L2 F
D' U' R' L2 B L2 F
U' D' R' B L2 F L2
D' U' R' B L2 F L2
U' D' R' B U2 B' U2
D' U' R' B U2 B' U2
U' D' R' B2 D2 F2 B'
U' D' R' B2 D2 B' F2
D' U' R' B2 D2 F2 B'
D' U' R' B2 D2 B' F2
U D' R B R2 B L
U D' R B2 L R2 B
U D' R B2 R2 L B
U D' R' F2 L' F2 B
U D' R' F2 L' B F2
U D' R' F2 B L' F2
U D' R' B U2 R U2
U D' R' B F2 L' F2
U D' R2 D2 L2 R B
U D' R2 D2 R L2 B
U D' R2 D2 R B L2
R D' F2 U2 R' U B
U D' F U2 F' R' B
B2 U' D L F U2 L
U D' F' U2 R' F B
U D' F' U2 R' B F
U D' F' U2 F R' B
B2 U' D' L R2 F U2
B2 U' D' L F R2 U2
U D' F2 R' F2 L' B
U D' F2 R' F2 B L'
U D' F2 R' B F2 L'
B2 U' D' R2 L F U2
U D' F2 U2 R' F2 B
U D' F2 U2 R' B F2
U D' F2 U2 F2 R' B
U' D' B' R' B R' F'
D' U' B' R' B R' F'
R' D2 F' R U' R' F'
B U2 R' F B' U' R
B U2 R' B' F U' R
B2 U2 F R B2 U' R'
B2 U2 F B2 R U' R2
B U2 F R' B' U' R2
B' U2 B U' D' R' B
B' U2 B D' U' R' B
U2 F R2 B R' U' R2
B' U2 B2 R' B' U' R'
B2 U2 B2 R2 U' R B
B2 U2 B2 U' R B R2
B2 U2 B2 F R U' R2
B' D L B' U D L2
B' D L B' U2 B2 U'
B' D L B' D U L2
B' D L B' D2 F2 U
