B2 L U R2 F' L'
B2 L U L R2 F' L'
B2 L U L' R2 F' L'
B2 L U L2 R2 F' L'
B2 L U R2 L F' L'
B2 L U R2 L' F' L'
B2 L U R2 L2 F' L'
B2 L U R2 D F' L'
B2 L U R2 D' F' L'
B2 L U R2 D2 F' L'
B2 L U R2 F' L' D
B2 L U R2 F' L' D'
B2 L U R2 F' L' D2
B2 L U R2 F' D L'
B2 L U R2 F' D' L'
B2 L U R2 F' D2 L'
B2 L U F' L' R2 F'
B2 L U F' R2 L' F'
B2 L U' B U2 L R2
B2 L U' B U2 R2 L
B2 L F U R2 F' L'
L2 R B R2 U' R' F
L2 R B R2 U' F R'
B2 L F' U R2 F' L'
B2 L F2 U R2 F' L'
L2 R' U' R' D' F L'
L2 R' U' F R' D' L2
L2 R' U' F D' L2 R'
L2 R' U' F D' R' L2
L2 R' U2 F' U R' F2
L2 R' U2 F' U F2 R'
L2 R' F' U' R' F2 L'
R' L2 U' R' D' F L'
R' L2 U' F R' D' L2
R' L2 U' F D' L2 R'
R' L2 U' F D' R' L2
R' L2 U2 F' U R' F2
R' L2 U2 F' U F2 R'
R' L2 F' U' R' F2 L'
R L2 B R2 U' R' F
R L2 B R2 U' F R'
B' R U' B R' U' R2
R' U' L2 R' D' F L'
R' U' L2 F R' D' L2
R' U' L2 F D' L2 R'
R' U' L2 F D' R' L2
R' U' R' L2 D' F L'
R' U' R' D' L2 F L'
R' U' F R' D' L2 F
R' U' F D' L2 R' F
R' U' F D' L2 F R'
R' U' F D' R' L2 F
D' R' F2 L2 B' U' F
L U2 R' U' F' L' R'
L U2 R' U' F' R' L'
B2 U R2 F' L' D' B2
B' U' B R' U' L R'
B' U' B R' U' R' L
B2 U2 L F U R2 F'
R' F U' R' D' L2 F
R' F U' D' L2 R' F
R' F U' D' L2 F R'
R' F U' D' R' L2 F
R' F D' U' L2 R' F
R' F D' U' L2 F R'
R' F D' U' R' L2 F
R2 F D' L2 F L' B'
R' F' U' B' U2 B R'
R B R2 U B2 L U2
R B R2 U' R' D2 F2
R B R2 U' D2 R' F2
R B R2 U' D2 F2 R'
R B R2 D L2 U' R'
R B R2 D2 U' R' F2
R B R2 D2 U' F2 R'
B2 F L U R2 F' L'
R B D L2 U' R B2
R B D L2 U' B2 R
U' B' R' U2 D' R' B
U' B' R' D' U2 R' B
B2 F' L U R2 F' L'
R B' U' B2 R2 U' R'
R B' U2 D L2 R B2
R B' U2 D L2 B2 R
R B' U2 D R L2 B2
R B' U2 D R B2 L2
R B' U2 D B2 L2 R
R B' U2 D B2 R L2
R B' D U2 L2 R B2
R B' D U2 L2 B2 R
R B' D U2 R L2 B2
R B' D U2 R B2 L2
R B' D U2 B2 L2 R
R B' D U2 B2 R L2
R B' D' R2 F2 U2 R'
R B' D' F2 L' R2 U2
R B' D' F2 R2 L' U2
U2 B2 L F U R2 F'
D B2 L U' B U2 L
F' B2 L U R2 F' L'
B2 F2 L U R2 F' L'
F2 B2 L U R2 F' L'
F B2 L U R2 F' L'
U B2 R2 F' L' D' B2
