F R' B U' F2
F L R' B U' F2
F L' R' B U' F2
F L2 R' B U' F2
F R' L B U' F2
F R' L' B U' F2
F R' L2 B U' F2
F R' D' L2 B U'
F R' D' B L2 U'
F' R' F2 B U' F2
F' R' B F2 U' F2
F R' B L U' F2
F R' B L' U' F2
F R' B L2 U' F2
F R' B U' F2 D
F R' B U' F2 D'
F R' B U' F2 D2
F R' B D' L2 U'
F' U R' F2 B U'
F' U R' B F2 U'
F' U F2 R' B U'
R' D' F L' B U'
R' D' F B L' U'
R' D' B F L' U'
U' F R' B U' F2
D' F R' U' L' F2
U2 F R' B U' F2
U F R' B U' F2
R' B D' F L' U'
F L R' D' L2 B U'
F L R' D' B L2 U'
F' L R' F2 B U' F2
F' L R' B F2 U' F2
F L R' B L U' F2
F L R' B L' U' F2
F L R' B L2 U' F2
F L R' B U' F2 D
F L R' B U' F2 D'
F L R' B U' F2 D2
F L R' B D' L2 U'
F' L U R' F2 B U'
F' L U R' B F2 U'
F' L U F2 R' B U'
F' L F2 R' B U' F2
F L' R' D' L2 B U'
F L' R' D' B L2 U'
F' L' R' F2 B U' F2
F' L' R' B F2 U' F2
F L' R' B L U' F2
F L' R' B L' U' F2
F L' R' B L2 U' F2
F L' R' B U' F2 D
F L' R' B U' F2 D'
F L' R' B U' F2 D2
F L' R' B D' L2 U'
F' L' U R' F2 B U'
F' L' U R' B F2 U'
F' L' U F2 R' B U'
R' L' B U' F R F'
L' R' B U' F R F'
F' L' F2 R' B U' F2
F' L2 R' F2 B U' F2
F' L2 R' B F2 U' F2
F L2 R' D' L2 B U'
F L2 R' D' B L2 U'
F L2 R' B L U' F2
F L2 R' B L' U' F2
F L2 R' B L2 U' F2
F L2 R' B U' F2 D
F L2 R' B U' F2 D'
F L2 R' B U' F2 D2
F L2 R' B D' L2 U'
F' L2 U R' F2 B U'
F' L2 U R' B F2 U'
F' L2 U F2 R' B U'
F' L2 F2 R' B U' F2
F' R U R2 F2 B U'
F' R U R2 B F2 U'
F R B R2 B U' F2
R U' R2 F B L U'
F R B' R2 B U' F2
R U' R2 B F L U'
F R B2 R2 B U' F2
F' R' L F2 B U' F2
F' R' L B F2 U' F2
F R' L D' L2 B U'
F R' L D' B L2 U'
F R' L B L U' F2
F R' L B L' U' F2
F R' L B L2 U' F2
F R' L B U' F2 D
F R' L B U' F2 D'
F R' L B U' F2 D2
F R' L B D' L2 U'
F' R' L' F2 B U' F2
F' R' L' B F2 U' F2
F R' L' D' L2 B U'
F R' L' D' B L2 U'
F R' L' B L U' F2
F R' L' B L' U' F2
F R' L' B L2 U' F2
F R' L' B U' F2 D
F R' L' B U' F2 D'
F R' L' B U' F2 D2
F R' L' B D' L2 U'
F' R' L2 F2 B U' F2
F' R' L2 B F2 U' F2
F R' L2 D' L2 B U'
F R' L2 D' B L2 U'
F R' L2 B L U' F2
F R' L2 B L' U' F2
F R' L2 B L2 U' F2
F R' L2 B U' F2 D
F R' L2 B U' F2 D'
F R' L2 B U' F2 D2
F R' L2 B D' L2 U'
F R' U' F2 U B U'
F R' U2 R2 F' U F'
F R' U2 D R2 F' U
F2 R' D B U' R' F
F2 R' D B U' F R'
F R' D U2 R2 F' U
U' R' D' F L' B U'
U' R' D' F B L' U'
F R' D B U' D' F2
F R' D B U2 R2 U
F R' D B D' U' F2
F R' D B D2 L2 U'
U' R' D' B F L' U'
U2 R' D' F L' B U'
U2 R' D' F B L' U'
F R' D' L' B L' U'
F R' D' L2 D B U'
F R' D' L2 D' B U'
F R' D' L2 D2 B U'
F R' D' L2 B U' D
F R' D' L2 B U' D'
F R' D' L2 B U' D2
F R' D' L2 B D U'
F R' D' L2 B D' U'
F R' D' L2 B D2 U'
U2 R' D' B F L' U'
U R' D' F L' B U'
U R' D' F B L' U'
F R' D' B L2 U' D
F R' D' B L2 U' D'
F R' D' B L2 U' D2
F R' D' B L2 D U'
F R' D' B L2 D' U'
F R' D' B L2 D2 U'
F R' D' B U' D F2
F R' D' B D U' F2
F R' D' B' L2 B2 U'
U R' D' B F L' U'
D R' D2 F U' L' F
D' R' F U' D2 L' F
D' R' F D2 U' L' F
F R' D2 B U B U2
F' R' F2 L B U' F2
F' R' F2 L' B U' F2
F' R' F2 L2 B U' F2
F' R' F2 D' L2 B U'
F' R' F2 D' B L2 U'
F' R' F2 B L U' F2
F' R' F2 B L' U' F2
F' R' F2 B L2 U' F2
F' R' F2 B U' F2 D
F' R' F2 B U' F2 D'
F' R' F2 B U' F2 D2
F' R' F2 B D' L2 U'
F' R' B L F2 U' F2
F' R' B L' F2 U' F2
F' R' B L2 F2 U' F2
U' R' B D' F L' U'
F R' B L U' F2 D
F R' B L U' F2 D'
F R' B L U' F2 D2
F R' B L D' L2 U'
F' R' B F2 L U' F2
F' R' B F2 L' U' F2
F' R' B F2 L2 U' F2
F' R' B F2 U' F2 D
F' R' B F2 U' F2 D'
F' R' B F2 U' F2 D2
F R' B L' U' F2 D
F R' B L' U' F2 D'
F R' B L' U' F2 D2
F' R' B F2 D' L2 U'
F R' B L' D' L2 U'
