B' R' F2 U B'
F2 B' R' U B'
B' F2 R' U B'
B' R F2 R2 U B'
F2 R B' R' U B'
B' R' U D' B' L2
B' R' U B' D' L2
B' R' D' U B' L2
B' R' F2 U D B'
B' R' F2 U D' B'
B' R' F2 U D2 B'
B' R' F2 U B' D
B' R' F2 U B' D'
B' R' F2 U B' D2
B' R' F2 D U B'
B' R' F2 D' U B'
B' R' F2 D2 U B'
F2 R' B' R' U B'
F2 R2 B' R' U B'
B2 U' F2 B R' U
B2 U' B R' F2 U
B2 U' B F2 R' U
F2 D B' L2 R' U
F2 D B' R' L2 U
B' D' R' U B' L2
R' F2 B' R' U B'
R2 F2 B' R' U B'
R F2 B' R' U B'
B' F R' F U B'
R' B' R' F2 U B'
R2 B' R' F2 U B'
R B' R' F2 U B'
F2 B' R' U D B'
F2 B' R' U D' B'
F2 B' R' U D2 B'
F2 B' R' U B' D
F2 B' R' U B' D'
F2 B' R' U B' D2
F2 B' R' D U B'
F2 B' R' D' U B'
F2 B' R' D2 U B'
F B' R' F U B'
R' B' F2 R' U B'
R2 B' F2 R' U B'
F2 B' D R' U B'
F2 B' D' R' U B'
F2 B' D2 R' U B'
R B' F2 R' U B'
B' F2 R' U D B'
B' F2 R' U D' B'
B' F2 R' U D2 B'
B' F2 R' U B' D
B' F2 R' U B' D'
B' F2 R' U B' D2
B' F2 R' D U B'
B' F2 R' D' U B'
B' F2 R' D2 U B'
B' F2 D R' U B'
B' F2 D' R' U B'
B' F2 D2 R' U B'
B' L R' F2 L' U B'
D' L R2 U' L F R
F2 L U B' R' F' B'
F2 L U B' R' B' F'
B L U' D' L2 B R2
B L U' D' B L2 R2
B L U' D' B R2 L2
B2 L U' F2 B R' U
B2 L U' B R' F2 U
B2 L U' B F2 R' U
B L U2 F2 B2 U B'
B L U2 B2 F2 U B'
B L D' U' L2 B R2
B L D' U' B L2 R2
B L D' U' B R2 L2
B L D2 F2 B2 U' B'
B L D2 B2 F2 U' B'
B' L F2 L' R' U B'
B' L F2 R' L' U B'
B2 L F2 B R' U B'
B2 L B R' F2 U B'
B2 L B F2 R' U B'
F2 L B' R' U B' R'
B' L' R' F2 L U B'
B2 L' U' F2 B R' U
B2 L' U' B R' F2 U
B2 L' U' B F2 R' U
B L' D' L2 B R2 F'
B L' D' B L2 R2 F'
B L' D' B R2 L2 F'
B L' D' B R2 F' L2
B' L' F2 L R' U B'
B' L' F2 R' L U B'
B' L' F2 D2 R' U B
B2 L' F2 B R' U B'
B2 L' B R' F2 U B'
B2 L' B F2 R' U B'
B' L2 R F2 R2 U B
B' L2 R' U D' L2 B'
B' L2 R' D' U L2 B'
B' L2 R' F2 U' F' U2
B2 L2 U' F2 B R' U
B2 L2 U' B R' F2 U
B2 L2 U' B F2 R' U
F2 L2 D L2 B' R' U
B' L2 D' R' U L2 B'
B2 L2 F2 B R' U B'
B L2 F2 B2 R U B'
B2 L2 B R' F2 U B'
B2 L2 B F2 R' U B'
B L2 B2 F2 R U B'
B' R L2 F2 R2 U B
B' R U D' F2 B' L2
B' R U D' B' L2 F2
B' R U D' B' F2 L2
B' R U B' D' L2 F2
B' R U B' D' F2 L2
F2 R D B' L2 R' U
F2 R D B' R' L2 U
B2 R D' L2 R F' R
B2 R D' L2 F' R F'
B2 R D' R L2 F' R
B2 R D' R F' L2 R
B2 R D' R F' R L2
B' R D' U F2 B' L2
B' R D' U B' L2 F2
B' R D' U B' F2 L2
B2 R D' F' L2 R F'
B2 R D' F' R L2 F'
B2 R D' F' R F' L2
B' R F R2 F U B'
F R F B' R' U B'
B' R F2 R2 U D B'
B' R F2 R2 U D' B'
B' R F2 R2 U D2 B'
B' R F2 R2 U B' D
B' R F2 R2 U B' D'
B' R F2 R2 U B' D2
B' R F2 R2 D U B'
B' R F2 R2 D' U B'
B' R F2 R2 D2 U B'
B' R F2 U D' F2 B'
B' R F2 U D' B' F2
B' R F2 U B' D' F2
B' R F2 D' U F2 B'
B' R F2 D' U B' F2
B R F2 B2 R' U B
F' R B' R' F' U B'
F2 R B' R' U D B'
F2 R B' R' U D' B'
F2 R B' R' U D2 B'
F2 R B' R' U B' D
F2 R B' R' U B' D'
F2 R B' R' U B' D2
F2 R B' R' D U B'
F2 R B' R' D' U B'
F2 R B' R' D2 U B'
F2 R B' D R' U B'
F2 R B' D' R' U B'
F2 R B' D2 R' U B'
F R B' R' F U B'
F R B' F R' U B'
B R B2 R' F2 U B
B R B2 F2 R' U B
B' R' L F2 L' U B'
B' R' L' F2 L U B'
B' R' L2 U D' L2 B'
B' R' L2 D' U L2 B'
B' R' L2 F2 U' F' U2
B' R' U L2 D' L2 B'
B' R' U D B' D2 L2
B' R' U D' B L2 B2
B' R' U D' B' L2 D
B' R' U D' B' L2 D'
B' R' U D' B' L2 D2
B' R' U D' B2 L2 B
B' R' U B' L D' L2
B' R' U B' L' D' L2
B' R' U B' L2 D' L2
B' R' U B' U' F2 U
B' R' U B' D' L2 D
B' R' U B' D' L2 D'
B' R' U B' D' L2 D2
B' R' U B2 D' L2 B
B' R' U B2 D' B L2
B' R' U' D R2 U2 B'
B' R' U2 D2 B2 U' B
B' R' D U B' D2 L2
B' R' D U' R2 U2 B'
F2 R' D B' L2 R' U
F2 R' D B' R' L2 U
B' R' D' U B L2 B2
B' R' D' U B' L2 D
B' R' D' U B' L2 D'
B' R' D' U B' L2 D2
B' R' D' U B2 L2 B
B' R' D' F U B' L2
B' R' D' F' U B' L2
B' R' D' F2 U B' L2
B' R' D2 U2 B2 U' B
B' R' F D F U B'
B' R' F D' F U B'
B' R' F D2 F U B'
B' R' F' D F' U B'
B' R' F' D' F' U B'
B' R' F' D2 F' U B'
F R' F B' R' U B'
B' R' F2 L2 U' F U2
B' R' F2 U R' B' R
B' R' F2 U R2 B' R2
B' R' F2 U D B' D
B' R' F2 U D B' D'
B' R' F2 U D B' D2
B' R' F2 U D' B' D
B' R' F2 U D' B' D'
B' R' F2 U D' B' D2
B' R' F2 U D2 B' D
B' R' F2 U D2 B' D'
B' R' F2 U D2 B' D2
B' R' F2 U B2 D B
B' R' F2 U B2 D' B
B' R' F2 U B2 D2 B
B' R' F2 U' F U2 B'
B' R' F2 U' F' U2 B'
B' R' F2 U' F2 U2 B'
B' R' F2 U2 R U' B'
B' R' F2 U2 R' U' B'
B' R' F2 U2 R2 U' B'
B' R' F2 D U B' D
B' R' F2 D U B' D'
B' R' F2 D U B' D2
B' R' F2 D' U B' D
B' R' F2 D' U B' D'
B' R' F2 D' U B' D2
B' R' F2 D2 U B' D
B' R' F2 D2 U B' D'
B' R' F2 D2 U B' D2
U R' F2 B' U F B'
U R' F2 B' U B' F
F2 R' B' R' U D B'
F2 R' B' R' U D' B'
F2 R' B' R' U D2 B'
F2 R' B' R' U B' D
F2 R' B' R' U B' D'
F2 R' B' R' U B' D2
F2 R' B' R' D U B'
F2 R' B' R' D' U B'
F2 R' B' R' D2 U B'
F2 R' B' D R' U B'
F2 R' B' D' R' U B'
F2 R' B' D2 R' U B'
F R' B' R' F U B'
F R' B' F R' U B'
D' R2 L U' L F R
U R' B' F2 U F B'
U R' B' F2 U B' F
F2 R2 D B' L2 R' U
F2 R2 D B' R' L2 U
B' R2 D' R U B' L2
F R2 F B' R' U B'
F2 R2 B' R' U D B'
F2 R2 B' R' U D' B'
F2 R2 B' R' U D2 B'
F2 R2 B' R' U B' D
F2 R2 B' R' U B' D'
F2 R2 B' R' U B' D2
F2 R2 B' R' D U B'
F2 R2 B' R' D' U B'
F2 R2 B' R' D2 U B'
F2 R2 B' D R' U B'
F2 R2 B' D' R' U B'
F2 R2 B' D2 R' U B'
F R2 B' R' F U B'
F R2 B' F R' U B'
B' U F2 R' U R B'
B' U F2 R' U B' R
B2 U B R' F2 L' U
B U F2 B2 R' U B'
B U B2 R' F2 U B'
B U B2 F2 R' U B'
B2 U' F B R' F U
B2 U' F2 B R' U D
B2 U' F2 B R' U D'
B2 U' F2 B R' U D2
B2 U' F2 B R' D U
B2 U' F2 B R' D' U
B2 U' F2 B R' D2 U
B2 U' F2 B D R' U
B2 U' F2 B D' R' U
B2 U' F2 B D2 R' U
B2 U' B R F2 R2 U
B2 U' B R' U D' L2
B2 U' B R' D' U L2
B2 U' B R' F2 U D
B2 U' B R' F2 U D'
B2 U' B R' F2 U D2
B2 U' B R' F2 D U
B2 U' B R' F2 D' U
B2 U' B R' F2 D2 U
B2 U' B D' R' U L2
B2 U' B F R' F U
B U' F2 B2 R' U B'
B2 U' B F2 R' U D
B2 U' B F2 R' U D'
B2 U' B F2 R' U D2
B2 U' B F2 R' D U
B2 U' B F2 R' D' U
B2 U' B F2 R' D2 U
B2 U' B F2 D R' U
B2 U' B F2 D' R' U
B2 U' B F2 D2 R' U
B U' B2 R' F2 U B'
B U' B2 F2 R' U B'
B' U2 D2 B2 L U' B
F U2 F R B' U B'
F U2 F B' R U B'
U2 F R F B' U B'
U2 F R B' F U B'
B U2 F2 B2 R' U B'
F U2 B' F R U B'
B U2 B2 R' F2 U B'
B U2 B2 F2 R' U B'
L2 F U2 F R U B2
B' D R' U B2 L B
B' D R' U' R' U2 B'
F2 D R B' L2 R' U
F2 D R B' R' L2 U
F2 D R' B' L2 R' U
F2 D R' B' R' L2 U
R' F B' R' F U B'
U2 F B' R F U B'
F2 D R2 B' L2 R' U
F2 D R2 B' R' L2 U
R2 F B' R' F U B'
R F B' R' F U B'
F' D F' B' L2 R' U
F' D F' B' R' L2 U
F D F B' L2 R' U
F D F B' R' L2 U
F' D B' L2 F' R' U
F2 D B' L2 R' U D
F2 D B' L2 R' U D'
F2 D B' L2 R' U D2
F2 D B' L2 R' D U
F2 D B' L2 R' D' U
F2 D B' L2 R' D2 U
F2 D B' L2 D R' U
F2 D B' L2 D' R' U
F2 D B' L2 D2 R' U
F2 D B' R' L2 U D
F2 D B' R' L2 U D'
F2 D B' R' L2 U D2
F2 D B' R' L2 D U
F2 D B' R' L2 D' U
F2 D B' R' L2 D2 U
F2 D B' R' U D' B2
F2 D B' R' D' U B2
F' D B' F' L2 R' U
F' D B' F' R' L2 U
F2 D B' D' R' U B2
F2 D B2 L2 B R' U
F D B' R' F L2 U
F D B' F L2 R' U
F D B' F R' L2 U
B D' L U' L B R2
B2 D' L2 R D' F' R
B2 D' R L2 D' F' R
B' D' R' U B L2 B2
B' D' R' U B' L2 D
B' D' R' U B' L2 D'
B' D' R' U B' L2 D2
B' D' R' U B2 L2 B
B' D' R' D F2 U B'
B' D' R' F U B' L2
B' D' R' F' U B' L2
B' D' R' F2 U B' L2
L' F2 L B' R' U B'
B' D' F R' U B' L2
B' D' F' R' U B' L2
B' D' F2 R' U B' L2
R' F2 R B' R' U B'
L F2 L' B' R' U B'
R' F2 R' B' R' U B'
R2 F2 R B' R' U B'
R' F2 R2 B' R' U B'
R2 F2 R' B' R' U B'
R F2 R B' R' U B'
F2 D' B' R' U2 R' U'
F2 D' B' D R' U B2
F2 D' B' D2 L2 R' U
F2 D' B' D2 R' L2 U
U F2 R' B' U F' B'
U F2 R' B' U B' F'
R2 F2 R2 B' R' U B'
R F2 R' B' R' U B'
R F2 R2 B' R' U B'
L F2 U B' R' F' B'
L F2 U B' R' B' F'
L2 F2 U2 F' L' U' B2
B D2 L F2 B2 U' B'
R' F2 D B' L2 R' U
R' F2 D B' R' L2 U
B D2 L B2 F2 U' B'
R2 F2 D B' L2 R' U
R2 F2 D B' R' L2 U
B' D2 R' U D B' L2
B' D2 R' U2 B2 U' B
B' D2 R' D U B' L2
B' D2 R' D2 F2 U B'
R F2 D B' L2 R' U
R F2 D B' R' L2 U
R' F2 B' R' U D B'
R' F2 B' R' U D' B'
R' F2 B' R' U D2 B'
R' F2 B' R' U B' D
R' F2 B' R' U B' D'
R' F2 B' R' U B' D2
R' F2 B' R' D U B'
R' F2 B' R' D' U B'
R' F2 B' R' D2 U B'
R' F2 B' D R' U B'
R' F2 B' D' R' U B'
R' F2 B' D2 R' U B'
R2 F2 B' R' U D B'
R2 F2 B' R' U D' B'
R2 F2 B' R' U D2 B'
R2 F2 B' R' U B' D
R2 F2 B' R' U B' D'
R2 F2 B' R' U B' D2
R2 F2 B' R' D U B'
R2 F2 B' R' D' U B'
R2 F2 B' R' D2 U B'
R2 F2 B' D R' U B'
R2 F2 B' D' R' U B'
R2 F2 B' D2 R' U B'
L F2 B' R' U B' R'
U F2 B' R' U F' B'
U F2 B' R' U B' F'
R F2 B' R' U D B'
R F2 B' R' U D' B'
R F2 B' R' U D2 B'
R F2 B' R' U B' D
R F2 B' R' U B' D'
R F2 B' R' U B' D2
R F2 B' R' D U B'
R F2 B' R' D' U B'
R F2 B' R' D2 U B'
B' D2 U2 B2 L U' B
R F2 B' D R' U B'
R F2 B' D' R' U B'
R F2 B' D2 R' U B'
B D2 F2 L B2 U' B'
F2 D2 B' R' U D2 B2
F2 D2 B' R' U' F2 U2
F2 D2 B' R' D' L2 U
F2 D2 B' R' D2 U B2
F2 D2 B' D' L2 R' U
F2 D2 B' D' R' L2 U
F2 D2 B' D2 R' U B2
B' F R F R2 U B'
B' F R' D F U B'
B' F R' D' F U B'
B' F R' D2 F U B'
B' F R' F U D B'
B' F R' F U D' B'
B' F R' F U D2 B'
B' F R' F U B' D
B' F R' F U B' D'
B' F R' F U B' D2
B' F R' F D U B'
B' F R' F D' U B'
B' F R' F D2 U B'
F2 B R B2 R' U B
B2 F U' F B R' U
B2 F U' B R' F U
B2 F U' B F R' U
B' F D R' F U B'
B' F D F R' U B'
B' F D' R' F U B'
B' F D' F R' U B'
D B' L2 R' U' R' U2
R' B' R F2 R2 U B'
D B' L2 D' R' F2 U
D B' L2 D' F2 R' U
D B' L2 D2 R' U L2
R' B' R' U D' B' L2
R' B' R' U B' D' L2
B' F D2 R' F U B'
D2 B' R' D' L2 F U
D' B' R' U2 R' U' L2
R' B' R' D' U B' L2
B' F D2 F R' U B'
R' B' R' F2 U D B'
R' B' R' F2 U D' B'
R' B' R' F2 U D2 B'
R' B' R' F2 U B' D
R' B' R' F2 U B' D'
R' B' R' F2 U B' D2
R' B' R' F2 D U B'
R' B' R' F2 D' U B'
R' B' R' F2 D2 U B'
R2 B' R F2 R2 U B'
R2 B' R' U D' B' L2
R2 B' R' U B' D' L2
D B' R' L2 U' R' U2
D B' R' U D' B2 L
R2 B' R' D' U B' L2
D B' R' D' U B2 L
R2 B' R' F2 U D B'
R2 B' R' F2 U D' B'
R2 B' R' F2 U D2 B'
R2 B' R' F2 U B' D
R2 B' R' F2 U B' D'
R2 B' R' F2 U B' D2
R2 B' R' F2 D U B'
R2 B' R' F2 D' U B'
R2 B' R' F2 D2 U B'
R B' R F2 R2 U B'
R B' R' U D' B' L2
L B' R' F2 U B' R'
R B' R' U B' D' L2
U B' R' F2 U F B'
U B' R' F2 U B' F
F2 B' L' D2 R' U B
R B' R' D' U B' L2
R B' R' F2 U D B'
R B' R' F2 U D' B'
R B' R' F2 U D2 B'
R B' R' F2 U B' D
R B' R' F2 U B' D'
R B' R' F2 U B' D2
R B' R' F2 D U B'
R B' R' F2 D' U B'
R B' R' F2 D2 U B'
F2 B' L2 R' U' F U2
F2 B' R U D' F2 B'
F2 B' R U D' B' F2
F2 B' R U B' D' F2
B' F' R' U D B' L
F2 B' R D' U F2 B'
F2 B' R D' U B' F2
B' F' R' D U B' L
D' B' D R' F2 U B2
F' B' R' U D B' L
F' B' R' D U B' L
