L B' U L R' F2
L B' U L F2 R'
L B' U R' L F2
L B' U R' F2 L
L B' U F2 L R'
L B' U F2 R' L
R' L B' U L R' F2
R' L B' U L F2 R'
R' L B' U R' L F2
R' L B' U R' F2 L
R' L B' U F2 L R'
R' L B' U F2 R' L
R2 L B' U L R' F2
R2 L B' U L F2 R'
L R B' U L R' F2
L R B' U L F2 R'
R2 L B' U R' L F2
R2 L B' U R' F2 L
L R B' U R' L F2
L R B' U R' F2 L
R2 L B' U F2 L R'
R2 L B' U F2 R' L
L R B' U F2 L R'
L R B' U F2 R' L
R L B' U L R' F2
R L B' U L F2 R'
R L B' U R' L F2
R L B' U R' F2 L
R L B' U F2 L R'
R L B' U F2 R' L
F' L B' U L F' R'
F' L B' U F' L R'
F' L B' U F' R' L
B' L' U R' F2 L2 B'
L R' B' U L R' F2
L R' B' U L F2 R'
L R' B' U R' L F2
L R' B' U R' F2 L
L R' B' U F2 L R'
L R' B' U F2 R' L
F2 L' B D' B2 L R'
F2 L' B D' B2 R' L
U' L' B' L2 U L' F2
F2 L' B' R' D' L B2
F2 L' B' D' L R' B2
F2 L' B' D' R' L B2
B' L2 U' L' R' F2 B'
B' L2 U' L' R' B' F2
B' L2 U' L' F2 R' B'
B' L2 U' R' L' F2 B'
B' L2 U' R' L' B' F2
F2 L2 U' L' B' U L
L R2 B' U L R' F2
L R2 B' U L F2 R'
L R2 B' U R' L F2
L R2 B' U R' F2 L
L R2 B' U F2 L R'
L R2 B' U F2 R' L
F2 L2 B' L R' D' B2
F2 L2 B' L D' R' B2
F2 L2 B' R' L D' B2
B' R U' L F2 R2 B
L2 U' L' B' U L F2
L2 U' L' B' U F2 L
B2 R' B U' L R' F2
B2 R' B U' L F2 R'
B2 R' B U' R' L F2
B2 R' B U' R' F2 L
B2 R' B U' F2 L R'
B2 R' B U' F2 R' L
B' R2 U L R F2 B
B' R2 U L R B F2
B' R2 U R L F2 B
B' R2 U R L B F2
B' R2 U R F2 L B
B' U L R F2 B R2
B' U L R B R2 F2
B' U L R B F2 R2
B' U L F2 R B R2
B' U L' R' F2 L2 B'
B' U R L F2 B R2
B' U R L B R2 F2
B' U R L B F2 R2
B' U R F2 L B R2
B' U R' L' F2 L2 B'
B' U R' F2 L2 B' L'
B' U F2 L R B R2
B' U F2 R L B R2
B' U' L R F2 R2 B
B' U' L F2 R2 B R
B' U' L' R' F2 B' L2
B' U' L' R' B' L2 F2
B' U' L' R' B' F2 L2
B' U' L' F2 R' B' L2
F2 U' L' B' L2 U L'
B' U' R L F2 R2 B
B' U' R' L' F2 B' L2
B' U' R' L' B' L2 F2
B' U' R' L' B' F2 L2
B' U' R' F2 L' B' L2
B' U' F2 L' R' B' L2
B' U' F2 R' L' B' L2
B' U2 L F2 D R' B
B' U2 R' F2 D' L B'
B' U2 F2 L D R' B
B' U2 F2 R' D' L B'
B' U2 F2 D L R' B
B' U2 F2 D R' L B
B' U2 F2 D' L R' B'
B' U2 F2 D' R' L B'
B' D R2 U L R B
B' D R2 U R L B
L F B' U R' F L
L F B' U F L R'
L F B' U F R' L
B' D' L2 U' L' R' B'
B' D' L2 U' R' L' B'
L F' B' U L F' R'
L F' B' U F' L R'
L F' B' U F' R' L
L' F2 B D' B2 L R'
L' F2 B D' B2 R' L
L' F2 B' R' D' L B2
L2 F2 B' L R' D B2
L' F2 B' D' L R' B2
L' F2 B' D' R' L B2
L2 F2 B' R' L D B2
L2 F2 B' R' D L B2
L B U' L R' U2 F2
L B U' R' L U2 F2
L' B F2 D' B2 L R'
L' B F2 D' B2 R' L
L2 B' L R' F2 D' B2
L2 B' L F2 R' D' B2
L2 B' L F2 D' R' B2
L2 B' L' U L2 R' F2
L2 B' L' U L2 F2 R'
L2 B' L' U R' L2 F2
L2 B' L' U R' F2 L2
L2 B' L' U F2 L2 R'
L2 B' L' U F2 R' L2
L' B' L2 U L' R' F2
L' B' L2 U L' F2 R'
L' B' L2 U R' L' F2
