D L' F R' D B2
U R' D L' F B'
U R' D L' B' F
U D L' R' F B'
U D L' R' B' F
D U L' R' F B'
D U L' R' B' F
U D L' F R' B'
D U L' F R' B'
U D R' L' F B'
U D R' L' B' F
D U R' L' F B'
D U R' L' B' F
B' L U' L2 R B R'
B' L U' R L2 B R'
B' L U' R B L2 R'
B' L U' R B R' L2
D L' R' F U R U'
U L' R' B' U L U'
U L' R2 D' R F' B'
U L' R2 D' R B' F'
U L' R2 D' B' R F'
D L' D F R' D B2
U' L' D' R F' B R2
U' L' D' R B F' R2
U L' D' R F' R2 B'
U L' D' R F' B' R2
U L' D' R B' F' R2
U L' D' R' B' D2 F2
D L' D' F R' D B2
D L' D2 F R' D B2
D L' F R' U R2 U'
D L' F R' D B2 D
D L' F R' D B2 D'
D L' F R' D B2 D2
D L' F R' B D B2
D L' F R' B' D B2
D L' F R' B2 D B2
D L' F U R U' R2
D L' F D R' D B2
D L' F D' R' D B2
D L' F D2 R' D B2
D L' F2 D F' R' B
R2 U L' D' R F' B'
R2 U L' D' R B' F'
R2 U L' D' B' R F'
R2 U R D L' F B'
R2 U R D L' B' F
R U R2 D L' F B'
R U R2 D L' B' F
R2 U D L' R F B'
R2 U D L' R B' F
R2 U D L' B' R F
R2 U D R L' F B'
R2 U D R L' B' F
R2 U D' L' R F' B'
R2 U D' L' R B' F'
R2 U D' L' B' R F'
R2 U D' R L' F' B'
R2 U D' R L' B' F'
D' R U L' F' R2 B'
D' R U L' F' B' R2
D' R U L' B' F' R2
D R U L' R2 F B'
D R U L' R2 B' F
D R U L' F R2 B'
D R U L' F B' R2
D R U L' B' R2 F
D R U L' B' F R2
D R U R2 L' F B'
D R U R2 L' B' F
R' U B' L U' L2 B'
R2 U' L' D' R F' B
R2 U' L' D' R B F'
R2 U' R D L' F B
R2 U' R D L' B F
R2 U' R D B L' F
R2 U' D L' R F B
R2 U' D L' R B F
R2 U' D R L' F B
R2 U' D R L' B F
R2 U' D R B L' F
R2 U' D' L' R F' B
R2 U' D' L' R B F'
R2 U' D' R L' F' B
R2 U' D' R L' B F'
R2 U' D' R B L' F'
D R' L' F U R U'
U R' L' B' U L U'
U' R' D L' F D2 B2
U R' D L' D F B'
U R' D L' D B' F
U R' D L' D' F B'
U R' D L' D' B' F
U R' D L' D2 F B'
U R' D L' D2 B' F
U R' D L' F D B'
U R' D L' F D' B'
U R' D L' F D2 B'
U R' D L' F B' D
U R' D L' F B' D'
U R' D L' F B' D2
U R' D L' B' D F
U R' D L' B' D' F
U R' D L' B' D2 F
U R' D L' B' F D
U R' D L' B' F D'
U R' D L' B' F D2
F R' D F' L' F B2
F R' D F' L' B2 F
F R' D F' B2 L' F
U R' D B L' F B'
U R' D B L' B' F
U R' D B' L' F B'
U R' D B' L' B' F
U R' D B2 L' F B'
F R' D B2 F' L' F
U R' D B2 L' B' F
F R' F' D L' F B2
F R' F' D L' B2 F
F R' F' D B2 L' F
B R' B' U L' R' B'
B R' B' U R' L' B'
U R' B' L' D F2 B'
U R' B' L' D B' F2
U R' B' L' B' D F2
U R2 L' D' R F' B'
U R2 L' D' R B' F'
U R2 L' D' B' R F'
D R2 U L' R F B'
D R2 U L' R B' F
D R2 U L' B' R F
D R2 U R L' F B'
D R2 U R L' B' F
D R2 U' L' R F B
D R2 U' L' R B F
D R2 U' R L' F B
D R2 U' R L' B F
D R2 U' R B L' F
U R2 D L' R F B'
U R2 D L' R B' F
U R2 D L' B' R F
U R2 D R L' F B'
U R2 D R L' B' F
U R2 D' L' R F' B'
U R2 D' L' R B' F'
U R2 D' L' B' R F'
U R2 D' R L' F' B'
U R2 D' R L' B' F'
R' D L' F U R U'
R2 D U L' R F B'
R2 D U L' R B' F
R2 D U L' B' R F
R2 D U R L' F B'
R2 D U R L' B' F
R2 D U' L' R F B
R2 D U' L' R B F
R2 D U' R L' F B
R2 D U' R L' B F
R2 D U' R B L' F
D' U L' R F' R2 B'
D' U L' R F' B' R2
D' U L' R B' F' R2
U' D L' R F B R2
U' D L' R B R2 F
D' U L' R' B' D2 F2
U' D L' R B F R2
U' D L' R' F D2 B2
U' D L' F R B R2
D U L' R F R2 B'
D U L' R F B' R2
D U L' R B' R2 F
D U L' R B' F R2
D U L' R' D F B'
D U L' R' D B' F
D U L' R' D' F B'
D U L' R' D' B' F
D U L' R' D2 F B'
D U L' R' D2 B' F
D U L' R' F D B'
D U L' R' F D' B'
D U L' R' F D2 B'
D U L' R' F B' D
D U L' R' F B' D'
D U L' R' F B' D2
D U L' R' B' D F
D U L' R' B' D' F
D U L' R' B' D2 F
D U L' R' B' F D
D U L' R' B' F D'
D U L' R' B' F D2
D U L' R2 B' R F
D U L' D R' F B'
D U L' D R' B' F
D U L' D F R' B'
U D L' R F R2 B'
U D L' R F B' R2
D U L' D' R' F B'
D U L' D' R' B' F
U D L' R B' R2 F
U D L' R B' F R2
D U L' D' F R' B'
U D L' R' D F B'
U D L' R' D B' F
U D L' R' D' F B'
U D L' R' D' B' F
U D L' R' D2 F B'
U D L' R' D2 B' F
U D L' R' F D B'
U D L' R' F D' B'
U D L' R' F D2 B'
U D L' R' F B' D
U D L' R' F B' D'
U D L' R' F B' D2
D U L' D2 R' F B'
U D L' R' B' D F
U D L' R' B' D' F
U D L' R' B' D2 F
D U L' D2 R' B' F
U D L' R' B' F D
U D L' R' B' F D'
U D L' R' B' F D2
D U L' D2 F R' B'
U D L' R2 B' R F
D U L' F R B' R2
D U L' F R' D B'
D U L' F R' D' B'
D U L' F R' D2 B'
D U L' F R' B' D
D U L' F R' B' D'
D U L' F R' B' D2
D U L' F R2 B' R
D U L' F D R' B'
D U L' F D' R' B'
D U L' F D2 R' B'
D U L' F' R' F2 B'
D U L' F' R' B' F2
U D L' D R' F B'
U D L' D R' B' F
U D L' D F R' B'
U D L' D' R' F B'
U D L' D' R' B' F
U D L' D' F R' B'
U D L' D2 R' F B'
U D L' D2 R' B' F
U D L' D2 F R' B'
U D L' F R B' R2
U D L' F R' D B'
U D L' F R' D' B'
U D L' F R' D2 B'
U D L' F R' B' D
U D L' F R' B' D'
U D L' F R' B' D2
U D L' F R2 B' R
U D L' F D R' B'
U D L' F D' R' B'
U D L' F D2 R' B'
U D L' F' R' F2 B'
U D L' F' R' B' F2
D' U R L' F' R2 B'
D' U R L' F' B' R2
D' U R L' B' F' R2
U' D R L' F B R2
U' D R L' B R2 F
U' D R L' B R2 F
U' D R L' B F R2
U' D R B L' R2 F
U' D R B L' F R2
U' D R B R2 L' F
D U R L' F R2 B'
D U R L' F B' R2
D U R L' B' R2 F
D U R L' B' F R2
D' U R' L' B' D2 F2
U' D R' L' F D2 B2
U D R L' F R2 B'
U D R L' F B' R2
U D R L' B' R2 F
U D R L' B' F R2
D2 U R' D' L' F B'
D2 U R' D' L' B' F
D U R' L' D F B'
D U R' L' D B' F
D U R' L' D' F B'
D U R' L' D' B' F
D U R' L' D2 F B'
D U R' L' D2 B' F
D U R' L' F D B'
D U R' L' F D' B'
D U R' L' F D2 B'
D U R' L' F B' D
D U R' L' F B' D'
D U R' L' F B' D2
D U R' L' B' D F
D U R' L' B' D' F
D U R' L' B' D2 F
D U R' L' B' F D
D U R' L' B' F D'
D U R' L' B' F D2
U D R' L' D F B'
U D R' L' D B' F
U D R' L' D' F B'
U D R' L' D' B' F
U D R' L' D2 F B'
U D R' L' D2 B' F
U D R' L' F D B'
U D R' L' F D' B'
U D R' L' F D2 B'
U D R' L' F B' D
U D R' L' F B' D'
U D R' L' F B' D2
U D R' L' B' D F
U D R' L' B' D' F
U D R' L' B' D2 F
U D R' L' B' F D
U D R' L' B' F D'
U D R' L' B' F D2
D U R' B L' F B'
D U R' B L' B' F
D U R' B' L' F B'
D U R' B' L' B' F
D U R' B2 L' F B'
D U R' B2 L' B' F
D U R2 L' B' R F
U D R' B L' F B'
U D R' B L' B' F
U D R' B' L' F B'
U D R' B' L' B' F
U D R' B2 L' F B'
U D R' B2 L' B' F
U D R2 L' B' R F
R D B2 U L' F B'
R D B2 U L' B' F
D U B L' F B' R'
D U B L' B' R' F
D U B L' B' F R'
U D B L' F B' R'
U D B L' B' R' F
U D B L' B' F R'
B2 U B' L' B' R' F'
D' U' L' R F' B R2
U' D' L' R F' B R2
U' D' L' R B F' R2
D' U' L' R B F' R2
R2 D' U L' R F' B'
R2 D' U L' R B' F'
B2 U B2 L' R' F' B'
B2 U B2 L' R' B' F'
R2 D' U L' B' R F'
R2 D' U R L' F' B'
R2 D' U R L' B' F'
D U' L' R F B R2
B2 U B2 R' L' F' B'
D U' L' R B R2 F
B2 U B2 R' L' B' F'
D U' L' R B F R2
D U' L' R' F D2 B2
U D' L' R F' R2 B'
U D' L' R F' B' R2
U D' L' R B' F' R2
