B L2 F2 U R F' U
B' R' D' B2 L2 F U
D2 R2 B2 D L' F L'
D2 R2 B2 D F L' F
R D R2 F2 B L U'
R D R2 B L F2 U'
R D R2 B F2 L U'
R' D F2 B L R2 U'
R' D F2 B R2 L U'
R' D B L R2 F2 U'
R' D B L F2 R2 U'
R' D B R2 L F2 U'
R' D B R2 F2 L U'
R' D B F2 L R2 U'
R' D B F2 R2 L U'
R' D2 B L U' B R2
B D2 L B' U' R2 B'
B D2 L B' U' B' R2
R' B L U L F2 U2
R' B L U F2 L U2
R' B L U' D2 B2 R'
R' B L D2 U' B2 R'
D2 B L B' U' R2 B2
D2 B L B' U' B2 R2
D B L R2 F2 U' L'
D B R2 L F2 U' L'
D B R2 F2 L U' L2
R' B D L R2 F2 U'
R' B D L F2 R2 U'
R' B D R2 L F2 U'
R' B D R2 F2 L U'
R' B D F2 L R2 U'
R' B D F2 R2 L U'
R' B D2 L U' R2 B2
R' B D2 L U' B2 R2
D B' R2 F2 L' U' L2
D2 B2 R2 D L' F L'
D2 B2 R2 D F L' F
