R F' U R U L
U2 L R' D B R F'
F' L R' D' F2 B R
F' L R' D' B F2 R
F L R' D F2 B R
F L R' D B F2 R
F' L R' B D' F2 R
U2 L R' B D R F'
F L R' B D F2 R
F L R2 D F2 R B
R' L D F2 B R F'
R' L D B F2 R F'
R2 L D F2 R F' B
R2 L D F2 R B F'
D2 L D' F2 R F' B'
D2 L D' F2 R B' F'
D2 L D' F2 B' R F'
D2 L D' B' F2 R F'
R' L B D F2 R F'
D2 L F2 D' R F' B'
D2 L F2 D' R B' F'
D2 L F2 D' B' R F'
L R' D F2 B R F'
L R' D B F2 R F'
F L' U' B2 L2 R' B
F L' U' B2 R' L2 B
F L' U' B2 R' B L2
L R' B D F2 R F'
L R2 D F2 R F' B
L R2 D F2 R B F'
F L' B2 U' L2 R' B
F L' B2 U' R' L2 B
F L' B2 U' R' B L2
R2 U F' L' R U L2
R2 U F' R L' U L2
R' U F2 U L F B
R' U F2 U L B F
D R U2 D L F' B'
D R U2 D L B' F'
D R U2 D F' L B'
D R U2 F' D L B'
D R D U2 L F' B'
D R D U2 L B' F'
D R D U2 F' L B'
B2 R F' R2 U R' U
F2 R F' U' L' U' L2
F2 R F' U2 L D F2
F' R' L D' F2 B R
F' R' L D' B F2 R
U2 R' L D B R F'
F' R' L B D' F2 R
U2 R' L B D R F'
F R' L D F2 B R
F R' L D B F2 R
F R' L B D F2 R
F R' U' L' U' L2 B
F R' U' L' U' B L2
F' R' U2 L D' F2 B
F' R' U2 L D' B F2
F' R' U2 L B D' F2
F' R' U2 D' L F2 B
F' R' U2 D' L B F2
F' R' U2 D' F2 L B
F R' U2 L D F2 B
F R' U2 L D B F2
F R' U2 L B D F2
U2 R' D L B R F'
F' R' D B2 R' U2 B'
F' R' D' L F2 B R
F' R' D' L B F2 R
F' R' D' U2 L F2 B
F' R' D' U2 L B F2
F' R' D' U2 F2 L B
R' U2 L2 D' L' F B
R' U2 L2 D' L' B F
B2 R' F U' L' U' B
R' U2 L2 D' B L' F
R' U2 L2 B D' L' F
U R' F2 U L F B
U R' F2 U L B F
R' U2 D' L B D2 F2
R' U2 D' L' F L2 B
R' U2 D' L' F B L2
R' U2 D' L' B F L2
R2 U2 D' L' F B' L2
R2 U2 D' L' B' F L2
R' U2 F L D F2 B
R' U2 F L D B F2
R' U2 F L B D F2
F R2 L D F2 R B
D R2 U2 D L F B'
D R2 U2 D L B' F
B2 R2 D R U2 F' B
B2 R2 D R U2 B F'
D R2 D U2 L F B'
D R2 D U2 L B' F
R' D L F2 B R F'
R' D L B F2 R F'
R2 D L F2 R F' B
R2 D L F2 R B F'
U R2 F' R U L B
R2 D R U2 L F' B
R2 D R U2 L B F'
R2 D R U2 F' L B
R' D R2 F' U2 L F
R D R2 U2 L F B
R D R2 U2 L B F
F' U R U' F' U2 L
R D F' R U2 L F'
R D F' R U2 F' L
R D F' R2 U2 L F
R D F' B2 R' B U2
D' U F L' U F L2
R' D B2 R' B U2 B2
R2 D B2 R' F' B U2
R2 D B2 R' B F' U2
R' D' L B D2 F2 R
F' U D2 R U L B'
R D B2 F' R' B U2
R' D' U2 L B D2 F2
R' D' U2 L' F L2 B
R' D' U2 L' F B L2
R' D' U2 L' B F L2
R2 D' U2 L' F B' L2
R2 D' U2 L' B' F L2
F U' L' R' U' L2 B
F U' L' R' U' B L2
R D' F' U2 L' F L2
F2 U' R' U' L F' B
F2 U' R' U' L B F'
F2 U' R' U' F' L B
U D' F L' U F L2
F U' R' L' U' L2 B
F U' R' L' U' B L2
F U' D2 L' U' L2 B'
D2 U2 L B' U L U'
U2 D2 L B' U L U'
D2 U2 L2 D L' F B'
D2 U2 L2 D L' B' F
U2 D2 L2 D L' F B'
U2 D2 L2 D L' B' F
R' F L D F2 B R
R' F L D B F2 R
R' F L B D F2 R
R2 F L D F2 R B
F U2 D2 L D F2 B'
F U2 D2 L D B' F2
F U2 D2 L B' D F2
D' F U L' U F L2
R' F U' L' U' L2 B
R' F U' L' U' B L2
R' F U2 L D F2 B
R' F U2 L D B F2
R' F U2 L B D F2
U2 F D2 L D F2 B'
U2 F D2 L D B' F2
U2 F D2 L B' D F2
B2 D R' B U' R' U'
U F' R U' F' U2 L
R F' R' U R2 U L
R F' R' U2 L D' F2
R F' R' U2 D' L F2
R F' R' U2 D' F2 L
R F' R' D B2 R' U2
R F' R' D' U2 L F2
R F' R' D' U2 F2 L
R F' R2 U R' U L
R F' U R U L D
R F' U R U L D'
R F' U R U L D2
R F' U R U D L
R F' U R U D' L
R F' U R U D2 L
R F' U R D U L
R F' U R D' U L
R F' U R D2 U L
R F' U R F U L
R F' U R F' U L
R F' U R F2 U L
R F' U D R U L
R F' U D' R U L
R F' U D2 R U L
R F' U F' U L F
R F' U2 L U' R U
R F' U2 F2 L D F2
R F' D U R U L
R F' D' U R U L
U F' D2 R U L B'
R F' D2 U R U L
R F' B2 R' U R2 U
R F' B2 R' U2 D' F2
R F' B2 R' D B2 U2
R F' B2 R' D' U2 F2
U F2 R' U L F B
U F2 R' U L B F
U F2 U D2 L F B'
U F2 U D2 L B' F
F D2 L D F2 R B'
