D' F2 L U R F'
L' R D F2 U2 L' F
L' R D' R U2 F' B2
L' R D' R U2 B2 F'
R L' D F2 U2 L' F
R' L' D' R' B U2 B
L' R' D' R' B U2 B
R L' D' R U2 F' B2
R L' D' R U2 B2 F'
D2 L' U2 D' L' F B2
D2 L' U2 D' L' B2 F
D2 L' U2 D' B2 L' F
D L' U2 D F L2 B'
D2 L' D F2 R U2 F'
D L' D U2 F L2 B'
D L' D F2 U2 L2 F'
D L' D F2 U2 F' L2
D2 L' D' L' F B2 R'
D2 L' D' L' B2 R' F
D2 L' D' L' B2 F R'
D2 L' D' U2 L' F B2
D2 L' D' U2 L' B2 F
D2 L' D' U2 B2 L' F
R2 L' B U L2 R' U
R2 L' B U R' L2 U
D L' D' R2 U2 F B2
D L' D' R2 U2 B2 F
L' R2 B U L2 R' U
L' R2 B U R' L2 U
B2 R' U L' R' U2 F'
B2 R' U R' L' U2 F'
R2 D L' U2 D' F B2
R2 D L' U2 D' B2 F
R2 D L' U2 F D' B2
R2 D L' D F2 U2 F'
R2 D L' D' U2 F B2
R2 D L' D' U2 B2 F
D' U F2 L U R F'
L D' R F2 B2 U F
L D' R B2 F2 U F
L D' F2 R B2 U F'
U' D' F2 L U R F'
D' U' F2 L U R F'
L D' F2 B2 R U F'
U2 D' F2 L U R F'
U D' F2 L U R F'
L D' B2 R F2 U F
L D' B2 F2 R U F'
D' U2 F2 L U R F'
L D2 F' R U L2 R
L D2 F' R U R L2
D' F' L F' U R F'
B D' R' F2 U B R
D' F2 L R' U R2 F'
D2 F2 L U L R F
D2 F2 L U R L F
D' F2 L U R D F'
D' F2 L U R D' F'
D' F2 L U R D2 F'
D' F2 L U R F' D
D' F2 L U R F' D'
D' F2 L U R F' D2
D' F2 L B U R F'
D' F2 L B' U R F'
D' F2 L B2 U R F'
R F2 L' D' R F' B2
R F2 L' D' R B2 F'
R F2 L' D' B2 R F'
D' F2 R' L U R2 F'
B D' F2 R' U B R2
D' F2 B' U R F' B
D' F2 B' U R B F'
L' B R2 U L2 R U
L' B R2 U R L2 U
L B R' U' L2 R' U2
L B R' U' R' L2 U2
L B R' D' B2 U L
L B D' R' F2 B2 U
L B D' R' B2 F2 U
L B D' F2 R' B2 U
L B D2 R' U L2 R'
L B D2 R' U R' L2
L B' D' F2 B2 R' U
L B' D' B2 R' F2 U
L B' D' B2 F2 R' U
D' B' F2 U R F' B
D' B' F2 U R B F'
D B2 R' U L' U2 F
