L2 U2 F L' U F
B' D' L U' F B'
B' D' L U' B' F
D' B' L U' F B'
D' B' L U' B' F
L2 R U2 F L' U F
B' L U' F U' L' U
D' L U' F' B' L' F2
D' L U' B' F' L' F2
B' L D R' U' F B
B' L D R' U' B F
B2 L D2 B R' U' F
B' L F' R F U' F
L2 R' U2 F L' U F
R' L2 U2 F L' U F
L2 R2 U2 F L' U F
R2 L2 U2 F L' U F
R L2 U2 F L' U F
U2 L2 R' F L' U F2
U' L2 F L' R U R'
U' L2 F R L' U R'
U2 L2 F L' R' U F'
U2 L2 F R' L' U F'
L' U D' B' U2 L B'
B' R D' L U' F B'
B' R D' L U' B' F
F' R F B' L U' F
D' R B' L U' F B'
D' R B' L U' B' F
F' R B' F L U' F
L' U' D' L B' L F
U2 R' L2 F L' U F2
B' R' D' L U' F B'
B' R' D' L U' B' F
L' U2 L' F L' U F
L2 U2 R F L' U F
L2 U2 R' F L' U F
D' R' B' L U' F B'
D' R' B' L U' B' F
L2 U2 R2 F L' U F
D R' B' L U' F B2
D R' B' L U' B2 F
L2 U2 F L' R U F
L2 U2 F L' R' U F
L2 U2 F L' R2 U F
L2 U2 F L' U D F
L2 U2 F L' U D' F
L2 U2 F L' U D2 F
L2 U2 F L' U F D
L2 U2 F L' U F D'
L2 U2 F L' U F D2
L2 U2 F L' D U F
L2 U2 F L' D' U F
L2 U2 F L' D2 U F
L2 U2 F R L' U F
L2 U2 F R' L' U F
L2 U2 F R2 L' U F
L U2 F2 U F' L' B'
B' R2 D' L U' F B'
B' R2 D' L U' B' F
D' R2 B' L U' F B'
D' R2 B' L U' B' F
L' D' U B' U2 L B'
L' D' U' L B' L F
R' D' B' L U' F B'
R' D' B' L U' B' F
R2 D' B' L U' F B'
R2 D' B' L U' B' F
R D' B' L U' F B'
R D' B' L U' B' F
B' U' F U' L' R U
B' U' F U' R L' U
B' U' F' U L' R U'
B' U' F' U R L' U'
B' U2 D R' U F' B
B' U2 D R' U B F'
L2 F L' R U F R
L2 F L' R2 B U F
L2 F L' U F D R2
L2 F L' U2 F' U' F2
L2 F R L' U F R
F2 U2 F2 B' R' U' F'
L2 F R2 L' B U F
F2 U2 B' R' F2 U' F
L2 F R2 B L' U F
F2 U2 B' F2 R' U' F'
B' D L R' U' F B
B' D L R' U' B F
B' D R' L U' F B
B' D R' L U' B F
B' D U2 R' U F' B
B' D U2 R' U B F'
U' F' U R B' L' U'
U' F' U B' L' R U'
U' F' U B' R L' U'
B' D' L R U' F B'
B' D' L R U' B' F
B' D' L R' U' F B'
B' D' L R' U' B' F
B' D' L R2 U' F B'
B' D' L R2 U' B' F
B' D' L U' D F B'
B' D' L U' D B' F
B' D' L U' D' F B'
B' D' L U' D' B' F
B' D' L U' D2 F B'
B' D' L U' D2 B' F
B' D' L U' F D B'
B' D' L U' F D' B'
B' D' L U' F D2 B'
B' D' L U' F B' D
B' D' L U' F B' D'
B' D' L U' F B' D2
B' D' L U' B' D F
B' D' L U' B' D' F
B' D' L U' B' D2 F
B' D' L U' B' F D
B' D' L U' B' F D'
B' D' L U' B' F D2
B' D' L D U' F B'
B' D' L D U' B' F
B' D' L D' U' F B'
B' D' L D' U' B' F
B' D' L D2 U' F B'
B' D' L D2 U' B' F
B' D' L' U F B' U2
B' D' L' U B' F U2
B2 D' L B U' F B2
B2 D' L B U' B2 F
B' D' R L U' F B'
B' D' R L U' B' F
B' D' R' L U' F B'
B' D' R' L U' B' F
B' D' R2 L U' F B'
B' D' R2 L U' B' F
U' F' B' L' R U' R'
U' F' B' R L' U' R'
B2 D' B L U' F B'
B2 D' B L U' B' F
B2 D2 L B R' U' F
D2 B L R' B2 U' F
D' B L B2 U' F B
D' B L B2 U' B F
D2 B R' L B2 U' F
D2 B R' B2 L U' F
B2 D2 B L R' U' F
B2 D2 B R' L U' F
L2 B U2 F L' U F
D' B' L R U' F B'
D' B' L R U' B' F
D' B' L R' U' F B'
D' B' L R' U' B' F
D' B' L R2 U' F B'
D' B' L R2 U' B' F
D' B' L U' D F B'
D' B' L U' D B' F
D' B' L U' D' F B'
D' B' L U' D' B' F
D' B' L U' D2 F B'
D' B' L U' D2 B' F
D' B' L U' F D B'
D' B' L U' F D' B'
D' B' L U' F D2 B'
D' B' L U' F B' D
D' B' L U' F B' D'
D' B' L U' F B' D2
D' B' L U' B' D F
D' B' L U' B' D' F
D' B' L U' B' D2 F
D' B' L U' B' F D
D' B' L U' B' F D'
D' B' L U' B' F D2
D' B' L D U' F B'
D' B' L D U' B' F
D' B' L D' U' F B'
D' B' L D' U' B' F
D' B' L D2 U' F B'
D' B' L D2 U' B' F
D' B' L' U F B' U2
D2 B' L' U2 L2 U F
D' B' L' U B' F U2
D B' L R' U' F B
D B' L R' U' B F
D2 B' L2 U2 L' U F
D' B' R L U' F B'
D' B' R L U' B' F
D' B' R' L U' F B'
D' B' R' L U' B' F
D' B' R2 L U' F B'
D' B' R2 L U' B' F
D B' R' L U' F B
D B' R' L U' B F
U2 B' R2 F' R U' F'
D2 B' U2 L R' U F'
D2 B' U2 R' L U F'
B' F' R F L U' F
F' B' R F L U' F
L2 B' U2 F L' U F
D B' U2 R' U F' B
D B' U2 R' U B F'
R' B' D' L U' F B'
R' B' D' L U' B' F
R2 B' D' L U' F B'
R2 B' D' L U' B' F
U' B' F' L' R U' R'
D B' D2 L U' F B'
D B' D2 L U' B' F
U' B' F' R L' U' R'
R B' D' L U' F B'
R B' D' L U' B' F
D' B2 L B U' F B2
D' B2 L B U' B2 F
L2 B2 U2 F L' U F
