F' L U L2 R' F2
F' L U L2 F2 R'
F' L U R' L2 F2
F' L U R' F2 L2
F' L U F2 L2 R'
F' L U F2 R' L2
F' L' R' F2 D' B2
F' L' F2 R' D' B2
F' L' F2 D' R' B2
F' R' L' F2 D' B2
R' F' L' F2 D' B2
L F' U L' R' F
L F' U L' F R'
L F' U R' L' F
F' L R U L2 R2 F2
F' L R U L2 F2 R2
F' L R U R2 L2 F2
F' L R U R2 F2 L2
F' L R U F2 L2 R2
F' L R U F2 R2 L2
F L R' D2 L2 D' B2
F' L R' F2 L2 D' B2
F' L R2 U L2 R F2
F' L R2 U R L2 F2
F' L R2 U R F2 L2
F' L U L R' F2 L
F' L U L F2 L R'
F' L U L F2 R' L
F' L U L2 R F2 R2
F' L U L2 R' F2 D
F' L U L2 R' F2 D'
F' L U L2 R' F2 D2
F' L U L2 F R' F
F' L U L2 F2 R' D
F' L U L2 F2 R' D'
F' L U L2 F2 R' D2
F' L U L2 F2 D R'
F' L U L2 F2 D' R'
F' L U L2 F2 D2 R'
F' L U R L2 F2 R2
F' L U R F2 L2 R2
F' L U R F2 R2 L2
F' L U R' L F2 L
F' L U R' L2 F2 D
F' L U R' L2 F2 D'
F' L U R' L2 F2 D2
F' L U R' F' L2 F'
F' L U R' F2 L2 D
F' L U R' F2 L2 D'
F' L U R' F2 L2 D2
U' L U R' F' L' F
F' L U F R' F L2
F' L U F' L2 F' R'
U' L U F' L' R' F
U' L U F' L' F R'
F2 L U F L' R' F2
F2 L U F L' F2 R'
U' L U F' R' L' F
F' L U F2 L2 R' D
F' L U F2 L2 R' D'
F' L U F2 L2 R' D2
F2 L U F R' L' F2
F' L U F2 L2 D R'
F' L U F2 L2 D' R'
F' L U F2 L2 D2 R'
F' L U F2 R' L2 D
F' L U F2 R' L2 D'
F' L U F2 R' L2 D2
F2 L U F' R' D2 L2
F' L D F2 R2 U R
L R F' U L' R2 F
L R F' U L' F R2
L R F' U R2 L' F
R L F' U L' R2 F
R L F' U L' F R2
R L F' U R2 L' F
F' L F U R' F L2
F' L F U F L2 R'
F' L F U F R' L2
F2 L F U L' R' F2
F2 L F U L' F2 R'
F2 L F U R' L' F2
D2 L F' U L' R' F
D2 L F' U L' F R'
D2 L F' U R' L' F
D' L F' U L' R' F
D' L F' U L' F R'
D' L F' U R' L' F
F' L F' U L2 F' R'
F' L F' U F' L2 R'
F' L F' U F' R' L2
D L F' U L' R' F
D L F' U L' F R'
D L F' U R' L' F
F' L F2 L2 R' D' B2
F' L F2 L2 D' R' B2
F' L F2 R' L2 D' B2
F L F2 U L' R' F2
F L F2 U L' F2 R'
F L F2 U R' L' F2
F' L B2 U L2 F2 R
F' L' R F2 R2 D' B2
F' L' R' U' L2 U F2
F' L' R' D' B2 D F2
F' L' R' F D' F B2
F' L' R' F D' B2 F
F' L' R' F' D' F' B2
F' L' R' F' D' B2 F'
F L' R' D' B2 D' L2
F' L' R' F2 U' L2 U
F L' R' D2 L2 D B2
F' L' R' F2 D' B2 D
F' L' R' F2 D' B2 D'
F' L' R' F2 D' B2 D2
F' L' R' F2 B D' B2
F' L' R' F2 B' D' B2
F' L' R' F2 B2 D' B2
F' L' R' B F2 D' B2
F' L' R' B' F2 D' B2
F' L' R' B2 F2 D' B2
F L' R2 D' B2 L R
F L' R2 D' B2 R L
F' L' U' L2 U R' F2
F' L' U' L2 U F2 R'
F L' D R' D2 L2 B2
F L' D R' D2 B2 L2
F' L' D' R' B2 D F2
F L' D' R' B2 D2 L2
F L' D' R2 B2 L R
F L' D' R2 B2 R L
F' L' F R' D' F B2
F' L' F R' D' B2 F
F' L' F R' F D' B2
