D L R2 U2 F R
B L U F2 U F'
D' L U2 F L R
D' L U2 F L R
D' L U2 F R L
B L U2 D' F L2
B L D R2 U2 F
B L D' U2 F L2
D L' R2 B' U2 R'
D' L' B' U2 L' R'
D L' B' R2 U2 R
D' L' B' U2 R' L'
L' U2 D' L2 F R
L U2 D' F L2 R
L U2 D' F R L2
D R2 L U2 F R
D R2 L' B' U2 R'
D R2 L' B' U2 R'
L' D R2 B' U2 R'
D R2 B L U2 F
L D R2 U2 F R
D R2 B' U2 R' F'
L' D B' R2 U2 R
B' U F2 U R' F'
L' D' U2 L2 F R
L D' U2 F L2 R
L D' U2 F R L2
L' D' B' U2 L2 R'
L' D' B' U2 R' L2
B' U2 R' D' L2 F'
B' U2 R' D' F' L2
B' U2 D' L2 R' F'
B' U2 D' R' L2 F'
B' U2 D' R' F' L2
B D L R2 U2 F
B D R2 L U2 F
B D' L U2 F L
B' D' U2 L2 R' F'
B' D' U2 R' L2 F'
B' D' U2 R' F' L2
D' B L U2 F L
D B L R2 U2 F
D B R2 L U2 F
L' B' U F2 U R'
L' B' U2 R' D' L2
L' B' U2 D' L2 R'
L' B' U2 D' R' L2
L' B' D R2 U2 R
L' B' D' U2 L2 R'
L' B' D' U2 R' L2
D' B' U2 L2 R' F'
D' B' U2 R' L2 F'
D' B' U2 R' F' L2
B L R U F2 U F'
D' L R U2 F L R
D' L R U2 F R L
B L R U2 D' F L2
B L R D R2 U2 F
B L R D' U2 F L2
B L R' U F2 U F'
D' L R' U2 F L R
D' L R' U2 F R L
B L R' U2 D' F L2
B L R' D R2 U2 F
B L R' D' U2 F L2
D' L R2 U2 F L R
D' L R2 U2 F R L
B L R2 U F2 U F'
D L R2 U2 R F R
D L R2 U2 R' F R
D L R2 U2 R2 F R
D L R2 U2 D F R
D L R2 U2 D' F R
D L R2 U2 D2 F R
D L R2 U2 F R D
D L R2 U2 F R D'
D L R2 U2 F R D2
D L R2 U2 F D R
D L R2 U2 F D' R
D L R2 U2 F D2 R
B L R2 U2 D' F L2
D L R2 D U2 F R
B L R2 D R2 U2 F
D L R2 D' U2 F R
B L R2 D' U2 F L2
D L R2 D2 U2 F R
L' R U2 D' L2 F R
R' L U2 D' F L2 R
R' L U2 D' F R L2
D L R2 B' U2 R' F
D L R2 B' U2 F R'
R2 L U2 D' F L2 R
R2 L U2 D' F R L2
L R U2 D' F L2 R
L R U2 D' F R L2
R L U2 D' F L2 R
R L U2 D' F R L2
B L U R F2 U F'
B L U R' F2 U F'
B L U R2 F2 U F'
B' L U F2 U F' R'
L' R D R2 B' U2 R'
R' L D R2 U2 F R
B L U F2 U D F'
B L U F2 U D' F'
B L U F2 U D2 F'
B L U F2 U F' D
B L U F2 U F' D'
B L U F2 U F' D2
B L U F2 D U F'
B L U F2 D' U F'
B L U F2 D2 U F'
R2 L D R2 U2 F R
L R D R2 U2 F R
R L D R2 U2 F R
L' R D B' R2 U2 R
B L U' D2 B2 U' F
L' R D' U2 L2 F R
D2 L U' B2 U' F R
R' L D' U2 F L2 R
R' L D' U2 F R L2
R2 L D' U2 F L2 R
R2 L D' U2 F R L2
L R D' U2 F L2 R
L R D' U2 F R L2
D' L U2 R F L R
D' L U2 R F R L
L' R D' B' U2 L2 R'
L' R D' B' U2 R' L2
B' L U2 R' D' F L2
R L D' U2 F L2 R
R L D' U2 F R L2
D' L U2 R' F L R
D' L U2 R' F R L
B L U2 L2 D' L2 F
D' L U2 R2 F L R
D' L U2 R2 F R L
D2 L U2 D F L2 R
D2 L U2 D F R L2
D' L U2 D F L R
D' L U2 D F R L
B' L U2 D' R' F L2
B' L U2 D' F L2 R'
B' L U2 D' F R' L2
D' L U2 D' F L R
D' L U2 D' F R L
D' L U2 D2 F L R
D' L U2 D2 F R L
D' L U2 F L R D
D' L U2 F L R D'
D' L U2 F L R D2
D' L U2 F L D R
D' L U2 F L D' R
D' L U2 F L D2 R
