D L B' U L B' U
B L2 U R' B' U B2
D L2 U B' L R' U
D L2 U B' R' L U
U L2 B R' B2 U B'
L2 U B R' B2 U B'
U' R' D2 F L' U' B
B U L2 R' B' U B2
D U L2 B' L U F
U D L2 B' L U F
B U R' L2 B' U B2
B U R' U2 F U' B
D2 U' F L' U F U2
U' D' F' R F2 U' F
D' U' F' R F2 U' F
B' U' R' F L U' B
F2 U' D' F' R U' F'
B' U' D2 F L U' B'
B' U' F L R' U' B
B' U' F R' L U' B
B' U' F D2 L U' B'
B U' F U2 R' U B
U' D2 F L' U F U2
D' F' U' R F2 U' F
R F' D' L2 R' B U2
R F' D' R' L2 B U2
R F' D' R' B L2 U2
F2 D' U' F' R U' F'
U' F2 D' F' R U' F'
B' D2 U' F L U' B'
U B L2 R' B' U B2
U B R' L2 B' U B2
U B R' U2 F U' B
L2 B U R' B2 U B'
U B2 L2 B' R' U B
