B2 R' F' B' U
B2 R' B' F' U
U2 L U2 F B U
U2 L U2 B F U
B2 R' D F' B' U
B2 R' D B' F' U
B2 R' D' F' B' U
B2 R' D' B' F' U
B2 R' D2 F' B' U
B2 R' D2 B' F' U
B R' D2 F' R U
B R' D2 F' R U
B2 R' F' D B' U
B2 R' F' D B' U
B2 R' F' D' B' U
B2 R' F' D2 B' U
B2 R' F' B' U D
B2 R' F' B' U D'
B2 R' F' B' U D2
B2 R' F' B' D U
B2 R' F' B' D' U
B2 R' F' B' D2 U
B2 R' B' D F' U
B2 R' B' D' F' U
B2 R' B' D2 F' U
B2 R' B' F' U D
B2 R' B' F' U D'
B2 R' B' F' U D2
B2 R' B' F' D U
B2 R' B' F' D' U
B2 R' B' F' D2 U
B2 R2 B' R F' U
B U D F' L' F
B U F' D L' F
B U2 L' B' L U'
B2 D R' F' B' U
B2 D R' B' F' U
B D U F' L' F
R' F' U2 L F U'
B2 D' R' F' B' U
B2 D' R' B' F' U
B2 D2 R' F' B' U
B2 D2 R' B' F' U
B D2 R' F' R U
B2 F R' F' B' U
B2 F R' B' F' U
B2 F' R' F' B' U
B2 F' R' B' F' U
D2 B2 R' F' B' U
D2 B2 R' B' F' U
D' B2 R' F' B' U
D' B2 R' B' F' U
D B2 R' F' B' U
F' B2 R' F' B' U
D B2 R' B' F' U
F' B2 R' B' F' U
B2 F2 R' F' B' U
F2 B2 R' F' B' U
B2 F2 R' B' F' U
F2 B2 R' B' F' U
F B2 R' F' B' U
F B2 R' B' F' U
R' L U2 L' F' B' U
R' L U2 L' B' F' U
U2 L U2 D F B U
U2 L U2 D B F U
U2 L U2 D' F B U
U2 L U2 D' B F U
U2 L U2 D2 F B U
U2 L U2 D2 B F U
U2 L U2 F D B U
U2 L U2 F D' B U
U2 L U2 F D2 B U
U2 L U2 F B U D
U2 L U2 F B U D'
U2 L U2 F B U D2
U2 L U2 F B D U
U2 L U2 F B D' U
U2 L U2 F B D2 U
U2 L U2 B D F U
U2 L U2 B D' F U
U2 L U2 B D2 F U
U2 L U2 B F U D
U2 L U2 B F U D'
U2 L U2 B F U D2
U2 L U2 B F D U
U2 L U2 B F D' U
U2 L U2 B F D2 U
U2 L D U2 F B U
U2 L D U2 B F U
U2 L D' U2 F B U
U2 L D' U2 B F U
U2 L D2 U2 F B U
U2 L D2 U2 B F U
L R F2 B R F' U'
R L F2 B R F' U'
L R B F2 R F' U'
R L B F2 R F' U'
U2 L F' U2 F2 B U
U2 L F' U2 B F2 U
U2 L F2 U2 F' B U
U2 L F2 U2 B F' U
U2 L B' U2 F B2 U
U2 L B' U2 B2 F U
L R' U2 L' F' B' U
L R' U2 L' B' F' U
U2 L B2 U2 F B' U
U2 L B2 U2 B' F U
B2 L' R' F' L B' U
U2 L' B' L2 U' D' R2
U2 L' B' L2 U2 B2 U
U2 L' B' L2 D' U' R2
U2 L' B' L2 D2 F2 U'
U2 L' B2 L2 F B U'
U2 L' B2 L2 B F U'
B R U2 B U2 R' U
B R U2 B' L B2 U'
B R D2 R2 F' R U
B2 R F R2 F' B' U
B2 R F R2 B' F' U
B2 R F' R2 F' B' U
B2 R F' R2 B' F' U
B2 R F2 R2 F' B' U
B2 R F2 R2 B' F' U
B2 R B' R2 U D L2
B2 R B' R2 U2 B2 U'
B2 R B' R2 D U L2
B2 R B' R2 D2 F2 U
B' R B2 U2 B' L U'
B2 R' L' F' L B' U
B2 R' D F' D B' U
B2 R' D F' D' B' U
B2 R' D F' D2 B' U
B2 R' D F' B' U D
B2 R' D F' B' U D'
B2 R' D F' B' U D2
B2 R' D F' B' D U
B2 R' D F' B' D' U
B2 R' D F' B' D2 U
B2 R' D B' D F' U
B2 R' D B' D' F' U
B2 R' D B' D2 F' U
B2 R' D B' F' U D
B2 R' D B' F' U D'
B2 R' D B' F' U D2
B2 R' D B' F' D U
B2 R' D B' F' D' U
B2 R' D B' F' D2 U
B R' D' R U F' L'
R' U2 L F U' D' L2
R' U2 L F U2 F2 U
R' U2 L F D' U' L2
R' U2 L F D2 B2 U'
B2 R' D' F' D B' U
B2 R' D' F' D' B' U
B2 R' D' F' D2 B' U
B2 R' D' F' B' U D
B2 R' D' F' B' U D'
B2 R' D' F' B' U D2
B2 R' D' F' B' D U
B2 R' D' F' B' D' U
B2 R' D' F' B' D2 U
B2 R' D' B' D F' U
B2 R' D' B' D' F' U
B2 R' D' B' D2 F' U
B2 R' D' B' F' U D
B2 R' D' B' F' U D'
B2 R' D' B' F' U D2
B2 R' D' B' F' D U
B2 R' D' B' F' D' U
B2 R' D' B' F' D2 U
B R' D' F' R U F'
R U2 L D B U' R'
L U2 L F L2 B U
B2 R' D2 F' D B' U
B2 R' D2 F' D' B' U
B2 R' D2 F' D2 B' U
B2 R' D2 F' B' U D
B2 R' D2 F' B' U D'
B2 R' D2 F' B' U D2
B2 R' D2 F' B' D U
B2 R' D2 F' B' D' U
B2 R' D2 F' B' D2 U
L U2 L F B L2 U
B2 R' D2 B' D F' U
B2 R' D2 B' D' F' U
B2 R' D2 B' D2 F' U
B2 R' D2 B' F' U D
B2 R' D2 B' F' U D'
B2 R' D2 B' F' U D2
B2 R' D2 B' F' D U
B2 R' D2 B' F' D' U
B2 R' D2 B' F' D2 U
L U2 L B F L2 U
B R' D2 F' R U D
B R' D2 F' R U D'
B R' D2 F' R U D2
B R' D2 F' R U D
B R' D2 F' R U D'
B R' D2 F' R U D2
B R' D2 F' R D U
B R' D2 F' R D' U
B R' D2 F' R D2 U
B R' D2 F' D R U
B R' D2 F' D' R U
B R' D2 F' D2 R U
B2 R' F D' B' U L2
B2 R' F B' U D' L2
L U2 L' B U D L2
L U2 L' B U2 B2 U'
B2 R' F B' D' U L2
L U2 L' B D U L2
L U2 L' B D2 F2 U
D2 R' F' U2 L F U'
D' R' F' U2 L F U'
F' R' F' U2 L F U'
B2 R' F' R' B' R U
B2 R' F' R2 B' R2 U
F2 R' F' U2 L F U'
B' R' F' B' R' B' U
B2 R' F' D B' U D
B2 R' F' D B' U D'
B2 R' F' D B' U D2
B2 R' F' D B' D U
B2 R' F' D B' D' U
B2 R' F' D B' D2 U
B2 R' F' D' B' U D
B2 R' F' D' B' U D'
B2 R' F' D' B' U D2
B2 R' F' D' B' D U
B2 R' F' D' B' D' U
B2 R' F' D' B' D2 U
B2 R' F' D2 B' U D
B2 R' F' D2 B' U D'
B2 R' F' D2 B' U D2
B2 R' F' D2 B' D U
B2 R' F' D2 B' D' U
B2 R' F' D2 B' D2 U
B2 R' F' B U D' R2
B2 R' F' B D' U R2
D R' F' U2 L F U'
B2 R' F' B2 D B U
B2 R' F' B2 D' B U
B2 R' F' B2 D2 B U
B R' F' D' R U F'
F R' F' U2 L F U'
B R' F' B R' B' U
B2 R' F2 D F B' U
B2 R' F2 D B' F U
B2 R' F2 D' F B' U
