B' L2 U' B R2
R2 U B' L2 U'
U B' L2 U' R2
L2 R2 U' F U F'
R2 L2 U' F U F'
B' L2 U' B R2 D
B' L2 U' B R2 D'
B' L2 U' B R2 D2
B' L2 U' B' R2 B2
B' L2 U' B2 R2 B'
U L2 U2 F U R2
B' L2 D' F2 U' B
B' L2 F U' B R2
B' L2 F U' B R2
R2 U L2 U2 F U
B' L2 F' U' B R2
B' L2 F2 U' B R2
B2 L2 B U' B R2
R2 U D B' U' F2
R2 U B L2 B2 U'
R2 U B' L2 U' D
R2 U B' L2 U' D'
R2 U B' L2 U' D2
R2 U B' L2 D U'
R2 U B' L2 D' U'
R2 U B' L2 D2 U'
R2 U B' U' D F2
R2 U B' D U' F2
R U B' L2 U' R
R2 U B2 L2 B U'
L2 U' F U F' R2
L2 U2 F U R2 B
F' R2 U B' L2 U'
F2 R2 U B' L2 U'
F R2 U B' L2 U'
B R2 D F2 B' L2
B R2 D B' L2 F2
B R2 D B' F2 L2
R2 D U B' U' F2
R2 D F2 U B' U'
F' U B' L2 U' R2
F2 U B' L2 U' R2
F U B' L2 U' R2
B' U' B R2 D F2
R2 F U B' L2 U'
U F B' L2 U' R2
U F B' L2 U' R2
R2 F' U B' L2 U'
U F' B' L2 U' R2
R2 F2 U B' L2 U'
U F2 B' L2 U' R2
U B L2 B2 U' R2
B' F L2 U' B R2
R2 B D F2 B' L2
R2 B D B' L2 F2
R2 B D B' F2 L2
R' B' L2 U' B R'
U B' L2 U' R2 D
U B' L2 U' R2 D'
U B' L2 U' R2 D2
U B' L2 D' F2 U'
U B' L2 F U' R2
U B' L2 F' U' R2
U B' L2 F2 U' R2
R B' L2 U' B R
F' B' L2 U' B R2
B' F' L2 U' B R2
F2 B' L2 U' B R2
F B' L2 U' B R2
U B' U' R2 D F2
U B' F L2 U' R2
U B' F' L2 U' R2
U B' F2 L2 U' R2
B' F2 L2 U' B R2
U B2 L2 B U' R2
R2 L U L B U' L
L2 R U' F U F' R
B' L D' L F2 U' B
B' L D' F2 L U' B
B' L F L U' B R2
B' L F' L U' B R2
B' L F2 L U' B R2
R2 L' U L B' L2 U'
R2 L' U L' U2 F U
L2 R' U' F U F' R'
B' L' D' L' F2 U' B
L' R2 U L B' L2 U'
L' R2 U L' U2 F U
L R2 U L B U' L
L2 R2 U' R F U F'
R2 L2 U' R F U F'
R' L2 U' F U F' R'
L2 R2 U' R' F U F'
R2 L2 U' R' F U F'
L2 R2 U' R2 F U F'
R2 L2 U' R2 F U F'
L2 R2 U' D F U F'
R2 L2 U' D F U F'
L2 R2 U' D' F U F'
R2 L2 U' D' F U F'
L2 R2 U' D2 F U F'
R2 L2 U' D2 F U F'
L2 R2 U' F U D F'
L2 R2 U' F U D' F'
L2 R2 U' F U D2 F'
L2 R2 U' F U F' D
L2 R2 U' F U F' D'
L2 R2 U' F U F' D2
L2 R2 U' F D U F'
L2 R2 U' F D' U F'
R2 L2 U' F U D F'
R2 L2 U' F U D' F'
R2 L2 U' F U D2 F'
R2 L2 U' F U F' D
R2 L2 U' F U F' D'
R2 L2 U' F U F' D2
L2 R2 U' F D2 U F'
R2 L2 U' F D U F'
R2 L2 U' F D' U F'
R2 L2 U' F D2 U F'
R L2 U' F U F' R
B2 L' B L' U' B R2
L2 R2 D U' F U F'
R2 L2 D U' F U F'
L2 R2 D' U' F U F'
R2 L2 D' U' F U F'
B' L2 R U' R' B R2
L2 R2 D2 U' F U F'
R2 L2 D2 U' F U F'
F' L2 R2 U' F U F'
F2 L2 R2 U' F U F'
F L2 R2 U' F U F'
B' L2 U L U2 B R2
B' L2 U L' U2 B R2
B' L2 U L2 U2 B R2
L2 R2 F' U' F2 U F2
R2 L2 F' U' F2 U F2
L2 R2 F' D' L2 D F2
R2 L2 F' D' L2 D F2
B' L2 U D2 L2 U2 B
B' L2 U F U2 B R2
B' L2 U F' U2 B R2
B' L2 U F2 U2 B R2
B' L2 U' L B L' R2
B' L2 U' L B R2 L'
B' L2 U' L2 B L2 R2
