R' B U B L U
R' L D L2 B U2 B2
R' L D F L2 B U2
R' L D F B L2 U2
R' L D B L2 U2 B'
R' L D B F L2 U2
R' L D' F U2 R2 F'
R' L D' F B U2 R2
R' L D' B F U2 R2
R' L F U2 D' R2 F'
R' L F D L2 B U2
R' L F D B L2 U2
R' L F D' U2 R2 F'
R' L F D' B U2 R2
R' L F B U B U
R' L B F U B U
R' L' U2 D' R2 F' B'
R' L' U2 D' R2 B' F'
L' R' U2 D' R2 F' B'
L' R' U2 D' R2 B' F'
B2 L' R U F' B' L2
B2 L' R U B' L2 F'
B2 L' R U B' F' L2
R' L' D L2 F B U2
R' L' D L2 B F U2
L' R' D L2 F B U2
L' R' D L2 B F U2
L R' D L2 B U2 B2
R' L' D B L2 U2 B2
L' R' D B L2 U2 B2
L R' D F L2 B U2
L R' D F B L2 U2
L R' D B L2 U2 B'
L R' D B F L2 U2
R' L' D' U2 R2 F' B'
R' L' D' U2 R2 B' F'
L' R' D' U2 R2 F' B'
L' R' D' U2 R2 B' F'
R' L' D' B U2 R2 B2
R' L' D' B U2 B2 R2
L' R' D' B U2 R2 B2
L' R' D' B U2 B2 R2
L R' D' F U2 R2 F'
L R' D' F B U2 R2
L R' D' B F U2 R2
L R' F U2 D' R2 F'
L R' F D L2 B U2
L R' F D B L2 U2
L R' F D' U2 R2 F'
L R' F D' B U2 R2
L R' F B U B U
R' L' B U B U B
L' R' B U B U B
L R' B F U B U
B2 R L' U F' B' L2
B2 R L' U B' L2 F'
B2 R L' U B' F' L2
U2 R' U2 D' R2 F' B
U2 R' U2 D' R2 B F'
U2 R' D L2 F' B U2
U2 R' D L2 B F' U2
U2 R' D F' L2 B U2
U2 R' D F' B L2 U2
U2 R' D B L2 F' U2
U2 R' D B F' L2 U2
U2 R' D' U2 R2 F' B
U2 R' D' U2 R2 B F'
U2 R' D' F' U2 R2 F'
U2 R' D' F' B U2 R2
U2 R' D' B U2 R2 B
U2 R' D' B F' U2 R2
U2 R' F' U2 D' R2 F'
U2 R' F' D L2 B U2
U2 R' F' D B L2 U2
U2 R' F' D' U2 R2 F'
U2 R' F' D' B U2 R2
U2 R' F' B U B U
F' R' B U B L U
F2 R' B U B L U
U2 R' B F' U B U
F R' B U B L U
U R' B U L B U
R' U2 D' R B R F'
D' R2 D' F2 L' F B'
D' R2 D' F2 L' B' F
R' D L F L B U2
R' D L' B L' U2 B2
R' D B L F L U2
R' D' L F U2 R2 F'
R' D' L F B U2 R2
R' D' L B F U2 R2
R' D' L' U2 R2 F' B'
R' D' L' U2 R2 B' F'
R' D' L' B U2 R2 B2
R' D' L' B U2 B2 R2
R2 D' R B U2 R B
R' D' U2 R B R F'
R' D' B L F U2 R2
R' D' B L' U2 R2 B'
R' D' B L' U2 B' R2
R' D' B U2 R B R
B2 U2 R U' L F' B
B2 U2 R U' L B F'
B2 U2 R U' F' L B
L F R' U2 D' R2 F'
L F R' D L2 B U2
L F R' D B L2 U2
L F R' D' U2 R2 F'
L F R' D' B U2 R2
L F R' B U B U
R' F B U B L U
R' F' B U B L U
B2 D2 L' U F B' L2
B2 D2 L' U B' F L2
R' F2 B U B L U
R' B L F U B U
R' B L' U B U B2
R' B L' U2 B' D' R2
R' B U L B L U
R' B U L' B L U
R' B U L2 B L U
R' B U D B L U
R' B U D' B L U
R' B U D2 B L U
R' B U B L U D
R' B U B L U D'
R' B U B L U D2
R' B U B L D U
R' B U B L D' U
R' B U B L D2 U
R' B U B D L U
R' B U B D' L U
R' B U B D2 L U
R' B U2 R D B R'
R' B D U B L U
R' B D' U B L U
R' B D2 U B L U
R' B F U B L U
R' B F' U B L U
R' B F2 U B L U
L2 B2 R U L F' B'
L2 B2 R U L B' F'
L2 B2 R U F' L B'
U2 B2 R U L F' B
U2 B2 R U L B F'
U2 B2 R U F' L B
