R' L F B2 U F2
R' L B2 F U F2
L R' F B2 U F2
L R' B2 F U F2
L F R' B2 U F'
L F B2 R' U F'
L B2 R' F U F2
L B2 F R' U F'
R' L U F' D' L2 R2
R' L U F' D' R2 L2
F' L R' F B2 U F2
D' L R' F U R' F2
D' L R' F U F2 R'
F2 L R' F B2 U F2
U2 L R' F' B2 U F2
F L R' F B2 U F2
F' L R' B2 F U F2
U2 L R' B2 F' U F2
F2 L R' B2 F U F2
F L R' B2 F U F2
R' L D' F U R2 F2
R' L D' F U F2 R2
L R D' F U R2 F'
R L D' F U R2 F'
R' L F R B2 U F2
R' L F R' B2 U F2
R' L F R2 B2 U F2
R2 L F R B2 U F'
R' L F U F2 D' R2
L R F R2 B2 U F'
L R F U D' R2 F'
R L F R2 B2 U F'
R L F U D' R2 F'
L R F D' U R2 F'
R' L F B2 R U F2
R' L F B2 R' U F2
R' L F B2 R2 U F2
R' L F B2 U F2 D
R' L F B2 U F2 D'
R' L F B2 U F2 D2
R' L F B2 D R2 U
R L F D' U R2 F'
R2 L F B2 R U F'
L R F B2 U' B' U2
R L F B2 U' B' U2
D' L F R' U F' R'
F' L F R' B2 U F'
F2 L F R' B2 U F'
F L F R' B2 U F'
F' L F B2 R' U F'
F2 L F B2 R' U F'
F L F B2 R' U F'
R2 L B2 R F U F2
R' L B2 U F' D' L2
R' L B2 D F U F2
U2 L F2 B2 U F' L'
R' L B2 D' F U F2
R' L B2 D2 F U F2
R' L B2 F R U F2
R' L B2 F R' U F2
R' L B2 F R2 U F2
R' L B2 F U F2 D
R' L B2 F U F2 D'
R' L B2 F U F2 D2
R' L B2 F D R2 U
R2 L B2 F R U F'
L R B2 F U' B' U2
R L B2 F U' B' U2
L R' U F' D' L2 R2
L R' U F' D' R2 L2
F' L B2 R' F U F2
F2 L B2 R' F U F2
U2 L B2 R' F' U F2
F L B2 R' F U F2
U2 L B2 U F' L' F2
F' L B2 F R' U F'
F2 L B2 F R' U F'
F L B2 F R' U F'
U2 L B2 F2 U F' L'
L R' D' F U R2 F2
