L2 R' F B R' U
L2 R' B R' F U
L2 R' B F R' U
R' L2 F B R' U
R' L2 B R' F U
R' L2 B F R' U
L2 F R' B R' U
L2 F R' B R' U
L2 F B R' B U
L2 B R' F B U
L2 B R' B F U
L2 B F R' B U
B' L R F' U2 L U
B' L R' U2 L B U
B' L U2 D2 L B' U
B' L D2 U2 L B' U
L2 R' F B R' U D
L2 R' F B R' U D'
L2 R' F B R' U D2
L2 R' F B R' D U
L2 R' F B R' D' U
L2 R' F B R' D2 U
L2 R' F B D R' U
L2 R' F B D' R' U
L2 R' F B D2 R' U
L2 R' F' B R' F2 U
R' L' B L' R' F U
R' L' B L' F R' U
L' R' B L' R' F U
L' R' B L' F R' U
R' L' B R' L' F U
L' R' B R' L' F U
L2 R' B R F R2 U
L2 R' B R' D F U
L2 R' B R' D' F U
L2 R' B R' D2 F U
L2 R' B R' F U D
L2 R' B R' F U D'
L2 R' B R' F U D2
L2 R' B R' F D U
L2 R' B R' F D' U
L2 R' B R' F D2 U
L2 R' B D R' F U
L2 R' B D F R' U
L2 R' B D' R' F U
L2 R' B D' F R' U
L2 R' B D2 R' F U
L2 R' B D2 F R' U
L2 R' B F R' U D
L2 R' B F R' U D'
L2 R' B F R' U D2
L2 R' B F R' D U
L2 R' B F R' D' U
L2 R' B F R' D2 U
L2 R' B F D R' U
L2 R' B F D' R' U
L2 R' B F D2 R' U
L2 R' B F' R' F2 U
B' L' F2 L2 R F' U'
B' L' F2 R L2 F' U'
B' L' F2 R F' L2 U'
F' L2 R' F B R' U
U' L2 R' F B R' U
B L2 R' D B U L2
F2 L2 R' F B R' U
L2 R2 F R B R' U
F' L2 R' B R' F U
F' L2 R' B F R' U
R2 L2 F R B R' U
U2 L2 R' F B R' U
U' L2 R' B R' F U
B L2 R' D2 F2 B U
U' L2 R' B F R' U
B L2 R' D2 B F2 U
F2 L2 R' B R' F U
F2 L2 R' B F R' U
R' L2 F B R' U D
R' L2 F B R' U D'
R' L2 F B R' U D2
R' L2 F B R' D U
R' L2 F B R' D' U
R' L2 F B R' D2 U
R' L2 F B D R' U
R' L2 F B D' R' U
R' L2 F B D2 R' U
U2 L2 R' B R' F U
U2 L2 R' B F R' U
F L2 R' F B R' U
B L2 R' B U2 B U'
U L2 R' F B R' U
F L2 R' B R' F U
F L2 R' B F R' U
U L2 R' B R' F U
U L2 R' B F R' U
R' L2 F' B R' F2 U
R' L2 B R F R2 U
R' L2 B R' D F U
R' L2 B R' D' F U
R' L2 B R' D2 F U
R' L2 B R' F U D
R' L2 B R' F U D'
R' L2 B R' F U D2
