D' U' B2 R' F'
U' D' B2 R' F'
F' L' D F2 R U'
U2 L2 U' L' B' U2
L2 U L' B' U2 B
D' R U' B2 R' F'
L2 U' L' U2 L F
R' U' D' B2 R' F'
R2 U' D' B2 R' F'
R U' D' B2 R' F'
D' R' U' B2 R' F'
U' R' D' F' B2 R'
U' R' D' B2 F' R'
U' R' F' D' B2 R'
D2 R2 U L U2 F
D' R2 U' B2 R' F'
D' U L U2 F B2
D' U L U2 B2 F
U D L F2 U2 F'
D U L F2 U2 F'
D U F2 L U2 F
U D F2 L U2 F
R' D' U' B2 R' F'
U D' L U2 F B2
U D' L U2 B2 F
R2 D' U' B2 R' F'
U' D' R' F' B2 R'
R D' U' B2 R' F'
U' D' R' B2 F' R'
D' U' R' F' B2 R'
D' U' R' B2 F' R'
U' D' F B2 R' F'
D' U' F B2 R' F'
U' D' F' B2 R' F'
D' U' F' B2 R' F'
U' D' F2 B2 R' F'
D' U' F2 B2 R' F'
U' D' B2 R' D F'
U' D' B2 R' D' F'
U' D' B2 R' D2 F'
U' D' B2 R' F' D
U' D' B2 R' F' D'
U' D' B2 R' F' D2
U' D' B2 D R' F'
U' D' B2 D' R' F'
U' D' B2 D2 R' F'
D' U' B2 R' D F'
D' U' B2 R' D' F'
U' D' B2 F R' F'
D' U' B2 R' D2 F'
D' U' B2 R' F' D
D' U' B2 R' F' D'
D' U' B2 R' F' D2
U' D' B2 F' R' F'
U' D' B2 F2 R' F'
D' U' B2 D R' F'
D' U' B2 D' R' F'
D' U' B2 D2 R' F'
D' U' B2 F R' F'
D' U' B2 F' R' F'
D' U' B2 F2 R' F'
U' F D' B2 R' F'
U' F' D' B2 R' F'
U' F2 D' B2 R' F'
U' B2 R' D' F' B2
U' B2 R' D' B2 F'
U' B2 R' F' D' B2
U' B2 D' R' F' B2
U' B2 D' R' B2 F'
L2 R U L' B' U2 B
L2 R U' L' U2 L F
F L U2 L R U R'
F L U2 R L U R'
U L U2 F U' L U
D' L F' L' U' B2 R'
U L F' U L U F2
U L F2 U L U F'
L2 R' U L' B' U2 B
L2 R' U' L' U2 L F
U L B2 U' R' U' F
F' L' R D F2 R U'
F' L' R' D F2 R U'
F' L' R2 D F2 R U'
F' L' U L2 U L U
F' L' U2 L' U' L' U2
F' L' U2 D' L' B2 U
F' L' U2 D' B2 L' U
F' L' U2 D2 L' U R2
F' L' D R F2 R U'
F' L' D R' F2 R U'
F' L' D R2 F2 R U'
F' L' D F2 R U' D
F' L' D F2 R U' D'
F' L' D F2 R U' D2
F' L' D F2 R D U'
F' L' D F2 R D' U'
F' L' D F2 R D2 U'
F' L' D F2 D R U'
F' L' D F2 D' R U'
F' L' D F2 D2 R U'
F2 L' D F2 R U' F'
F L' D F2 L' R U'
F L' D F2 R L' U'
F' L' D' U2 L' B2 U
F' L' D' U2 B2 L' U
F' L' D2 U2 L' U R2
F' L' D2 F2 R U' R
R' L2 U L' B' U2 B
R2 L2 U L' B' U2 B
L2 R2 U L' B' U2 B
R L2 U L' B' U2 B
R' L2 U' L' U2 L F
F' L' F2 R U L2 U2
F' L' F2 R U' D2 R2
F' L' F2 R D F2 U'
F' L' F2 R D2 U' R2
L2 R2 U' L' U2 L F
R2 L2 U' L' U2 L F
R L2 U' L' U2 L F
F' L' F2 D R F2 U'
F' L' F2 D2 R U' R
U L' B' L2 U L U
U2 L2 R U' L' B' U2
F L2 R U' L' U2 L
U2 L2 R' U' L' B' U2
D2 L2 R2 U L' B' U2
U2 L2 R2 U' L' B' U2
D' L2 U L' B' U2 B'
D L2 U L' F2 B' U2
D L2 U L' B' F2 U2
U2 L2 U R' F2 R F
U2 L2 U R2 F2 R F'
U2 L2 U F' R' F' R
U2 L2 U F2 R' F' R2
U2 L2 U' L' D B' U2
U2 L2 U' L' D' B' U2
U2 L2 U' L' D2 B' U2
U2 L2 U' L' B' U2 D
U2 L2 U' L' B' U2 D'
U2 L2 U' L' B' U2 D2
U2 L2 U' L' B' D U2
U2 L2 U' L' B' D' U2
U2 L2 U' L' B' D2 U2
U2 L2 U' D L' B' U2
U2 L2 U' D' L' B' U2
U2 L2 U' D2 L' B' U2
U2 L2 U' B L' B' U2
U2 L2 U' B' L' B' U2
U2 L2 U' B2 L' B' U2
U2 L2 D U' L' B' U2
U2 L2 D' U' L' B' U2
U2 L2 D2 U' L' B' U2
L2 U L' D B' U2 B
L2 U L' D' B' U2 B
L2 U L' D2 B' U2 B
L2 U L' F B' U2 B
L2 U L' F' B' U2 B
L2 U L' F2 B' U2 B
B L2 F R B U R'
L2 U L' B' U2 D B
L2 U L' B' U2 D' B
L2 U L' B' U2 D2 B
L2 U L' B' U2 B D
L2 U L' B' U2 B D'
L2 U L' B' U2 B D2
L2 U L' B' D U2 B
L2 U L' B' D' U2 B
L2 U L' B' D2 U2 B
L2 U L' B' F U2 B
L2 U L' B' F' U2 B
L2 U L' B' F2 U2 B
B L2 F B R U R2
B L2 B F R U R2
R' U D L F2 U2 F'
U2 L2 B' R' U' L' U2
L2 U D L' B' U2 B
R' U D F2 L U2 F
R2 U D L F2 U2 F'
R U D L F2 U2 F'
R' U D' L U2 F B2
R' U D' L U2 B2 F
R2 U D F2 L U2 F
L2 U D' L' B' U2 B
R U D F2 L U2 F
R2 U D' L U2 F B2
R2 U D' L U2 B2 F
R U D' L U2 F B2
R U D' L U2 B2 F
L2 U D2 L' B' U2 B
F' R L' D F2 R U'
U2 R L2 U' L' B' U2
F R L2 U' L' U2 L
D' R U L U2 F B2
D' R U L U2 B2 F
D R U L F2 U2 F'
U2 R U D' B2 R' F'
D R U F2 L U2 F
D' R U' R' F' B2 R'
D' R U' R' B2 F' R'
D' R U' F B2 R' F'
D' R U' F' B2 R' F'
D' R U' F2 B2 R' F'
D' R U' B2 R' D F'
D' R U' B2 R' D' F'
D' R U' B2 R' D2 F'
D' R U' B2 R' F' D
D' R U' B2 R' F' D'
D' R U' B2 R' F' D2
D' R U' B2 D R' F'
D' R U' B2 D' R' F'
D' R U' B2 D2 R' F'
D' R U' B2 F R' F'
D' R U' B2 F' R' F'
D' R U' B2 F2 R' F'
D R U' D2 B2 R' F'
L2 U B' L' B' U2 B2
L2 U B2 L' B' U2 B'
U' R D' R' B2 R' F'
U' R D' R2 F' B2 R'
U' R D' R2 B2 F' R'
U2 R D' U B2 R' F'
U R D' B2 L R' F
U R D' B2 L F R'
U R D' B2 R' L F
L2 U' L' R' U2 L F'
L2 U' L' R' U2 F' L
D R D2 U' B2 R' F'
L2 U' L' U2 L D F
L2 U' L' U2 L D' F
L2 U' L' U2 L D2 F
L2 U' L' U2 L F D
L2 U' L' U2 L F D'
L2 U' L' U2 L F D2
L2 U' L' U2 D L F
L2 U' L' U2 D' L F
L2 U' L' U2 D2 L F
L2 U' L' U2 F L F
L2 U' L' U2 F' L F
L2 U' L' U2 F2 L F
L2 U' L' D U2 L F
L2 U' L' D' U2 L F
L2 U' L' D2 U2 L F
L2 U' L' B2 R' U2 F'
L2 U' R B L' U2 L
R' U' R' D' F' B2 R'
R' U' R' D' B2 F' R'
L2 U' R' L' U2 L F'
L2 U' R' L' U2 F' L
R' U' R' F' D' B2 R'
R2 U' R' D' F' B2 R'
R2 U' R' D' B2 F' R'
R2 U' R' F' D' B2 R'
R U' R' D' F' B2 R'
R U' R' D' B2 F' R'
R U' R' F' D' B2 R'
L2 U' D L' U2 L F
R' U' D' R' F' B2 R'
R' U' D' R' B2 F' R'
R' U' D' F B2 R' F'
R' U' D' F' B2 R' F'
L2 U' D' L' U2 L F
R' U' D' F2 B2 R' F'
R' U' D' B2 R' D F'
R' U' D' B2 R' D' F'
R' U' D' B2 R' D2 F'
R' U' D' B2 R' F' D
R' U' D' B2 R' F' D'
R' U' D' B2 R' F' D2
R' U' D' B2 D R' F'
R' U' D' B2 D' R' F'
R' U' D' B2 D2 R' F'
R' U' D' B2 F R' F'
R' U' D' B2 F' R' F'
R' U' D' B2 F2 R' F'
R2 U' D' R' F' B2 R'
R2 U' D' R' B2 F' R'
R2 U' D' F B2 R' F'
R2 U' D' F' B2 R' F'
R2 U' D' F2 B2 R' F'
R U' D' R' F' B2 R'
R U' D' R' B2 F' R'
L2 U' D2 L' U2 L F
R2 U' D' B2 R' D F'
R2 U' D' B2 R' D' F'
R2 U' D' B2 R' D2 F'
R2 U' D' B2 R' F' D
R2 U' D' B2 R' F' D'
R2 U' D' B2 R' F' D2
R2 U' D' B2 D R' F'
R2 U' D' B2 D' R' F'
R2 U' D' B2 D2 R' F'
R U' D' F B2 R' F'
R2 U' D' B2 F R' F'
R2 U' D' B2 F' R' F'
R2 U' D' B2 F2 R' F'
R U' D' F' B2 R' F'
R U' D' F2 B2 R' F'
R U' D' B2 R' D F'
R U' D' B2 R' D' F'
R U' D' B2 R' D2 F'
R U' D' B2 R' F' D
R U' D' B2 R' F' D'
R U' D' B2 R' F' D2
R U' D' B2 D R' F'
R U' D' B2 D' R' F'
R U' D' B2 D2 R' F'
R U' D' B2 F R' F'
R U' D' B2 F' R' F'
R U' D' B2 F2 R' F'
F' R' L' D F2 R U'
R' U' F D' B2 R' F'
U2 R' L2 U' L' B' U2
R2 U' F D' B2 R' F'
D' R' U L U2 F B2
D' R' U L U2 B2 F
R' U' F' D' B2 R' F'
R U' F D' B2 R' F'
D R' U L F2 U2 F'
R2 U' F' D' B2 R' F'
U2 R' U D' B2 R' F'
R' U' F2 D' B2 R' F'
L2 U' F2 R' F' R2 B
R U' F' D' B2 R' F'
D' R' U' R' F' B2 R'
D R' U F2 L U2 F
D' R' U' R' B2 F' R'
D' R' U' F B2 R' F'
D' R' U' F' B2 R' F'
D' R' U' F2 B2 R' F'
R2 U' F2 D' B2 R' F'
D' R' U' B2 R' D F'
D' R' U' B2 R' D' F'
D' R' U' B2 R' D2 F'
D' R' U' B2 R' F' D
D' R' U' B2 R' F' D'
D' R' U' B2 R' F' D2
L2 U' B L' U2 L F
D' R' U' B2 D R' F'
D' R' U' B2 D' R' F'
D' R' U' B2 D2 R' F'
D' R' U' B2 F R' F'
D' R' U' B2 F' R' F'
D' R' U' B2 F2 R' F'
D R' U' D2 B2 R' F'
R U' F2 D' B2 R' F'
F R' U' D' F2 B2 R'
F R' U' D' B2 R' F2
F R' U' D' B2 F2 R'
L2 U' B' L' U2 L F
