L B R F' U' B
U L F B R F' U'
F' L B R F' U' B
F2 L B R F' U' B
D L B R U' B R2
F L B R F' U' B
U L B F R F' U'
L D B R U' B R2
R D2 L F' B' U' B2
R D2 L B' F' U' B2
R D2 F' L B' U' B2
U F L B R F' U'
L F B R F' U' B
B D' R U' F' B R
B D' R U' B F' R
R F' D2 L B' U' B2
L F' B R F' U' B
L F2 B R F' U' B
L2 B L' R F' U' B
L' B L2 R F' U' B
L' B R L2 F' U' B
L' B R F' L2 U' B
L2 B R L' F' U' B
L B R D F' U' B
L B R D' F' U' B
L B R D2 F' U' B
L B R F' U' D B
L B R F' U' D' B
L B R F' U' D2 B
L B R F' U' B D
L B R F' U' B D'
L B R F' U' B D2
L B R F' D U' B
L B R F' D' U' B
L B R F' D2 U' B
L B R2 U' B' R' B
L B D R U' B R'
L B F R F' U' B
L B F' R F' U' B
L B F2 R F' U' B
L B' R F' B2 U' B'
L B' R B2 F' U' B'
L B2 R F' B' U' B2
L B2 R B' F' U' B2
