B L D2 B U' R' B
F L' U' L B2 U' F
F L' U' B2 L U' F
F L' B U' L B U'
D L2 B' U' R' B U
B2 U F D L' U2 F
U' F L' U2 D L2 F
U' F L' D U2 L2 F
U' F L' D B' U2 L2
U' F L' D' R2 B' U2
U' F L' D' B' R2 U2
U' F L' B' U' B' U'
F U2 F2 D L2 R F'
F U2 F2 D R L2 F'
F U2 F2 D R F' L2
U' F D L' B' U2 L'
U' F D' L' R2 B' U2
U' F D' L' B' R2 U2
U' F D' R2 L' B' U2
D2 F2 R2 U B R' F'
F' D2 B2 D' L2 R F'
F' D2 B2 D' R L2 F'
F' D2 B2 D' R F' L2
B F L' U' L2 B U'
B F L' U' B L2 U'
F B L' U' L2 B U'
F B L' U' B L2 U'
D B' R' B U L2 B'
U2 B2 U F L' B' U2
