L' U' L' B R2
L' U' B L' R2
L' U' B R2 L'
B L R2 D L F2
B L R2 D F2 L
B' L' U' L' R2 B2
U' L' U' L' B R2
B' L' U' L' B2 R2
B' L' U' R2 L' B2
B' L' U' R2 B2 L'
U2 L' U' L' B R2
U L' U' L' B R2
U' L' U' B L' R2
U' L' U' B R2 L'
B' L' U' B2 L' R2
B' L' U' B2 R2 L'
U2 L' U' B L' R2
U2 L' U' B R2 L'
U L' U' B L' R2
U L' U' B R2 L'
D' L' F2 B2 U' B'
D' L' B2 F2 U' B'
B L2 R2 U L U'
B L2 U L U' R2
L2 U L U' B R2
L' U' L B L2 R2
L' U' L B R2 L2
L' U' L' B R2 D
L' U' L' B R2 D'
L' U' L' B R2 D2
L' U' L' B' R2 B2
L' U' L' B2 R2 B'
L' U' B L' R2 D
L' U' B L' R2 D'
L' U' B L' R2 D2
L' U' B R2 L' D
L' U' B R2 L' D'
L' U' B R2 L' D2
L' U' B R2 D L'
L' U' B R2 D' L'
L' U' B R2 D2 L'
L' U' B' L' R2 B2
L' U' B' L' B2 R2
L' U' B' R2 L' B2
L' U' B' R2 B2 L'
L' U' B2 R2 B' L'
B R2 L D L F2
B R2 L D F2 L
B R2 L2 U L U'
B R2 U L' U' L'
B U L' U' L' R2
B U L' U' R2 L'
D F2 B2 R U B'
L2 B R D' R F'
L' B' U' L' R2 B2
L' B' U' L' B2 R2
L' B' U' R2 L' B2
L' B' U' R2 B2 L'
L' B' U' B2 L' R2
L' B' U' B2 R2 L'
L' B2 U' R2 B' L'
L' B2 U' B' L' R2
L' B2 U' B' R2 L'
D B2 F2 R U B'
B L R D L R F2
B L R D R L F2
B L R D R F2 L
L' R U' L' R' B R2
L' R U' R' L' B R2
L' R U' R' B L' R2
L' R U' R' B R2 L'
B L R' D L R' F2
B L R' D L F2 R'
B L R' D R' L F2
B L R' D R' F2 L
B L R' D F2 L R'
B L R' D F2 R' L
B L R2 U L2 U' L'
B L R2 D L F2 D
B L R2 D L F2 D'
B L R2 D L F2 D2
B L R2 D L' F2 L2
B L R2 D F' L F'
B L R2 D F2 L D
B L R2 D F2 L D'
B L R2 D F2 L D2
B L R2 D F2 D L
B L R2 D F2 D' L
B L R2 D F2 D2 L
B L R2 D' L D2 F2
B L R2 D2 L D' F2
B L R2 F D L F2
B L R2 F D F2 L
B L R2 F' D L F2
B L R2 F' D F2 L
B L R2 F2 D L F2
B L R2 F2 D F2 L
F L U L F B R2
F L U L B R2 F
F L U L B F R2
B L U L2 U' L' R2
B L U L2 U' R2 L'
R2 L D L' F2 L2 B'
R2 L D F2 L2 B' L'
D' L D L2 F2 B R2
D' L D L2 B R2 F2
D' L D L2 B F2 R2
B L D L F2 D' R2
D' L D R2 F2 L2 B'
D' L D F2 L2 B R2
D' L D F2 B L2 R2
D' L D F2 B R2 L2
D' L D B L2 R2 F2
D' L D B L2 F2 R2
D' L D B R2 L2 F2
D' L D B R2 F2 L2
D' L D B F2 L2 R2
D' L D B F2 R2 L2
B L D F2 L D' R2
B L D F2 D' L R2
B L D F2 D' R2 L
D L D' L2 B R2 F'
D L D' B L2 R2 F'
D L D' B R2 L2 F'
D L D' B R2 F' L2
B L F R2 D L F2
B L F R2 D F2 L
B L F' R2 D L F2
B L F' R2 D F2 L
D' L F2 L2 B2 U' B'
B L F2 R2 D L F2
B L F2 R2 D F2 L
R L' U' L' R' B R2
R L' U' R' L' B R2
R L' U' R' B L' R2
R L' U' R' B R2 L'
B' L B2 R2 D F2 L'
B' L' R U' L' R B2
B' L' R U' L' B2 R
B' L' R U' R L' B2
B' L' R U' R B2 L'
B' L' R U' B2 L' R
B' L' R U' B2 R L'
B' L' R' U' L' R' B2
B' L' R' U' R' L' B2
B' L' R' U' R' B2 L'
D2 L' U L' R2 F' U2
D2 L' U R2 L' F' U2
B' L' U' L R2 B2 L2
B' L' U' L B2 L2 R2
B' L' U' L B2 R2 L2
U' L' U' L B L2 R2
B' L' U' L' R B2 R
U' L' U' L B R2 L2
B' L' U' L' R2 B2 D
B' L' U' L' R2 B2 D'
B' L' U' L' R2 B2 D2
B2 L' U' L R2 B' L2
U2 L' U' L B L2 R2
U2 L' U' L B R2 L2
B' L' U' L' B' R2 B'
B' L' U' L' B2 R2 D
B' L' U' L' B2 R2 D'
B' L' U' L' B2 R2 D2
U' L' U' L' B R2 D
U' L' U' L' B R2 D'
U' L' U' L' B R2 D2
U' L' U' L' B' R2 B2
U' L' U' L' B2 R2 B'
B2 L' U' L B' L2 R2
B2 L' U' L B' R2 L2
U2 L' U' L' B R2 D
U2 L' U' L' B R2 D'
U2 L' U' L' B R2 D2
U2 L' U' L' B' R2 B2
U2 L' U' L' B2 R2 B'
B' L' U' R L' B2 R
B' L' U' R B2 L' R
B' L' U' R B2 R L'
D' L' U' D L2 B R2
B' L' U' R2 L B2 L2
B' L' U' R2 L' B2 D
B' L' U' R2 L' B2 D'
B' L' U' R2 L' B2 D2
D' L' U' D B L2 R2
D' L' U' D B R2 L2
B' L' U' R2 B L' B
B' L' U' R2 B2 L' D
B' L' U' R2 B2 L' D'
B' L' U' R2 B2 L' D2
U L' U' L B L2 R2
U L' U' L B R2 L2
B' L' U' R2 B2 D L'
B' L' U' R2 B2 D' L'
B' L' U' R2 B2 D2 L'
B2 L' U' R2 L B' L2
U L' U' L' B R2 D
U L' U' L' B R2 D'
U L' U' L' B R2 D2
U L' U' L' B' R2 B2
U L' U' L' B2 R2 B'
D L' U' D' L2 B R2
D L' U' D' B L2 R2
D L' U' D' B R2 L2
B' L' U' B L' B R2
U' L' U' B L' R2 D
U' L' U' B L' R2 D'
U' L' U' B L' R2 D2
U' L' U' B R2 L' D
U' L' U' B R2 L' D'
U' L' U' B R2 L' D2
U' L' U' B R2 D L'
U' L' U' B R2 D' L'
U' L' U' B R2 D2 L'
U2 L' U' B L' R2 D
U2 L' U' B L' R2 D'
U2 L' U' B L' R2 D2
U' L' U' B' L' R2 B2
U' L' U' B' L' B2 R2
U2 L' U' B R2 L' D
U2 L' U' B R2 L' D'
U2 L' U' B R2 L' D2
U2 L' U' B R2 D L'
U2 L' U' B R2 D' L'
U2 L' U' B R2 D2 L'
B' L' U' B' R2 B' L'
U' L' U' B' R2 L' B2
U' L' U' B' R2 B2 L'
U2 L' U' B' L' R2 B2
B' L' U' B2 L' R2 D
B' L' U' B2 L' R2 D'
B' L' U' B2 L' R2 D2
U2 L' U' B' L' B2 R2
B' L' U' B2 R2 L' D
B' L' U' B2 R2 L' D'
B' L' U' B2 R2 L' D2
B' L' U' B2 R2 D L'
B' L' U' B2 R2 D' L'
B' L' U' B2 R2 D2 L'
U2 L' U' B' R2 L' B2
U2 L' U' B' R2 B2 L'
U' L' U' B2 R2 B' L'
U2 L' U' B2 R2 B' L'
U L' U' B L' R2 D
U L' U' B L' R2 D'
U L' U' B L' R2 D2
U L' U' B R2 L' D
U L' U' B R2 L' D'
U L' U' B R2 L' D2
U L' U' B R2 D L'
U L' U' B R2 D' L'
U L' U' B R2 D2 L'
U L' U' B' L' R2 B2
U L' U' B' L' B2 R2
U L' U' B' R2 L' B2
U L' U' B' R2 B2 L'
U L' U' B2 R2 B' L'
D L' U2 F2 B2 U B'
D L' U2 B2 F2 U B'
D' L' D U' L2 B R2
D' L' D U' B L2 R2
D' L' D U' B R2 L2
D L' D' U' L2 B R2
D L' D' U' B L2 R2
D L' D' U' B R2 L2
D L' D2 F2 B2 U' B'
D L' D2 B2 F2 U' B'
R2 L2 U L R2 U' B
L2 R2 U L R2 U' B
R2 L2 U L U F' U2
L2 R2 U L U F' U2
L2 R2 U R2 L U' B
R2 L2 U R2 L U' B
D' L' F2 U' D L2 B
D' L' F2 U' D B L2
B' L' F2 U' R2 B2 L
D' L' F2 D U' L2 B
D' L' F2 D U' B L2
D' L' F2 B2 R U' B'
D' L' F2 B2 R' U' B'
D' L' F2 B2 R2 U' B'
D' L' F2 B2 U' D B'
D' L' F2 B2 U' D' B'
D' L' F2 B2 U' D2 B'
D' L' F2 B2 U' B' D
D' L' F2 B2 U' B' D'
D' L' F2 B2 U' B' D2
D' L' F2 B2 D U' B'
D' L' F2 B2 D' U' B'
D' L' F2 B2 D2 U' B'
F' L' B R2 D' L' F
B' L' B U' L' B R2
B' L' B U' B L' R2
B' L' B U' B R2 L'
B L' B U' R2 B' L'
B L' B U' B' L' R2
B L' B U' B' R2 L'
L2 R2 U2 F' U' L U'
R2 L2 U2 F' U' L U'
L R2 D L' F2 L2 B'
B' L' B' U' R2 B' L'
B' L' B' U' B' L' R2
B' L' B' U' B' R2 L'
U' L' B' U' L' R2 B2
U' L' B' U' L' B2 R2
U' L' B' U' R2 L' B2
U' L' B' U' R2 B2 L'
U' L' B' U' B2 L' R2
U' L' B' U' B2 R2 L'
U2 L' B' U' L' R2 B2
U2 L' B' U' L' B2 R2
U2 L' B' U' R2 L' B2
U2 L' B' U' R2 B2 L'
U2 L' B' U' B2 L' R2
U2 L' B' U' B2 R2 L'
B L' B' U' L' B R2
B L' B' U' B L' R2
B L' B' U' B R2 L'
U L' B' U' L' R2 B2
U L' B' U' L' B2 R2
L R2 D F2 L2 B' L'
U L' B' U' R2 L' B2
U L' B' U' R2 B2 L'
U L' B' U' B2 L' R2
U L' B' U' B2 R2 L'
D' L' B2 R F2 U' B'
D' L' B2 R' F2 U' B'
D' L' B2 R2 F2 U' B'
D' L' B2 U' D R2 B'
D' L' B2 U' D B' R2
D' L' B2 U' B' D R2
U' L' B2 U' R2 B' L'
D' L' B2 D U' R2 B'
U' L' B2 U' B' L' R2
D' L' B2 D U' B' R2
U' L' B2 U' B' R2 L'
U2 L' B2 U' R2 B' L'
U2 L' B2 U' B' L' R2
U2 L' B2 U' B' R2 L'
B L' B2 U' L' R2 B2
B L' B2 U' L' B2 R2
B L' B2 U' R2 L' B2
B L' B2 U' R2 B2 L'
B L' B2 U' B2 L' R2
B L' B2 U' B2 R2 L'
D' L' B2 F2 R U' B'
D' L' B2 F2 R' U' B'
