D L B2 D2 R2 F'
D L' U2 F L2 B2
D L' U2 F B2 L2
D L' U2 B2 F L2
L2 D B2 L' R' F
L2 D B2 L' F R'
L2 D B2 R' L' F
D' F2 U2 L R F'
D' F2 U2 R L F'
D' F2 U2 R F' L
D' L R D2 F' R2 B2
D' L R D2 F' B2 R2
D' L R D2 B2 F' R2
D' L R F' D2 R2 B
D L R B2 D2 R2 F'
D' L R' D2 R2 F' B2
D' L R' D2 R2 B2 F'
D L R' B2 D2 R2 F'
D L R2 B2 D2 R2 F'
D L U2 L2 U2 F B2
D L U2 L2 U2 B2 F
D L U2 B' L2 F U2
F2 L D B2 D2 R F'
F2 L D' R D2 F' B2
F2 L D' R D2 B2 F'
D L F B2 D2 R2 F'
D L F' B2 D2 R2 F'
D L F2 B2 D2 R2 F'
D L B D2 F2 B R2
D L B D2 B R2 F2
D L B D2 B F2 R2
D L B' L2 U2 L2 B'
D L B' L2 F U2 L2
D L B' D2 B' R2 F'
D L B2 R2 D2 F' R2
D L B2 R2 F' D2 R2
D L B2 U2 L2 B U2
D L B2 U2 B L2 U2
D L B2 D2 R2 D F'
D L B2 D2 R2 D' F'
D L B2 D2 R2 D2 F'
D L B2 D2 R2 F' D
D L B2 D2 R2 F' D'
D L B2 D2 R2 F' D2
D L B2 D2 F R2 F'
D L B2 D2 F' R2 F'
D L B2 D2 F2 R2 F'
D L B2 F D2 R2 F'
D L B2 F' D2 R2 F'
D L B2 F2 D2 R2 F'
D L' R U2 F L2 B2
D L' R U2 F B2 L2
D L' R U2 B2 F L2
D' L' R F2 U2 F L2
D L' R' U2 F L2 B2
D L' R' U2 F B2 L2
D L' R' U2 B2 F L2
D' L' R' F2 B U2 L2
D' L' R' B F2 U2 L2
D L' R2 U2 F L2 B2
D L' R2 U2 F B2 L2
D L' R2 U2 B2 F L2
D L' U2 F L' B2 L'
D L' U2 F L2 B2 D
D L' U2 F L2 B2 D'
D L' U2 F L2 B2 D2
D L' U2 F B L2 B
D L' U2 F B2 L2 D
D L' U2 F B2 L2 D'
D L' U2 F B2 L2 D2
D L' U2 F' L2 F2 B2
D L' U2 F' L2 B2 F2
D L' U2 F' B2 L2 F2
