B U' F' R
B L U' F' R
B L' U' F' R
B L2 U' F' R
B U' F' R D
B U' F' R D'
B U' F' R D2
B U' F' D R
B U' F' D' R
B U' F' D2 R
L' B U' F' R
L B U' F' R
L2 B U' F' R
D2 B U' F' R'
F B U' F2 R
B F U' F2 R
B2 L U' F' L' R
B2 L U' F' R L'
B L U' F' R D
B L U' F' R D'
B L U' F' R D2
B L U' F' D R
B L U' F' D' R
B L U' F' D2 R
B L F U' F2 R
D2 L B U' F' R'
B' L B2 U' F' R
B L' U' F' R D
B L' U' F' R D'
B L' U' F' R D2
B L' U' F' D R
B L' U' F' D' R
B L' U' F' D2 R
D' L' F B U' F2
B L' F U' F2 R
D2 L' B U' F' R'
D' L' B F U' F2
B' L' B2 U' F' R
B L2 U' F' R D
B L2 U' F' R D'
B L2 U' F' R D2
B L2 U' F' D R
B L2 U' F' D' R
B L2 U' F' D2 R
B L2 F U' F2 R
D2 L2 B U' F' R'
B' L2 B2 U' F' R
F' R U R' B U'
B U L U2 F' R
B U L U2 F' R
B U L' U2 F' R
B U L2 U2 F' R
B U B U2 F' R
B U B' U2 F' R
B U B2 U2 F' R
B U' L' F' L R
B U' L' F' R L
B U' L2 F' L2 R
B U' L2 F' R L2
B U' R' F' R F'
B' U' F' R D L2
B U' F R F2 R
B U' F R' F2 R
B' U' F' D L2 R
B' U' F' D R L2
B U' F R2 F2 R
B U' F' R2 D R'
B U' F' R2 D' R'
B U' F' R2 D2 R'
B U' F' D R D
B U' F' D R D'
B U' F' D R D2
B U' F' D' R D
B U' F' D' R D'
B U' F' D' R D2
B U' F' D2 R D
B U' F' D2 R D'
B U' F' D2 R D2
B U' F' B R B'
B U' F' B2 R B2
B U' F2 R F R
B U' F2 R' F R
B U' F2 R2 F R
B U' F2 D F R
B U' F2 D' F R
B U' F2 D2 F R
B U' B F' R B'
B U' B2 F' R B2
L' D2 B U' F' R'
L2 D2 B U' F' R'
L D2 B U' F' R'
B U2 B U F' R
B U2 B' U F' R
B U2 B2 U F' R
L' F B U' F2 R
D2 F B U' R' F2
D2 F B U' F2 R'
L2 F B U' F2 R
L F B U' F2 R
U' F' U B U' R
B D' L' F U' F2
L' B L U' F' R
D2 F2 B U' R' F
D2 F2 B U' F R'
L' B L' U' F' R
L' B L2 U' F' R
D2 B L U' F' R'
L2 B L U' F' R
L B L U' F' R
D2 B L' U' F' R'
L2 B L' U' F' R
D' B L' F U' F2
D' B L' F U' F2
L B L' U' F' R
D2 B L2 U' F' R'
L2 B L2 U' F' R
L B L2 U' F' R
L' B U' F' R D
L' B U' F' R D'
L' B U' F' R D2
L' B U' F' D R
L' B U' F' D' R
L' B U' F' D2 R
U' B U' F' R B'
U' B U' F' B' R
U' B U' B' F' R
D2 B U' D F' R'
D2 B U' D' F' R'
D2 B U' D2 F' R'
D2 B U' F R' F2
D2 B U' F' R' D
D2 B U' F' R' D'
D2 B U' F' R' D2
D' B U' D F' R
D2 B U' F' D R'
D2 B U' F' D' R'
D2 B U' F' D2 R'
D2 B U' F2 R' F
L2 B U' F' R D
L2 B U' F' R D'
L2 B U' F' R D2
L2 B U' F' D R
L2 B U' F' D' R
L2 B U' F' D2 R
L B U' F' R D
L B U' F' R D'
L B U' F' R D2
L B U' F' D R
L B U' F' D' R
L B U' F' D2 R
D B U' D' F' R
D2 B D U' F' R'
L' B F U' F2 R
D' B D U' F' R
D2 B D' U' F' R'
D2 B D2 U' F' R'
D B D' U' F' R
D2 B F U' R' F2
D2 B F U' F2 R'
L2 B F U' F2 R
L B F U' F2 R
D2 B F2 U' R' F
D2 B F2 U' F R'
B F U L' U2 F2
F B U L' U2 F2
B F U' R F2 R
B F U' R' F2 R
B F U' R2 F2 R
F B U' R F2 R
F B U' R' F2 R
B F U' F2 R D
B F U' F2 R D'
B F U' F2 R D2
B F U' F2 D R
B F U' F2 D' R
B F U' F2 D2 R
F B U' R2 F2 R
F B U' F2 R D
F B U' F2 R D'
F B U' F2 R D2
F B U' F2 D R
F B U' F2 D' R
F B U' F2 D2 R
F' L R U R' B U'
B L U L U2 F' R
B L U L' U2 F' R
B L U L2 U2 F' R
U' L U B U' F' R
B L U B U2 F' R
B L U B' U2 F' R
B2 L U' L F' L' R
B2 L U' L F' R L'
B L U B2 U2 F' R
B2 L U' L' F' L' R
B2 L U' L' F' R L'
B2 L U' L2 F' L' R
B2 L U' L2 F' R L'
B L U' L' F' L R
B L U' L' F' R L
B L U' L2 F' L2 R
B L U' L2 F' R L2
B L U' R' F' R F'
B' L U' F' R D L2
B' L U' F' D L2 R
B' L U' F' D R L2
B2 L U' F' L' R D
B2 L U' F' L' R D'
B2 L U' F' L' R D2
B2 L U' F' L' D R
B2 L U' F' L' D' R
B2 L U' F' L' D2 R
B2 L U' F' R L' D
B2 L U' F' R L' D'
B2 L U' F' R L' D2
B2 L U' F' R D L'
B2 L U' F' R D' L'
B2 L U' F' R D2 L'
B L U' F R F2 R
B2 L U' F' D L' R
B2 L U' F' D R L'
B2 L U' F' D' L' R
B L U' F R' F2 R
B2 L U' F' D' R L'
B2 L U' F' D2 L' R
B L U' F R2 F2 R
B2 L U' F' D2 R L'
B L U' F' R2 D R'
B L U' F' R2 D' R'
B L U' F' R2 D2 R'
B L U' F' D R D
B L U' F' D R D'
B L U' F' D R D2
B L U' F' D' R D
B L U' F' D' R D'
B L U' F' D' R D2
B L U' F' D2 R D
B L U' F' D2 R D'
B L U' F' D2 R D2
B L U' F' B R B'
B L U' F' B2 R B2
B L U' F2 R F R
B L U' F2 R' F R
B L U' F2 R2 F R
B L U' F2 D F R
B L U' F2 D' F R
B L U' F2 D2 F R
B L U' B F' R B'
U L U' B U' F' R
B L U' B2 F' R B2
B L U2 B U F' R
B L U2 B' U F' R
B L U2 B2 U F' R
D L D B U' F' R'
B L D' L' F U' F2
D L D' B U' F' R
D2 L D2 B U' F' R
F L D2 B U' R2 F'
B L F U L' U2 F2
B L F U' R F2 R
B L F U' R' F2 R
B L F U' R2 F2 R
B L F U' F2 R D
B L F U' F2 R D'
B L F U' F2 R D2
B L F U' F2 D R
B L F U' F2 D' R
B L F U' F2 D2 R
D2 L F B U' R' F2
D2 L F B U' F2 R'
F' L F B U' F' R
B' L F B2 U' F2 R
U' L F' U B U' R
D2 L F2 B U' R' F
D2 L F2 B U' F R'
F' L F2 B U' F2 R
D2 L B L U' F' R'
D2 L B L' U' F' R'
D2 L B L2 U' F' R'
F L B L' U' F2 R
D2 L B U' D F' R'
D2 L B U' D' F' R'
D2 L B U' D2 F' R'
D2 L B U' F R' F2
D2 L B U' F' R' D
D2 L B U' F' R' D'
D2 L B U' F' R' D2
D2 L B U' F' D R'
D2 L B U' F' D' R'
D2 L B U' F' D2 R'
D2 L B U' F2 R' F
D' L B U' D' F' R2
D' L B U' F' D' R2
D' L B U2 B2 U F'
D2 L B D U' F' R'
F L B U L2 U2 F2
U' L B U' F' R B'
U' L B U' F' B' R
U' L B U' B' F' R
D L B U' D' F' R
B2 L B U' F' L' R
B2 L B U' F' R L'
D2 L B D' U' F' R'
D' L B D' U' F' R2
F L B U' F2 D2 R2
D2 L B D2 U' F' R'
D' L B D2 F2 U' F
D2 L B F U' R' F2
D2 L B F U' F2 R'
D L B D' U' F' R
F' L B F U' F' R
D2 L B F2 U' R' F
D2 L B F2 U' F R'
F' L B F2 U' F2 R
B2 L B' U' F' L' R
B2 L B' U' F' R L'
B' L B2 L U' F' R
B' L B2 L' U' F' R
B' L B2 L2 U' F' R
B' L B2 U' F' R D
B' L B2 U' F' R D'
B' L B2 U' F' R D2
B' L B2 U' F' D R
B' L B2 U' F' D' R
B' L B2 U' F' D2 R
B2 L B2 U' F' L' R
B2 L B2 U' F' R L'
B' L B2 F U' F2 R
F' L' R U R' B U'
B L' U L U2 F' R
B L' U L' U2 F' R
B L' U L2 U2 F' R
U' L' U B U' F' R
B L' U B U2 F' R
B L' U B' U2 F' R
B L' U B2 U2 F' R
B L' U' L' F' L R
B L' U' L' F' R L
B L' U' L2 F' L2 R
B L' U' L2 F' R L2
B L' U' R' F' R F'
B' L' U' F' R D L2
B' L' U' F' D L2 R
B' L' U' F' D R L2
B L' U' F R F2 R
B L' U' F R' F2 R
B L' U' F R2 F2 R
B L' U' F' R2 D R'
B L' U' F' R2 D' R'
B L' U' F' R2 D2 R'
B L' U' F' D R D
B L' U' F' D R D'
B L' U' F' D R D2
B L' U' F' D' R D
B L' U' F' D' R D'
B L' U' F' D' R D2
B L' U' F' D2 R D
B L' U' F' D2 R D'
B L' U' F' D2 R D2
B L' U' F' B R B'
B L' U' F' B2 R B2
B L' U' F2 R F R
B L' U' F2 R' F R
B L' U' F2 R2 F R
B L' U' F2 D F R
B L' U' F2 D' F R
B L' U' F2 D2 F R
F L' U' B U' F2 B'
F L' U' B U' B' F2
B L' U' B F' R B'
U L' U' B U' F' R
B L' U' B2 F' R B2
B L' U2 B U F' R
B L' U2 B' U F' R
B L' U2 B2 U F' R
D' L' D F B U' F2
D' L' D B F U' F2
D L' D B U' F' R'
B L' D' L' F U' F2
D' L' D' F B U' F2
D' L' D' B F U' F2
D L' D' B U' F' R
D' L' D2 F B U' F2
D2 L' D2 B U' F' R
D' L' D2 B F U' F2
D' L' F L B U' F2
D' L' F L' B U' F2
D' L' F L2 B U' F2
D' L' F D' L2 B U'
D' L' F D' B L2 U'
B L' F U L' U2 F2
D' L' F B L U' F2
D' L' F B L' U' F2
D' L' F B L2 U' F2
B L' F U' R F2 R
B L' F U' R' F2 R
B L' F U' R2 F2 R
D' L' F B U' F2 D
D' L' F B U' F2 D'
D' L' F B U' F2 D2
D2 L' F B U' R' F2
D2 L' F B U' F2 R'
D' L' F B D' L2 U'
B L' F U' F2 R D
B L' F U' F2 R D'
B L' F U' F2 R D2
B L' F U' F2 D R
B L' F U' F2 D' R
B L' F U' F2 D2 R
F' L' F B U' F' R
B' L' F B2 U' F2 R
U' L' F' U B U' R
D2 L' F2 B U' R' F
D2 L' F2 B U' F R'
F' L' F2 B U' F2 R
D2 L' B L U' F' R'
D2 L' B L' U' F' R'
D2 L' B L2 U' F' R'
F L' B L U' F2 R
D2 L' B U' D F' R'
D2 L' B U' D' F' R'
D2 L' B U' D2 F' R'
D' L' B U' F' D R2
D2 L' B U' F R' F2
D2 L' B U' F' R' D
D2 L' B U' F' R' D'
D2 L' B U' F' R' D2
D2 L' B U' F' D R'
D2 L' B U' F' D' R'
D2 L' B U' F' D2 R'
D2 L' B U' F2 R' F
U' L' B U' F' R B'
U' L' B U' F' B' R
U' L' B U' B' F' R
D' L' B D F U' F2
D2 L' B D U' F' R'
D2 L' B D' U' F' R'
D' L' B D' F U' F2
D' L' B D2 F U' F2
D2 L' B D2 U' F' R'
D' L' B F L U' F2
D' L' B F L' U' F2
D' L' B F L2 U' F2
D L' B U' D' F' R
D' L' B F U' F2 D
D' L' B F U' F2 D'
D' L' B F U' F2 D2
D2 L' B F U' R' F2
D2 L' B F U' F2 R'
D' L' B F D' L2 U'
F' L' B F U' F' R
F L' B U' F2 D R2
D2 L' B F2 U' R' F
D2 L' B F2 U' F R'
F' L' B F2 U' F2 R
D L' B D' U' F' R
B' L' B2 L U' F' R
B' L' B2 L' U' F' R
B' L' B2 L2 U' F' R
B' L' B2 U' F' R D
B' L' B2 U' F' R D'
B' L' B2 U' F' R D2
B' L' B2 U' F' D R
B' L' B2 U' F' D' R
B' L' B2 U' F' D2 R
B' L' B2 F U' F2 R
F' L2 R U R' B U'
B L2 U L U2 F' R
B L2 U L' U2 F' R
B L2 U L2 U2 F' R
U' L2 U B U' F' R
B L2 U B U2 F' R
B L2 U B' U2 F' R
B L2 U B2 U2 F' R
B L2 U' L' F' L R
B L2 U' L' F' R L
B L2 U' L2 F' L2 R
B L2 U' L2 F' R L2
B' L2 U' F' R D L2
B' L2 U' F' D L2 R
B' L2 U' F' D R L2
B L2 U' R' F' R F'
B2 L2 U' F' R D' L2
B2 L2 U' F' D' L2 R
B2 L2 U' F' D' R L2
B L2 U' F R F2 R
B L2 U' F R' F2 R
B L2 U' F R2 F2 R
B L2 U' F' R2 D R'
B L2 U' F' R2 D' R'
B L2 U' F' R2 D2 R'
B L2 U' F' D R D
B L2 U' F' D R D'
B L2 U' F' D R D2
B L2 U' F' D' R D
B L2 U' F' D' R D'
B L2 U' F' D' R D2
B L2 U' F' D2 R D
B L2 U' F' D2 R D'
B L2 U' F' D2 R D2
B L2 U' F' B R B'
B L2 U' F' B2 R B2
B L2 U' F2 R F R
B L2 U' F2 R' F R
B L2 U' F2 R2 F R
B L2 U' F2 D F R
B L2 U' F2 D' F R
B L2 U' F2 D2 F R
B L2 U' B F' R B'
B L2 U' B2 F' R B2
U L2 U' B U' F' R
B2 L2 U2 F U F2 R
B L2 U2 B U F' R
B L2 U2 B' U F' R
B L2 U2 B2 U F' R
D L2 D B U' F' R'
B L2 D' L' F U' F2
D L2 D' B U' F' R
D2 L2 D2 B U' F' R
D2 L2 F B U' R' F2
D2 L2 F B U' F2 R'
B L2 F U L' U2 F2
F' L2 F B U' F' R
B L2 F U' R F2 R
B L2 F U' R' F2 R
B L2 F U' R2 F2 R
B L2 F U' F2 R D
B L2 F U' F2 R D'
B L2 F U' F2 R D2
B L2 F U' F2 D R
B L2 F U' F2 D' R
B L2 F U' F2 D2 R
B' L2 F B2 U' F2 R
U' L2 F' U B U' R
D2 L2 F2 B U' R' F
D2 L2 F2 B U' F R'
D' L2 F2 B U' F R
F' L2 F2 B U' F2 R
D2 L2 B L U' F' R'
D2 L2 B L' U' F' R'
D' L2 B L F U' F2
D2 L2 B L2 U' F' R'
D2 L2 B U' D F' R'
D2 L2 B U' D' F' R'
D2 L2 B U' D2 F' R'
D2 L2 B U' F R' F2
D2 L2 B U' F' R' D
D2 L2 B U' F' R' D'
D2 L2 B U' F' R' D2
D2 L2 B U' F' D R'
D2 L2 B U' F' D' R'
D2 L2 B U' F' D2 R'
D2 L2 B U' F2 R' F
D' L2 B U' F R F2
U' L2 B U' F' R B'
U' L2 B U' F' B' R
D2 L2 B D U' F' R'
U' L2 B U' B' F' R
D2 L2 B D' U' F' R'
D2 L2 B D2 U' F' R'
D2 L2 B F U' R' F2
D2 L2 B F U' F2 R'
F' L2 B F U' F' R
D2 L2 B F2 U' R' F
D2 L2 B F2 U' F R'
D L2 B U' D' F' R
D' L2 B F2 U' F R
F' L2 B F2 U' F2 R
D L2 B D' U' F' R
R2 U R2 B U' F' R
B' L2 B2 L U' F' R
B' L2 B2 L' U' F' R
B' L2 B2 L2 U' F' R
B' L2 B2 U' F' R D
B' L2 B2 U' F' R D'
B' L2 B2 U' F' R D2
B' L2 B2 U' F' D R
B' L2 B2 U' F' D' R
B' L2 B2 U' F' D2 R
B' L2 B2 F U' F2 R
F' R L U R' B U'
F' R L' U R' B U'
F' R L2 U R' B U'
F' R U R' D B U'
F' R U R' D' B U'
F' R U R' D2 B U'
F' R U R' B U' D
F' R U R' B U' D'
F' R U R' B U' D2
F' R U R' B D U'
F' R U R' B D' U'
F' R U R' B D2 U'
F' R D B' D L B'
D R F' R' B U' F'
B R F' R' U' F' R2
F' R B' D L B' L
F' R B' D B' L B'
R2 U' R2 B U' F' R
L' U' F' U B U' R
L2 U' F' U B U' R
U2 R' U R F' L' R
U2 R' U R F' R L'
L U' F' U B U' R
U2 R' U F' L' R F'
U2 R' U F' R L' F'
L' U' B U' F' R B'
L' U' B U' F' B' R
L' U' B U' B' F' R
L2 U' B U' F' R B'
L2 U' B U' F' B' R
L2 U' B U' B' F' R
L U' B U' F' R B'
L U' B U' F' B' R
L U' B U' B' F' R
R' U2 R U' F' L' R
R' U2 R U' F' R L'
U2 R' F' U R F' L'
B R' F' U' R F' B
B R' F' U' R B F'
B2 R' B' R U' F' R
R2 U2 R2 B U' F' R
B' R' B2 R U' F' R
F' R2 U R2 B U' R
U2 R2 F' R2 U F' R'
U2 R2 F' U R2 F' R'
U2 R2 F' U' B U2 R
B R2 F' R2 U' F' R'
U R2 B U F' U R
B U L U2 F' R D
B U L U2 F' R D'
B U L U2 F' R D2
B U L U2 F' D R
B U L U2 F' D' R
B U L U2 F' D2 R
B U L B U2 F' R
B U L B' U2 F' R
B U L B2 U2 F' R
B U L' U2 F' R D
B U L' U2 F' R D'
B U L' U2 F' R D2
B U L' U2 F' D R
B U L' U2 F' D' R
B U L' U2 F' D2 R
F U L' U' B U' F2
B U L' B U2 F' R
B U L' B' U2 F' R
B U L' B2 U2 F' R
B U L2 U2 F' R D
B U L2 U2 F' R D'
B U L2 U2 F' R D2
B U L2 U2 F' D R
B U L2 U2 F' D' R
B U L2 U2 F' D2 R
B U L2 B U2 F' R
B U L2 B' U2 F' R
B U L2 B2 U2 F' R
L' D B U' D' F' R
L' D B D' U' F' R
L2 D B U' D' F' R
L2 D B D' U' F' R
L D B U' D' F' R
L D B D' U' F' R
L' D' L' F B U' F2
L' D' L' B F U' F2
B U D2 B U2 F' R'
B U D2 B' L U2 F'
L2 D' L' F B U' F2
L2 D' L' B F U' F2
B U F L' F' U2 F'
B' U F' R D L2 B'
L D' L' F B U' F2
B' U F' D L2 R B'
B' U F' D L2 B' R
B' U F' D R L2 B'
L D' L' B F U' F2
B U B L U2 F' R
B U B L' U2 F' R
B U B L2 U2 F' R
B U B U2 F' R D
B U B U2 F' R D'
B U B U2 F' R D2
B U B U2 F' D R
B U B U2 F' D' R
B U B U2 F' D2 R
B U B' L U2 F' R
B U B' L' U2 F' R
B U B' L2 U2 F' R
B U B' U2 F' R D
B U B' U2 F' R D'
B U B' U2 F' R D2
B U B' U2 F' D R
B U B' U2 F' D' R
B U B' U2 F' D2 R
B U B2 L U2 F' R
B U B2 L' U2 F' R
B U B2 L2 U2 F' R
B U B2 U2 F' R D
B U B2 U2 F' R D'
B U B2 U2 F' R D2
B U B2 U2 F' D R
B U B2 U2 F' D' R
B U B2 U2 F' D2 R
B' U' L F' R D L2
B' U' L F' D L2 R
B' U' L F' D R L2
B' U' L' F' R D L2
B' U' L' F' D L2 R
B' U' L' F' D R L2
B' U' L2 F' R D L2
B' U' L2 F' D L2 R
B' U' L2 F' D R L2
B U' L' F' L R D
B U' L' F' L R D'
B U' L' F' L R D2
B U' L' F' L D R
B U' L' F' L D' R
B U' L' F' L D2 R
B U' L' F' R L D
B U' L' F' R L D'
B U' L' F' R L D2
B U' L' F' R D L
B U' L' F' R D' L
B U' L' F' R D2 L
B U' L' F' D L R
B U' L' F' D R L
B U' L' F' D' L R
B U' L' F' D' R L
B U' L' F' D2 L R
B U' L' F' D2 R L
B2 U' L2 F' R D' L2
B2 U' L2 F' D' L2 R
B2 U' L2 F' D' R L2
B U' L2 F' L2 R D
B U' L2 F' L2 R D'
B U' L2 F' L2 R D2
B U' L2 F' L2 D R
B U' L2 F' L2 D' R
B U' L2 F' L2 D2 R
B U' L2 F' R L2 D
B U' L2 F' R L2 D'
B U' L2 F' R L2 D2
L' D' B L' F U' F2
L' D' B U' D F' R
L2 D' B L' F U' F2
L' D' B D U' F' R
B U' R F' R' F' R2
D2 U' F' U B U' R'
L2 D' B U' D F' R
L2 D' B D U' F' R
L D' B L' F U' F2
B U' R' F' R D F'
B U' R' F' R D' F'
B U' R' F' R D2 F'
B U' R' F' R F' D
B U' R' F' R F' D'
B U' R' F' R F' D2
L D' B U' D F' R
L D' B D U' F' R
B' U' D L2 D' F' R
B U' R2 F' R2 F' R'
D2 U' B U' F' R' B'
L' D2 L B U' F' R'
L2 D2 L B U' F' R'
L' D2 L' B U' F' R'
B U' D2 F' B R' B'
L D2 L B U' F' R'
L2 D2 L' B U' F' R'
B U' D2 B F' R' B'
B' U' F' L R D L2
B' U' F' L D L2 R
B' U' F' L D R L2
B' U' F' L' R D L2
B' U' F' L' D L2 R
B' U' F' L' D R L2
B' U' F' L2 R D L2
B' U' F' L2 D L2 R
B' U' F' L2 D R L2
B' U' F' R L D L2
B' U' F' R L' D L2
B' U' F' R L2 D L2
B' U' F' R U B2 U'
B' U' F' R D L2 D
B' U' F' R D L2 D'
B' U' F' R D L2 D2
B U' F R F2 R D
B U' F R F2 R D'
B' U' F' R2 D L2 R'
B U' F R F2 R D2
B' U' F' R2 D R' L2
L' D2 L2 B U' F' R'
B U' F R F2 D R
B U' F R F2 D' R
B U' F R F2 D2 R
B2 U' F' R U B' U'
B U' F R' F2 R D
B U' F R' F2 R D'
B U' F R' F2 R D2
B U' F R' F2 D R
B U' F R' F2 D' R
B U' F R' F2 D2 R
B' U' F' U B2 U' R
B U' F R2 F2 R D
B U' F R2 F2 R D'
B U' F R2 F2 R D2
B U' F R2 F2 D R
B U' F R2 F2 D' R
B U' F R2 F2 D2 R
B' U' F' D L2 R D
B' U' F' D L2 R D'
B' U' F' D L2 R D2
B' U' F' D L2 D R
B' U' F' D L2 D' R
B' U' F' D L2 D2 R
B' U' F' D R L2 D
B' U' F' D R L2 D'
B' U' F' D R L2 D2
B U' F U2 L' U2 F2
B2 U' F' U B' U' R
B' U' F' D2 R D' L2
L D2 L' B U' F' R'
L2 D2 L2 B U' F' R'
B U' F' L R D L'
B U' F' L R D' L'
B U' F' L R D2 L'
B U' F' L D L' R
B U' F' L D R L'
B U' F' L D' L' R
B U' F' L D' R L'
B U' F' L D2 L' R
B U' F' L D2 R L'
B U' F' L' R D L
B U' F' L' R D' L
B U' F' L' R D2 L
B U' F' L' D L R
B U' F' L' D R L
B U' F' L' D' L R
B U' F' L' D' R L
B U' F' L' D2 L R
B U' F' L' D2 R L
B U' F' R L D L'
B U' F' R L D' L'
B U' F' R L D2 L'
B U' F' R L' D L
B U' F' R L' D' L
B U' F' R L' D2 L
B U' F' R F D F'
B U' F' R F D' F'
B U' F' R F D2 F'
B U' F' R F' D F
B U' F' R F' D' F
B U' F' R F' D2 F
B U' F' R B D B'
B U' F' R B D' B'
B U' F' R B D2 B'
B U' F' R B' D B
B U' F' R B' D' B
B U' F' R B' D2 B
B U' F' R' F' R2 F
B U' F' R' F2 R2 F2
B U' F' R' B R2 B'
B U' F' R' B2 R2 B2
B U' F' R2 D R' D
B U' F' R2 D R' D'
B U' F' R2 D R' D2
B U' F' R2 D' R' D
