U' R B U L B'
U' L R B U L B2
L R U2 B U' B2 R'
R L U2 B U' B2 R'
F2 L' U F L' R U2
F2 L' U F R L' U2
U' R L B U L B2
U' R F B U L B'
U' R F' B U L B'
U' R F2 B U L B'
L U' R B U L B2
U' R B L' U L2 B'
U' R B U L D B'
U' R B U L D' B'
U' R B U L D2 B'
U' R B U L B' D
U' R B U L B' D'
U' R B U L B' D2
U' R B F U L B'
U' R B F' U L B'
U' R B F2 U L B'
R U2 B U L U2 B'
F' U L' F R B' U2
F' U L' F B' R U2
F' U L' B' F R U2
B' U' R B U L B'
B2 U' R B U L B'
B U' R B U L B'
R' F' R2 U' L' F U2
L B' U' R B U L
