R U B R' U B2
L R U B L R' U
L R U B R' L U
R L U B L R' U
R L U B R' L U
L2 R F U B R' U
R L2 F U B R' U
D' R U B U F' B2
D' R U B U B2 F'
R U B L R' U B2
R U B L' R' U B2
R U B L2 R' U B2
R U B R' L U B2
R U B R' L' U B2
R U B R' L2 U B2
R U B R' U B2 D
R U B R' U B2 D'
R U B R' U B2 D2
R U B R' D L2 U
D' R U2 F' B' D' R2
D' R U2 B' D' F' R2
D' R U2 B' F' D' R2
R U B D L2 R' U
R U B D R' L2 U
F2 R B R' U L' B2
F2 R B R' U B2 L'
R U2 B' U' B2 R' U
D' U R U2 F' B' R'
D' U R U2 B' F' R'
F2 U D B' L' F R
U' D F2 B' L' R' F
U' D F2 B' L' F R'
U' D F2 B' R' L' F
U' D B' F2 L' R' F
U' D B' F2 L' F R'
U' D B' F2 R' L' F
U D' R U2 F' B' R'
U D' R U2 B' F' R'
F2 U' D B' L' R' F
F2 U' D B' L' F R'
F2 U' D B' R' L' F
D U' F2 B' L' R' F
D U' F2 B' L' F R'
D U' F2 B' R' L' F
D U' B' F2 L' R' F
D U' B' F2 L' F R'
D U' B' F2 R' L' F
F2 U' B' L' R' D F2
F2 U' B' L' D R' F2
F2 U' B' L' D F2 R'
F2 U' B' R' L' D F2
R F U B R' U B2
F2 D U B' L' F R
F2 D U' B' L' R' F
F2 D U' B' L' F R'
F2 D U' B' R' L' F
R F' U B R' U B2
D2 F2 U' B' L' R' F'
D2 F2 U' B' R' L' F'
D F2 U B' L' F R
R F2 U B R' U B2
D F2 U' B' L' R' F
D F2 U' B' L' F R'
D F2 U' B' R' L' F
U' F2 D B' L' R' F
U' F2 D B' L' F R'
U' F2 D B' R' L' F
U' F2 B' L' R' D F2
U' F2 B' L' D R' F2
U' F2 B' L' D F2 R'
U' F2 B' R' L' D F2
R2 B R' B U L B
R B R' U' R U2 B2
R B R' F2 U L' B2
R B R' F2 U B2 L'
R B U R' U R B2
R B U R' U B2 R
U' B' L' D F2 L' R'
U' B' L' D F2 R' L'
U' B' F2 L' R' D F2
U' B' F2 L' D R' F2
U' B' F2 L' D F2 R'
U' B' F2 R' L' D F2
