L U' B' U' B'
R' L U' B' U' B'
R2 L U' B' U' B'
L R U' B' U' B'
R L U' B' U' B'
F L U' B' U' B'
F' L U' B' U' B'
F2 L U' B' U' B'
L R' U' B' U' B'
L R2 U' B' U' B'
L U L2 F U B2
L U D L2 F U
L U' R B' U' B'
L U' R' B' U' B'
L U' R2 B' U' B'
L U' D' R2 B' U'
L U' D' B' R2 U'
L U' B' R U' B'
L U' B' R' U' B'
L U' B' R2 U' B'
L U' B' U' D B'
L U' B' U' D' B'
L U' B' U' D2 B'
L U' B' U' B' D
L U' B' U' B' D'
L U' B' U' B' D2
L U' B' D U' B'
L U' B' D' U' B'
L U' B' D2 U' B'
L U2 B D L2 B
L U2 B D B L2
L U2 B2 U B U'
L D U L2 F U
L D' U' R2 B' U'
L D' U' B' R2 U'
L D2 F2 U' B' U'
L F U' B' U' B'
L F' U' B' U' B'
L F2 U' B' U' B'
U2 B' D' B' L R'
U2 B' D' B' R' L
F' L R U' B' U' B'
R' L U L2 F U B2
F2 L R U' B' U' B'
R2 L U L2 F U B2
L R U L2 F U B2
F L R U' B' U' B'
R' L U D L2 F U
R L U L2 F U B2
R2 L U D L2 F U
L R U D L2 F U
D2 L R F2 U F U
R L U D L2 F U
F' L R' U' B' U' B'
F2 L R' U' B' U' B'
F L R' U' B' U' B'
R' L U' R B' U' B'
R' L U' R' B' U' B'
R2 L U' R B' U' B'
R' L U' R2 B' U' B'
L R U' R B' U' B'
R2 L U' R' B' U' B'
L R U' R' B' U' B'
R' L U' D' R2 B' U'
D2 L R' F2 U' B U'
R' L U' D' B' R2 U'
R2 L U' R2 B' U' B'
L R U' R2 B' U' B'
R L U' R B' U' B'
R2 L U' D' R2 B' U'
R2 L U' D' B' R2 U'
L R U' D' R2 B' U'
L R U' D' B' R2 U'
R L U' R' B' U' B'
R L U' R2 B' U' B'
F' L R2 U' B' U' B'
R L U' D' R2 B' U'
R L U' D' B' R2 U'
R' L U' B' R U' B'
R' L U' B' R' U' B'
R' L U' B' R2 U' B'
R' L U' B' U' D B'
R' L U' B' U' D' B'
R' L U' B' U' D2 B'
R' L U' B' U' B' D
R' L U' B' U' B' D'
R' L U' B' U' B' D2
R' L U' B' D U' B'
R' L U' B' D' U' B'
