L R F' U L' R
L R F' U R L'
R L F' U L' R
R L F' U R L'
R F' L U L2 R
R F' L U R L2
D' L R F' B' U L'
U L R F U' L' U2
D' L R B' F' U L'
U' L R' F' R2 U R'
F' L U L R F L
F' L U L2 D2 R F'
F' L U R L F L
L R F U' L' R U2
L R F U' R L' U2
R L F U' L' R U2
R L F U' R L' U2
L' R F' L2 U L R
L' R F' L2 U R L
R' L F' R2 U L' R'
R' L F' R2 U R' L'
R2 L F' R' U L' R2
R2 L F' R' U R2 L'
L R F' U L' R D
L R F' U L' R D'
L R F' U L' R D2
L R F' U L' D R
L R F' U L' D' R
L R F' U L' D2 R
L R F' U R L' D
L R F' U R L' D'
L R F' U R L' D2
L R F' U R D L'
L R F' U R D' L'
L R F' U R D2 L'
L R F' U D L' R
L R F' U D R L'
L R F' U D' L' R
L R F' U D' R L'
L R F' U D2 L' R
L R F' U D2 R L'
R L F' U L' R D
R L F' U L' R D'
R L F' U L' R D2
R L F' U L' D R
R L F' U L' D' R
R L F' U L' D2 R
R L F' U R L' D
R L F' U R L' D'
R L F' U R L' D2
R L F' U R D L'
R L F' U R D' L'
R L F' U R D2 L'
R L F' U D L' R
R L F' U D R L'
R L F' U D' L' R
R L F' U D' R L'
R L F' U D2 L' R
R L F' U D2 R L'
L R F' D U L' R
L R F' D U R L'
L R F' D' U L' R
L R F' D' U R L'
R L F' D U L' R
R L F' D U R L'
L R F' D2 U L' R
L R F' D2 U R L'
R L F' D' U L' R
R L F' D' U R L'
L R F' B U L' R
L R F' B U R L'
R L F' D2 U L' R
R L F' D2 U R L'
L R F' B' U L' R
L R F' B' U R L'
L R F' B2 U L' R
R L F' B U L' R
L R F' B2 U R L'
R L F' B U R L'
R L F' B' U L' R
R L F' B' U R L'
R L F' B2 U L' R
R L F' B2 U R L'
L R B F' U L' R
L R B F' U R L'
R L B F' U L' R
R L B F' U R L'
L R B' F' U L' R
L R B' F' U R L'
R L B' F' U L' R
R L B' F' U R L'
L R B2 F' U L' R
L R B2 F' U R L'
R L B2 F' U L' R
R L B2 F' U R L'
D' L B' R F' U L'
R L' F' L2 U L R
R L' F' L2 U R L
L R' F' R2 U L' R'
L R' F' R2 U R' L'
F L' D R F2 U2 F
L R2 F' R' U L' R2
L R2 F' R' U R2 L'
D' R L F' B' U L'
D' R L B' F' U L'
U R L F U' L' U2
U R D' L F B' U
U R D' L B' F U
R2 U' L R' F' U R
D' R F' L B' U L2
B' R F' U L' R B
B' R F' U R L' B
B' R F' U R B L'
U R F2 L F U R
R2 U' R' L F' U R
R2 U' R' F' L U R
U' R' L F' R2 U R'
U' R' F' L R2 U R'
U' R' F' R2 L U R'
D' U L R F B' U
D' U L R B' F U
F' U L U R F L2
D' U L B' R F U
D' U R L F B' U
D' U R L B' F U
R D' L F' B' U L'
R D' L B' F' U L'
U D' L R F B' U
U D' L R B' F U
U D' L B' R F U
U D' R L F B' U
U D' R L B' F U
R D' F' L B' U L2
R F L U' L2 R U2
R F L U' R L2 U2
R' F' L R2 U L2 R'
R' F' L R2 U R' L2
R2 F' L R' U L2 R2
R2 F' L R' U R2 L2
R' F' L' D' R F2 B2
R' F' L' D' R B2 F2
R' F' L' D' B2 R F2
R2 F' L' R D' F2 B2
R2 F' L' R D' B2 F2
R F' L U L2 R D
R F' L U L2 R D'
R F' L U L2 R D2
R F' L U L2 D R
R F' L U L2 D' R
R F' L U L2 D2 R
R F' L U R L2 D
R F' L U R L2 D'
R F' L U R L2 D2
L' F' L2 U L R F
L' F' L2 U R L F
R F' L B U L2 R
R F' L B U R L2
R F' L B' U L2 R
R F' L B' U R L2
R F' L B2 U L2 R
R F' L B2 U R L2
R2 F' R L' D' F2 B2
R2 F' R L' D' B2 F2
R' F' R2 L U L2 R'
R' F' R2 L U R' L2
R2 F' R' L U L2 R2
R2 F' R' L U R2 L2
L F' U L R F L2
L F' U R L F L2
R F' U L' R D' B2
R F' U L' D' R B2
R F' U L' D' B2 R
R F' U R L' D' B2
R F' D L U L2 R
R F' D L U R L2
R F' D' L U L2 R
R F' D' L U R L2
R F' D2 L U L2 R
R F' D2 L U R L2
R F' B' U L' R B
R F' B' U R L' B
R F' B' U R B L'
R F2 L F U L' R
R F2 L F U R L'
L B R F' U L' R
L B R F' U R L'
L B' R F' U L' R
L B' R F' U R L'
R B' F' U L' R B
R B' F' U R L' B
R B' F' U R B L'
L B2 R F' U L' R
L B2 R F' U R L'
