R2 L U' R' F' B'
R2 L U' R' B' F'
U L U2 R F B'
U L U2 R B' F
U L U2 B' R F
L R2 U' R' F' B'
L R2 U' R' B' F'
L U' R B' D2 F2
L U' R' F' R2 B'
L U' R' F' B' R2
L U' R' B' F' R2
U R B2 L F B'
U R B2 L B' F
R2 U' D2 R' F' B
R2 U' D2 R' B F'
L U' B' R' F' R2
D2 U' R' F' B R2
D2 U' R' B F' R2
U' D2 R' F' B R2
U' D2 R' B F' R2
R2 D2 U' R' F' B
R2 D2 U' R' B F'
U F2 L' F B' U2
U F2 L' B' F U2
U' L R B' L' D2 F2
U L R F B2 L B
U' L R B' D2 L' F2
U L R B' D2 F L'
U L R B2 F L B
R' L U' R' F' R' B'
R2 L U' R' D F' B'
R2 L U' R' D B' F'
R2 L U' R' D' F' B'
R2 L U' R' D' B' F'
R2 L U' R' D2 F' B'
R2 L U' R' D2 B' F'
R2 L U' R' F' D B'
R2 L U' R' F' D' B'
R2 L U' R' F' D2 B'
R2 L U' R' F' B' D
R2 L U' R' F' B' D'
R2 L U' R' F' B' D2
R2 L U' R' B' D F'
R2 L U' R' B' D' F'
R2 L U' R' B' D2 F'
R2 L U' R' B' F' D
R2 L U' R' B' F' D'
R2 L U' R' B' F' D2
R2 L U' R2 B' R F'
R2 L U' D R' F' B'
R2 L U' D R' B' F'
U' L R' B' L' F' R2
R2 L U' D' R' F' B'
R2 L U' D' R' B' F'
R2 L U' D2 R' F' B'
R2 L U' D2 R' B' F'
R2 L U' F R' F' B'
R2 L U' F R' B' F'
U2 L R2 U R' F' B'
U2 L R2 U R' B' F'
R2 L U' F' R' F' B'
R2 L U' F' R' B' F'
R2 L U' F2 R' F' B'
R2 L U' F2 R' B' F'
R' L U' B' R' F' R'
U2 L U R B' D2 F2
U2 L U R' F' R2 B'
U2 L U R' F' B' R2
U2 L U R' B' F' R2
U2 L U B' R' F' R2
R2 L D U' R' F' B'
R2 L D U' R' B' F'
D2 L U' R' F' B R2
D2 L U' R' B F' R2
R2 L D' U' R' F' B'
R2 L D' U' R' B' F'
U L U2 R D F B'
U L U2 R D B' F
U L U2 R D' F B'
U L U2 R D' B' F
U L U2 R D2 F B'
U L U2 R D2 B' F
U L U2 R F D B'
U L U2 R F D' B'
U L U2 R F D2 B'
U L U2 R F B' D
U L U2 R F B' D'
U L U2 R F B' D2
U L U2 R B' D F
U L U2 R B' D' F
U L U2 R B' D2 F
U L U2 R B' F D
U L U2 R B' F D'
U L U2 R B' F D2
U L U2 R' F R2 B'
U L U2 R' F B' R2
U L U2 R' B' R2 F
U L U2 R' B' F R2
U L U2 R2 F R' B'
U L U2 D R F B'
U L U2 D R B' F
U L U2 D B' R F
U L U2 D' R F B'
U L U2 D' R B' F
U L U2 D' B' R F
U L U2 D2 R F B'
U L U2 D2 R B' F
U L U2 D2 B' R F
R2 L D2 U' R' F' B'
R2 L D2 U' R' B' F'
U L U2 B R F B2
U L U2 B R B2 F
U L U2 B' R D F
U L U2 B' R D' F
U L U2 B' R D2 F
U L U2 B' R F D
U L U2 B' R F D'
U L U2 B' R F D2
U L U2 B' R' F R2
U L U2 B' R2 F R'
U L U2 B' D R F
U L U2 B' D' R F
U L U2 B' D2 R F
U L D U2 R F B'
U L D U2 R B' F
U L D U2 B' R F
U L D' U2 R F B'
U L D' U2 R B' F
U L D' U2 B' R F
U L D2 U2 R F B'
U L D2 U2 R B' F
U L D2 U2 B' R F
U L F' U2 F2 B' R'
U L F' U2 B' R' F2
U L F' U2 B' F2 R'
U L B R F B2 L
U L B R B2 F L
U L B U2 R F B2
U L B U2 R B2 F
U L B U2 B2 R F
U' L B' L' R' F' R2
R2 L' U F U2 R' F'
U' L B' R' L' F' R2
L R' U' R' F' R' B'
R2 L' U' R' F' D2 B2
L R' U' B' R' F' R'
U L B2 U2 B R F
D2 L' U' R' F' B R2
D2 L' U' R' B F' R2
L2 R' F' L' U' R2 B'
L2 R' F' L' U' B' R2
F2 L' F U' L' U' L
U L' F D2 B' L U2
F' L' F' U L' F2 U2
F' L' F' U F2 U2 R
L' R2 U F U2 R' F'
L' R2 U' R' F' D2 B2
F' L' F2 U F' U2 R
L R2 U' R' D F' B'
L R2 U' R' D B' F'
L R2 U' R' D' F' B'
L R2 U' R' D' B' F'
L R2 U' R' D2 F' B'
L R2 U' R' D2 B' F'
L R2 U' R' F' D B'
L R2 U' R' F' D' B'
L R2 U' R' F' D2 B'
L R2 U' R' F' B' D
L R2 U' R' F' B' D'
L R2 U' R' F' B' D2
L R2 U' R' B' D F'
L R2 U' R' B' D' F'
L R2 U' R' B' D2 F'
L R2 U' R' B' F' D
L R2 U' R' B' F' D'
L R2 U' R' B' F' D2
L R2 U' R2 B' R F'
L R2 U' D R' F' B'
L R2 U' D R' B' F'
L R2 U' D' R' F' B'
L R2 U' D' R' B' F'
L R2 U' D2 R' F' B'
L R2 U' D2 R' B' F'
L R2 U' F R' F' B'
L R2 U' F R' B' F'
L R2 U' F' R' F' B'
L R2 U' F' R' B' F'
L R2 U' F2 R' F' B'
L R2 U' F2 R' B' F'
U L' F2 B' L' F' U2
U L' B' L' U2 R B
U L' B' L2 U2 R B'
U L' B' L2 U2 B' R
L R2 D U' R' F' B'
L R2 D U' R' B' F'
U L' B' F2 L' F' U2
L R2 D' U' R' F' B'
L R2 D' U' R' B' F'
L R2 D2 U' R' F' B'
L R2 D2 U' R' B' F'
R' L2 F' L' U' R2 B'
R' L2 F' L' U' B' R2
L2 R2 F' L' U' R' B'
R2 L2 F' L' U' R' B'
D2 L2 U' R' F' B R2
D2 L2 U' R' B F' R2
U L2 U2 D2 R F' B
U L2 U2 D2 R B F'
R' U L U2 R2 F B'
R' U L U2 R2 B' F
R' U L U2 F R2 B'
R' U L U2 F B' R2
R' U L U2 B' R2 F
R' U L U2 B' F R2
R2 U L U2 R' F B'
R2 U L U2 R' B' F
R2 U L U2 F R' B'
L U L U2 R F B
L U L U2 R B F
R' U L' F B' U2 R2
U L2 D2 U2 R F' B
U L2 D2 U2 R B F'
R' U L' B' F U2 R2
L' U L' B' U2 R B
U L2 F2 L' U2 F B'
U L2 F2 L' U2 B' F
L U R B2 L F B
L U R B2 L B F
U' R L B' L' D2 F2
U' R L B' D2 L' F2
U R L F B2 L B
L' U F U2 R' F' R
U R L B' D2 F L'
U R L B2 F L B
L' U F2 L' F' B' U2
L' U F2 L' B' F' U2
L U F' U2 B' R' F'
L U B R B2 L F
R2 U B2 L U2 F B'
R2 U B2 L U2 B' F
R2 U' L R' B' L' F'
D R F' L' R U' R'
D R F' R L' U' R'
U R F B2 L F B'
U R F B2 L B' F
L' U' R U2 F B U2
L' U' R U2 B F U2
L U' R U2 B U2 B2
L U' R D B' D2 F2
L U' R D' B' D2 F2
L U' R D2 B' D2 F2
U R F' B2 L F B'
U R F' B2 L B' F
L U' R F B' D2 F2
R' U' R' D2 F' R' B
L U' R F' B' D2 F2
L U' R F2 B' D2 F2
R' U' R' F' D2 R' B
R2 U' R' L B' L' F'
L U' R B' U2 B2 U2
L U' R B' D2 F2 D
L U' R B' D2 F2 D'
L U' R B' D2 F2 D2
L U' R B' F D2 F2
L U' R B' F' D2 F2
L U' R B' F2 D2 F2
L' U' R' F' R2 D2 B2
L' U' R' F2 R2 F B
L' U' R' F2 R2 B F
R2 U' R' F' L B' L'
U R F2 B2 L F B'
U R F2 B2 L B' F
L U' R' F R2 F2 B'
L U' R' F R2 B' F2
L U' R' F B' R2 F2
L U' R' F' R B' R
L U' R' F' R2 D B'
L U' R' F' R2 D' B'
L U' R' F' R2 D2 B'
L U' R' F' R2 B' D
L U' R' F' R2 B' D'
L U' R' F' R2 B' D2
L U' R' F' B R2 B2
L U' R' F' B' R2 D
L U' R' F' B' R2 D'
L U' R' F' B' R2 D2
L U' R' F2 R2 F B'
L U' R' F2 R2 B' F
L U' R' F2 B' R2 F
L U' R' B F' R2 B2
L U' R' B' F R2 F2
L U' R' B' F' R2 D
L U' R' B' F' R2 D'
L U' R' B' F' R2 D2
L U' R' B' F2 R2 F
U R B' L F B' L
U R B' L B' F L
L U' D R B' D2 F2
L U' D R' F' R2 B'
L U' D R' F' B' R2
L U' D R' B' F' R2
U R B2 L D F B'
U R B2 L D B' F
U R B2 L D' F B'
U R B2 L D' B' F
U R B2 L D2 F B'
U R B2 L D2 B' F
U R B2 L F D B'
U R B2 L F D' B'
U R B2 L F D2 B'
U R B2 L F B' D
U R B2 L F B' D'
U R B2 L F B' D2
L U' D B' R' F' R2
U R B2 L B' D F
U R B2 L B' D' F
U R B2 L B' D2 F
U R B2 L B' F D
U R B2 L B' F D'
U R B2 L B' F D2
L U' D' R B' D2 F2
L U' D' R' F' R2 B'
L U' D' R' F' B' R2
L U' D' R' B' F' R2
U R B2 F L F B'
U R B2 F L B' F
U' R' L B' L' F' R2
L U' D' B' R' F' R2
U R B2 F' L F B'
U R B2 F' L B' F
U R B2 F2 L F B'
U R B2 F2 L B' F
R2 U' D2 R' D F' B
R2 U' D2 R' D B F'
R2 U' D2 R' D' F' B
R2 U' D2 R' D' B F'
R2 U' D2 R' D2 F' B
R2 U' D2 R' D2 B F'
R2 U' D2 R' F' D B
R2 U' D2 R' F' D' B
R2 U' D2 R' F' D2 B
R2 U' D2 R' F' B D
R2 U' D2 R' F' B D'
R2 U' D2 R' F' B D2
R2 U' D2 R' B D F'
R2 U' D2 R' B D' F'
