B L R D F B2
B L R D B2 F
B L R F D B2
B R L D F B2
B R L D B2 F
B R L F D B2
B R D L F B2
B R D L B2 F
D R B L F B'
D R B L B' F
D' R' B L R2 F
D' R' B L F R2
D' R' B R2 L F
R D B L F B'
R D B L B' F
R2 D' R' B L F
D B L R F B'
D B L R B' F
D B L B' R F
D B R L F B'
D B R L B' F
B L R U R2 U' F
B L R D F B2 D
B L R D F B2 D'
B L R D F B2 D2
B L R D B2 D F
B L R D B2 D' F
B L R D B2 D2 F
B L R D B2 F D
B L R D B2 F D'
B L R D B2 F D2
B L R D2 F D' B2
B L R F U R2 U'
D L R F B L B2
B L R F D B2 D
B L R F D B2 D'
B L R F D B2 D2
B L R F B D B2
B L R F B' D B2
B L R F B2 D B2
B L R F2 D F' B2
B L R F2 D B2 F'
D L R B F L B2
B L R B D F B2
B L R B D B2 F
B L R B F D B2
B L R B' D F B2
B L R B' D B2 F
B L R B' F D B2
B L R B2 D F B2
B L R B2 D B2 F
B L R B2 F D B2
D' L R' F B L R2
D' L R' F B R2 L
B L R' F R2 D B2
D' L R' B R2 F L
D' L R' B F L R2
D' L R' B F R2 L
B L R2 F D R' B
B' L U R D2 F L2
B' L U R F D2 L2
B L U R' U' R2 F
B L U R' U' F R2
L R D F B L B'
B' L U' R' U2 R2 F
B' L U' R' U2 F R2
R L D F B L B'
L R D B F L B'
R L D B F L B'
R2 L D' R' F B L
R2 L D' R' B F L
R2 L D' F R' B L
B L D R D F B2
B L D R D B2 F
B L D R F D B2
L R F D B L B'
R2 L F D' R' B L
R L F D B L B'
B L D' R D F B2
B L D' R D B2 F
B L D' R F D B2
B L D2 R D F B2
B L D2 R D B2 F
B L D2 R F D B2
D L B R F L B2
D L B' R D2 F L2
D L B' R F D2 L2
B' L B2 U R F L
B L' R' U' L2 R2 F
B L' R' U' L2 F R2
B L' R' U' R2 L2 F
F2 L' D' B' R' U2 B
D' L' B' R' U2 B R2
F2 L' B' R' U L U
D L' B' R' F U2 R2
L R2 D' R' F B L
L R2 D' R' B F L
L R2 D' F R' B L
B L2 R' U' L' R2 F
B L2 R' U' L' F R2
B L2 R' U' R2 L' F
L R2 F D' R' B L
R U R B L R' U'
R U R B R' L U'
B R L U R2 U' F
B R L D F B2 D
B R L D F B2 D'
B R L D F B2 D2
B R L D B2 D F
B R L D B2 D' F
B R L D B2 D2 F
B R L D B2 F D
B R L D B2 F D'
B R L D B2 F D2
B R L D2 F D' B2
D R L F B L B2
B R L F U R2 U'
B R L F D B2 D
B R L F D B2 D'
B R L F D B2 D2
B R L F B D B2
B R L F B' D B2
B R L F B2 D B2
B R L F2 D F' B2
B R L F2 D B2 F'
D R L B F L B2
B R L B D F B2
B R L B D B2 F
B R L B F D B2
B R L B' D F B2
B R L B' D B2 F
B R L B' F D B2
B R L B2 D F B2
B R L B2 D B2 F
B R L B2 F D B2
B R U R2 U' L F
U R U B R' U' F'
B R D L F B2 D
B R D L F B2 D'
B R D L F B2 D2
B R D L B2 D F
B R D L B2 D' F
B R D L B2 D2 F
B R D L B2 F D
B R D L B2 F D'
B R D L B2 F D2
B R D L2 B2 L' F
B R D F L F B2
B R D F L B2 F
B R D F' L F B2
B R D F' L B2 F
B R D F2 L F B2
B R D F2 L B2 F
B R D' L D2 F B2
B R D' L D2 B2 F
D2 R D' B L F B'
D2 R D' B L B' F
B R F L D F B2
B R F L D B2 F
B R F L F D B2
B R F D L F B2
B R F D L B2 F
D R F B L F B'
D R F B L B' F
B R F' L D F B2
B R F' L D B2 F
B R F' L F D B2
B R F' D L F B2
B R F' D L B2 F
D R F' B L F B'
D R F' B L B' F
B R F2 L D F B2
B R F2 L D B2 F
B R F2 L F D B2
D' R B L F D2 B2
B R F2 D L F B2
B R F2 D L B2 F
D R F2 B L F B'
D R F2 B L B' F
D R B L D F B'
D R B L D B' F
D R B L D' F B'
D R B L D' B' F
D R B L D2 F B'
D R B L D2 B' F
D R B L F D B'
D R B L F D' B'
D R B L F D2 B'
D R B L F B' D
D R B L F B' D'
D R B L F B' D2
D R B L B' D F
D R B L B' D' F
D R B L B' D2 F
D R B L B' F D
D R B L B' F D'
D R B L B' F D2
D2 R B D' L F B'
D2 R B D' L B' F
U R B L R' U' R
U R B R' L U' R
D R B F L F B'
D R B F L B' F
D R B F' L F B'
D R B F' L B' F
D R B F2 L F B'
D R B F2 L B' F
D R B2 L F B' L
D R B2 L B' F L
B R B2 D B2 L F
D' R' L F B L R2
D' R' L F B R2 L
D' R' L B R2 F L
D' R' L B F L R2
D' R' L B F R2 L
B R' L F R2 D B2
B R' L' U' L2 R2 F
B R' L' U' L2 F R2
B R' L' U' R2 L2 F
B R' L2 U' L' R2 F
B R' L2 U' L' F R2
B R' L2 U' R2 L' F
D' R' F B L R2 F
D' R' F B L F R2
D' R' F B R2 L F
D' R' F' B L R2 F
D' R' F' B L F R2
D' R' F' B R2 L F
D' R' F2 B L R2 F
D' R' F2 B L F R2
D' R' F2 B R2 L F
D' R' B L R' F R'
D' R' B L R2 D F
D' R' B L R2 D' F
D' R' B L R2 D2 F
D' R' B L R2 F D
D' R' B L R2 F D'
D' R' B L R2 F D2
D' R' B L F R2 D
D' R' B L F R2 D'
D' R' B L F R2 D2
D' R' B L F' R2 F2
D' R' B R' L F R'
D' R' B R2 L D F
D' R' B R2 L D' F
D' R' B R2 L D2 F
D' R' B R2 L F D
D' R' B R2 L F D'
D' R' B R2 L F D2
D' R' B R2 D L F
D' R' B R2 D' L F
D' R' B R2 D2 L F
D' R' B R2 F L F
D' R' B R2 F' L F
D' R' B R2 F2 L F
D R' B L R2 F B'
D R' B L R2 B' F
D R' B L F R2 B'
D R' B L F B' R2
D R' B L B' R2 F
D R' B L B' F R2
D' R' B F L R2 F
D' R' B F L F R2
D' R' B F R2 L F
D' R' B F' L R2 F
D' R' B F' L F R2
D' R' B F' R2 L F
D' R' B F2 L R2 F
D' R' B F2 L F R2
D' R' B F2 R2 L F
D R' B R2 L F B'
D R' B R2 L B' F
D' R' B2 R2 B' L F
R2 U2 D' R' F' L' B
R2 U2 D' R' F' B L'
R2 U2 D' R' B F' L'
B R2 L F D R' B
D' R2 U2 R' F' L' B'
D2 R2 D R' B L F
D R2 D2 R' B L F
R D L F B L B2
R D L B F L B2
L D R F B L B'
L D R B F L B'
D R2 B L F B' R'
D R2 B L B' R' F
D R2 B L B' F R'
R2 D R' B L F B'
R2 D R' B L B' F
R D F B L F B'
R D F B L B' F
R D F' B L F B'
R D F' B L B' F
R2 D B L F B' R'
R2 D B L B' R' F
R2 D B L B' F R'
B U R' U' L R2 F
B U R' U' L F R2
B U R' U' R2 L F
R D F2 B L F B'
R D F2 B L B' F
R D B L D F B'
R D B L D B' F
R D B L D' F B'
R D B L D' B' F
R D B L D2 F B'
R D B L D2 B' F
R D B L F D B'
R D B L F D' B'
R D B L F D2 B'
R D B L F B' D
R D B L F B' D'
R D B L F B' D2
R D B L B' D F
R D B L B' D' F
R D B L B' D2 F
R D B L B' F D
R D B L B' F D'
R D B L B' F D2
L D B R F L B'
R D B F L F B'
R D B F L B' F
R D B F' L F B'
R D B F' L B' F
R D B F2 L F B'
R D B F2 L B' F
R D B2 L F B' L
R D B2 L B' F L
R2 D' L R' F B L
R2 D' L R' B F L
R2 D' L F R' B L
R2 D' R' L F B L
R2 D' R' L B F L
R2 D' R' D B L F
R2 D' R' D' B L F
R2 D' R' D2 B L F
R2 D' R' F B L F
R2 D' R' F' B L F
R2 D' R' F2 B L F
R2 D' R' B L D F
R2 D' R' B L D' F
R2 D' R' B L D2 F
R2 D' R' B L F D
R2 D' R' B L F D'
R2 D' R' B L F D2
R2 D' R' B D L F
R2 D' R' B D' L F
R2 D' R' B D2 L F
R2 D' R' B F L F
R2 D' R' B F' L F
R2 D' R' B F2 L F
L D' R' F B L R2
L D' R' F B R2 L
L D' R' B R2 F L
L D' R' B F L R2
L D' R' B F R2 L
R D' R' B L R F
R D' R' B R L F
R2 D' U2 R' F' L' B
R2 D' U2 R' F' B L'
R2 D' U2 R' B F' L'
R2 D' F R' B L F
U2 D' R' F' L' B R2
U2 D' R' F' B L' R2
U2 D' R' F' B R2 L'
U2 D' R' B F' L' R2
U2 D' R' B F' R2 L'
R2 D' F' R' B L F
R2 D' F2 R' B L F
L' D' B' R' U2 B R2
R D' B D2 L F B'
R D' B D2 L B' F
D' U2 R' F' L' B R2
D' U2 R' F' B L' R2
D' U2 R' F' B R2 L'
D' U2 R' B F' L' R2
D' U2 R' B F' R2 L'
B U2 R' U' L F' R2
B U2 R' U' F' L R2
B U2 R' U' F' R2 L
R D2 B D' L F B'
R D2 B D' L B' F
B D L R D F B2
B D L R D B2 F
B D L R F D B2
F2 D L' F B' R' U2
F2 D L' B' R' F U2
F2 D L' B' F R' U2
R2 F D' R' B L F
B D R L D F B2
B D R L D B2 F
B D R L F D B2
R F D B L F B'
R F D B L B' F
B D R D L F B2
B D R D L B2 F
F' D B L F R B'
F' D B L F B' R
F' D B L B' F R
D' F' R' B L F R
B D' L R D F B2
B D' L R D B2 F
B D' L R F D B2
F2 D' L' B' R' U2 B
R2 F' D' R' B L F
B D' R L D F B2
B D' R L D B2 F
B D' R L F D B2
R F' D B L F B'
R F' D B L B' F
B D' R D L F B2
B D' R D L B2 F
F' D' R' B L F R
D F' B L F R B'
D F' B L F B' R
D F' B L B' F R
D' F2 L' B' R' U2 B
D F2 L' F B' R' U2
D F2 L' B' R' F U2
D F2 L' B' F R' U2
B D2 L R D F B2
B D2 L R D B2 F
B D2 L R F D B2
R2 F2 D' R' B L F
B D2 R L D F B2
B D2 R L D B2 F
B D2 R L F D B2
R F2 D B L F B'
R F2 D B L B' F
B D2 R D L F B2
B D2 R D L B2 F
D' B L R F D2 B2
D' B L R' F B R2
D' B L R' B R2 F
D' B L R' B F R2
D B L R D F B'
D B L R D B' F
D B L R D' F B'
D B L R D' B' F
D B L R D2 F B'
D B L R D2 B' F
D B L R F D B'
D B L R F D' B'
D B L R F D2 B'
D B L R F B' D
D B L R F B' D'
D B L R F B' D2
D B L R B' D F
D B L R B' D' F
D B L R B' D2 F
D B L R B' F D
D B L R B' F D'
D B L R B' F D2
D B L R' F R2 B'
D B L R' F B' R2
D B L R' B' R2 F
D B L R' B' F R2
D B L R2 F R' B'
D B L D R F B'
D B L D R B' F
D B L D B' R F
D B L D' R F B'
D B L D' R B' F
D B L D' B' R F
D B L D2 R F B'
D B L D2 R B' F
D B L D2 B' R F
D B L B R F B2
D B L B R B2 F
D B L B' R D F
D B L B' R D' F
D B L B' R D2 F
D B L B' R F D
D B L B' R F D'
D B L B' R F D2
D B L B' R' F R2
D B L B' R2 F R'
D B L B' D R F
D B L B' D' R F
D B L B' D2 R F
R B L U R' U' F
D' B R L F D2 B2
R B L F U R' U'
D2 B R D' L F B'
D2 B R D' L B' F
D' B R' L F B R2
D' B R' L B R2 F
D' B R' L B F R2
D B R L D F B'
D B R L D B' F
D B R L D' F B'
D B R L D' B' F
D B R L D2 F B'
D B R L D2 B' F
D B R L F D B'
D B R L F D' B'
D B R L F D2 B'
D B R L F B' D
D B R L F B' D'
D B R L F B' D2
D B R L B' D F
D B R L B' D' F
D B R L B' D2 F
D B R L B' F D
D B R L B' F D'
D B R L B' F D2
D B R F L F B'
D B R F L B' F
D B R F' L F B'
D B R F' L B' F
D B R F2 L F B'
D B R F2 L B' F
L B R D F L B2
D B R' L F R2 B'
D B R' L F B' R2
D B R' L B' R2 F
D B R' L B' F R2
L B R F L D B2
L B R F D L B2
L B R' U' R2 F L
L B R' U' F L R2
L B R' U' F R2 L
D B R2 L F R' B'
F' B L F R D B2
R B U R' U' L F
D2 B D' L R F B'
D2 B D' L R B' F
D2 B D' L B' R F
D2 B D' R L F B'
D2 B D' R L B' F
D' B D2 L R F B'
D' B D2 L R B' F
D' B D2 L B' R F
D' B D2 R L F B'
D' B D2 R L B' F
D B F' L F R B'
D B F' L F B' R
D B F' L B' F R
U B' L R' F' U R2
L' B' R' U L U R2
U B' R' L F' U R2
U B' R' F' L U R2
B F' L F R D B2
D B2 L R F B' L
D B2 L R B' F L
D B2 L B' R F L
D B2 R L F B' L
D B2 R L B' F L
D B2 R B' L F B'
D B2 R B' L B' F
U' B2 U R B L F
