D' R2 B U L B2
D' L' R2 B U L B'
B L' F' U' B2 L2 F
B L' B2 L2 F D R2
B' R' D B' L U2 B
B' R' B' U2 D B R'
B' R' B' D U2 B R'
D' R2 L' B U L B'
D' R2 D B U L B2
D' R2 D' B U L B2
D' R2 D2 B U L B2
D' R2 F B U L B2
D' R2 F' B U L B2
D' R2 F2 B U L B2
D' R2 B L' U L2 B2
D' R2 B L' U B2 L2
D' R2 B L2 U L' B2
D' R2 B L2 U B2 L'
D' R2 B U L B2 D
D' R2 B U L B2 D'
D' R2 B U L B2 D2
D' R2 B U L' B2 L2
D' R2 B U L2 B2 L'
D2 R2 B U L F2 B2
D2 R2 B U L B2 F2
D2 R2 B U F2 L B2
D' R2 B D L2 U L'
D' R2 B F U L B2
D' R2 B F' U L B2
D' R2 B F2 U L B2
B' U F' U R' B' U2
D2 U' F' U' F' B' L'
D2 U' F' U' B' F' L'
R2 D' B R2 U L B2
R2 D' B' D' R2 F2 L'
B2 U' F' U' B' L B2
B2 U' F' B' U' L B2
F' U' B' L2 D F L'
B2 U' B' F' U' L B2
U' D2 F' U' F' B' L'
U' D2 F' U' B' F' L'
D2 U2 F' U' B' L' F'
U2 D2 F' U' B' L' F'
B' U2 R' D B' L U2
R2 D2 B U L F2 B2
R2 D2 B U L B2 F2
R2 D2 B U F2 L B2
D F D B' R2 F2 L'
D F B' D R2 F2 L'
F' D B L2 U' L' B2
F' D B L2 U' B2 L'
F D B' R2 D F2 L'
U2 F' U B2 U2 L' B
U2 F' U B2 U2 B L'
U2 F' U' D2 B' L' F2
U2 F' U' B' L2 F L
U F' U B2 U2 B L
U2 F' D2 U' B' L' F2
D2 F' B U' L F' B2
D2 F' B U' L B2 F'
D2 F' B U' F' L B2
D F' B L2 U' L' B2
D F' B L2 U' B2 L'
B D' F' R2 U' L F'
B D' F' R2 U' F' L
R2 B L' U B2 L2 F
F' D2 B U' L F2 B2
F' D2 B U' L B2 F2
F' D2 B U' F2 L B2
R2 B R2 U L F' B2
R2 B R2 U L B2 F'
R2 B R2 U F' L B2
R2 B U L' B2 L2 F
F' B L' U' B2 L2 F
F' B R2 U' L F' B2
F' B R2 U' L B2 F'
F' B R2 U' F' L B2
D2 B F' U' L F' B2
D2 B F' U' L B2 F'
D2 B F' U' F' L B2
D B F' L2 U' L' B2
D B F' L2 U' B2 L'
F' B U' L' B2 L2 F
F' B D' R2 U' L F'
F' B D' R2 U' F' L
B F' L' U' B2 L2 F
B F' R2 U' L F' B2
B F' R2 U' L B2 F'
B F' R2 U' F' L B2
B F' U' L' B2 L2 F
D B' F D R2 F2 L'
B F' D' R2 U' L F'
B F' D' R2 U' F' L
U' B2 U' F' U' L' B
U' B2 U' F' U' B L'
R2 B2 U B' U L B2
U2 B2 U' F' U' B L
