U' L U F U2 L U'
U' L U' L2 B' L' U'
U' L B2 U R' F U
U' L B2 U F R' U
U2 L2 U L' U' B' U'
L U' L U2 F L2 U
D2 R2 U' L U F U
U' D L U F U F
D2 U' L U R2 F U
D2 U' L U F R2 U
D' U' L B2 U F U
U' D' L B2 U F U
D U' L U F U F
U' D2 L U R2 F U
U' D2 L U F R2 U
B U2 L2 B U' L' R'
B U2 L2 B U' R' L'
U2 F L2 U L' R U2
U2 F L2 U R L' U2
U2 F L2 F2 U' L' R
U2 F L2 F2 U' R L'
U2 F' L2 U L' U2 L2
U2 F' L2 U' L D2 R2
U2 F' L2 F2 U' L R
U2 F' L2 F2 U' R L
U2 F' B2 L2 U' L R'
U2 F' B2 L2 U' R' L
B D2 R2 F' U L R
B D2 R2 F' U R L
B2 D2 F R2 U L' R
B2 D2 F R2 U R L'
B D2 F' R2 U L R'
B D2 F' R2 U R' L
U2 B2 L2 F' U' L' R'
U2 B2 L2 F' U' R' L'
D2 B2 R2 B' U L R
D2 B2 R2 B' U R L
U2 B2 F' L2 U' L R'
U2 B2 F' L2 U' R' L
