U' L R B D2 F2
U' L' R F L2 B
U' L' R F B L2
U' L' R B F L2
U L' R F B' L2
U L' R B' F L2
U L' B' R F L2
U' R L B D2 F2
U' R L' F L2 B
U' R L' F B L2
U' R L' B F L2
U R L' F B' L2
U R L' B' F L2
L' U' R F L2 B
L' U' R F B L2
L' U' R B F L2
D2 R F' L D' B2
D2 U' L R F' B
D2 U' L R B F'
D2 U' R L F' B
D2 U' R L B F'
D2 U' R F' L B
U' D2 L R F' B
U' D2 L R B F'
U' D2 L R B F'
U' D2 R L F' B
U' D2 R L B F'
U' D2 R F' L B
U' L R U2 B' U2 B2
U' L R D B D2 F2
U' L R D' B D2 F2
U L R U2 F B' U2
U' L R D2 B D2 F2
U L R U2 B' F U2
U' L R F B D2 F2
D2 L R F' U' L' U
U' L R F' B D2 F2
U' L R F2 B D2 F2
U' L R B U2 B2 U2
U' L R B D2 F2 D
U' L R B D2 F2 D'
U' L R B D2 F2 D2
U' L R B F D2 F2
U' L R B F' D2 F2
U' L R B F2 D2 F2
U' L R' B2 R2 F' B
U' L R' B2 R2 B F'
L R U2 B' U' R' U'
R L U2 B' U' R' U'
F' L U' L2 U F R
U' L U2 B' U2 R B
U' L D R B D2 F2
L' R F L2 U R U'
L' R F U R U' L2
U' L D' R B D2 F2
U' L D2 R B D2 F2
U' L B R D2 F2 B
U' L B R D2 B F2
U' L B D2 R F2 B
U' L B D2 R B F2
U' L B2 R2 F' R' B
U' L' R F L' B L'
U' L' R F L2 D B
U' L' R F L2 D' B
U' L' R F L2 D2 B
U' L' R F L2 B D
U' L' R F L2 B D'
U' L' R F L2 B D2
U' L' R F B L2 D
U' L' R F B L2 D'
U' L' R F B L2 D2
U' L' R F B' L2 B2
U' L' R F' L2 F2 B
U' L' R F' L2 B F2
U' L' R F' B L2 F2
U' L' R F2 L2 F' B
U' L' R F2 L2 B F'
U' L' R F2 B L2 F'
U' L' R B F L2 D
U' L' R B F L2 D'
U' L' R B F L2 D2
U' L' R B F' L2 F2
U' L' R B F2 L2 F'
U L' R F B L2 B2
U L' R F B' L2 D
U L' R F B' L2 D'
U L' R F B' L2 D2
U' L' R B' F L2 B2
U L' R F B2 L2 B
U L' R F' B' L2 F2
U L' R F2 B' L2 F'
U L' R B F L2 B2
U L' R B' F L2 D
U L' R B' F L2 D'
U L' R B' F L2 D2
U L' R B' F' L2 F2
U L' R B' F2 L2 F'
U L' R B2 F L2 B
U L' R' F R2 B' L2
U L' R' F B' L2 R2
U L' R' F B' R2 L2
U L' R' B' R2 F L2
U L' R' B' F L2 R2
U L' R' B' F R2 L2
U' L' R2 F L2 R' B
U' L' R2 F R' L2 B
U' L' R2 F R' B L2
U L' R2 F R' B' L2
U2 L' U R F L2 B
U2 L' U R F B L2
U2 L' U R B F L2
U L' U R F B' L2
U L' U R B' F L2
D2 L' U' L2 R F' B
D2 L' U' L2 R B F'
D2 L' U' R L2 F' B
D2 L' U' R L2 B F'
D2 L' U' R F' L2 B
D2 L' U' R F' B L2
D2 L' U' R B L2 F'
D2 L' U' R B F' L2
R2 L' F L2 R' D B2
U L' U B' R F L2
R L' F L2 U R U'
