L2 U' B' U F L'
B' U' F U' L' B
B' U' F U' B L'
U F L2 U' F L
L2 F U' B' U L'
U F U B' U2 L'
U F U' L2 F L
L2 B' U F L' B
L2 B' U F B L'
L2 B' U B F L'
U2 B' U' F U' L'
L2 R U' B' U F L'
L2 R F U' B' U L'
L2 R B' U F L' B
L2 R B' U F B L'
L2 R B' U B F L'
L2 R' U' B' U F L'
F' L' U F2 U' L' F
U L' U' L' F L' R
U L' U' L' F R L'
L2 R' F U' B' U L'
U L' U' F L' R F
U L' U' F R L' F
L2 R' B' U F L' B
L2 R' B' U F B L'
L2 R' B' U B F L'
U L' F U' L' F R
R' L2 U' B' U F L'
L2 R2 U' B' U F L'
R2 L2 U' B' U F L'
R L2 U' B' U F L'
R' L2 F U' B' U L'
L2 R2 F U' B' U L'
R2 L2 F U' B' U L'
R L2 F U' B' U L'
F' L2 U F2 U' L' F'
U2 L2 U B' U F L'
D2 L2 U' B' U F L
R' L2 B' U F L' B
R' L2 B' U F B L'
R' L2 B' U B F L'
L2 R2 B' U F L' B
L2 R2 B' U F B L'
L2 R2 B' U B F L'
R2 L2 B' U F L' B
R2 L2 B' U F B L'
R2 L2 B' U B F L'
R L2 B' U F L' B
R L2 B' U F B L'
U L2 U2 B' U F L'
R L2 B' U B F L'
F' L2 D F2 L' F' R2
D2 L2 F U' B' U L
F' L2 F U F U' L'
F L2 F L U F' U'
F2 L2 F U F2 U' L'
F L2 F U F' U' L
F2 L2 F' L' F2 D R2
F L2 F2 L D F' R2
F L2 F2 D L F' R2
F L2 F2 D F' L R2
F L2 F2 D F' R2 L
F L2 B U' F B' L
F L2 B U' B' F L
D2 L2 B' U F L B
D' L2 B' U F B L
D' L2 B' U B F L
F L2 B2 U' F B2 L
F L2 B2 U' B2 F L
R' U F L2 U' F L
R' U F U B' U2 L'
R' U F U' L2 F L
R2 U F L2 U' F L
R U F L2 U' F L
R2 U F U B' U2 L'
R2 U F U' L2 F L
R U F U B' U2 L'
R U F U' L2 F L
F' R D R2 D2 L2 F
F' R D B' U2 B R2
F' R D' B' L2 U2 B
L2 U' R B' U F L'
L2 U' R' B' U F L'
F' R B' U' F2 U' B
F' R B' U2 D B R2
F' R B' U2 B D R2
L2 U' R2 B' U F L'
F' R B' D U2 B R2
F' R B' D' L2 U2 B
U2 R B' U' F U' L'
L2 U' D2 B' U F L
L' U' F U L' R F
L' U' F U R L' F
L2 U' F' B' U F2 L'
B' R' U' F U' L' B'
L2 U' B' R U F L'
L2 U' B' R' U F L'
L2 U' B' R2 U F L'
L2 U' B' U F L' D
L2 U' B' U F L' D'
L2 U' B' U F L' D2
L2 U' B' U F D L'
L2 U' B' U F D' L'
L2 U' B' U F D2 L'
F' R' D R2 D L2 F
L2 U' B' F' U F2 L'
F' R' D2 L2 D' R2 F
F' R' D2 L2 D' F R2
F' R' D2 L2 F D' R2
U2 R' B' U' F U' L'
R' U2 B' U' F U' L'
R2 U2 B' U' F U' L'
R U2 B' U' F U' L'
B2 R2 F U' L' F2 B2
B2 R2 F U' L' B2 F2
B2 R2 F U' B2 L' F2
B' R2 F' R U' F2 U'
B' R2 F' R U2 D R2
B' R2 F' R D U2 R2
B' R2 F' R D' L2 U2
B' R2 F' U' F2 U' L'
B' R2 F' D R U2 R
B' R2 F' D' L2 R U2
B' R2 F' D' R L2 U2
U2 R2 B' U' F U' L'
F' U L' F2 U' L' F
F' U L2 F2 U' L' F'
D2 U F U B' U2 L
F2 U F' U B' R' U2
F' U F2 L2 U' F L
F' U F2 U B' U2 L'
F' U F2 U' L2 F L
F U' L2 D' F L B2
F U' L2 F D' L B2
B' U' F U' L B L2
B' U' F U' L' D B
B' U' F U' L' D' B
B' U' F U' L' D2 B
B' U' F U' L' B D
B' U' F U' L' B D'
B' U' F U' L' B D2
B' U' F U' D L' B
B' U' F U' D B L'
B' U' F U' D' L' B
B' U' F U' D' B L'
B' U' F U' D2 L' B
B' U' F U' D2 B L'
B' U' F U' B L' D
B' U' F U' B L' D'
B' U' F U' B L' D2
B' U' F U' B D L'
