B' U F' B2 U
B' U B2 F' U
B' L U F' B2 U
B' L U B2 F' U
B' L' U F' B2 U
B' L' U B2 F' U
B' L2 U F' B2 U
B' L2 U B2 F' U
F' L2 B U F B2
F' L2 B U B2 F
L2 U F' B U F2
L2 U B F' U F2
B' U D' F' U R2
B' U F' U D' R2
B' U F' D' U R2
B' U F' B2 U D
B' U F' B2 U D'
B' U F' B2 U D2
B' U F' B2 D U
B' U F' B2 D' U
B' U F' B2 D2 U
B' U B2 D F' U
B' U B2 D' F' U
B' U B2 D2 F' U
B' U B2 F' U D
B' U B2 F' U D'
B' U B2 F' U D2
B' U B2 F' D U
B' U B2 F' D' U
B' U B2 F' D2 U
B' D L2 U F' U
B' D' U F' U R2
U F' B U D2 F2
U F' B U' B2 U2
U F' B D' R2 U
U F' B D2 U F2
U B D' F' R2 U
U B D2 F' U F'
F' B U' F B2 U2
F' B U' B2 F U2
U B F' U D2 F2
U B F' U' B2 U2
U B F' D' R2 U
U B F' D2 U F2
D2 B' U F' B2 U
D' B' U F' B2 U
D2 B' U B2 F' U
D' B' U B2 F' U
R2 B' U' F' B2 U'
R2 B' U' B2 F' U'
D B' U F' B2 U
D B' U B2 F' U
B F' U' F B2 U2
B F' U' F B2 U2
B F' U' B2 F U2
R2 L U' F' L' B U'
R2 L U' F' B L' U'
R2 L U' B F' L' U'
B' L U D' F' U R2
B' L U F' U D' R2
B' L U F' D' U R2
B' L U F' B2 U D
B' L U F' B2 U D'
B' L U F' B2 U D2
B' L U F' B2 D U
B' L U F' B2 D' U
B' L U F' B2 D2 U
B' L U B2 D F' U
B' L U B2 D' F' U
B' L U B2 D2 F' U
B' L U B2 F' U D
B' L U B2 F' U D'
B' L U B2 F' U D2
B' L U B2 F' D U
B' L U B2 F' D' U
B' L U B2 F' D2 U
B' L D L2 U F' U
B' L D' U F' U R2
B L F' U' F B2 U2
B L F' U' B2 F U2
F' L B L U F B'
F' L B L U B' F
B L B2 U F' B2 U
B L B2 U B2 F' U
B' L' U D' F' U R2
B' L' U F' U D' R2
B' L' U F' D' U R2
B' L' U F' B2 U D
B' L' U F' B2 U D'
B' L' U F' B2 U D2
B' L' U F' B2 D U
B' L' U F' B2 D' U
B' L' U F' B2 D2 U
B' L' U B2 D F' U
B' L' U B2 D' F' U
B' L' U B2 D2 F' U
B' L' U B2 F' U D
B' L' U B2 F' U D'
B' L' U B2 F' U D2
B' L' U B2 F' D U
B' L' U B2 F' D' U
B' L' U B2 F' D2 U
B' L' D L2 U F' U
B' L' D' U F' U R2
B L' F' U' F B2 U2
B L' F' U' B2 F U2
L2 R2 U' F' B U' F2
L R2 U' F' L' B U'
R2 L2 U' F' B U' F2
L R2 U' F' B L' U'
L2 R2 U' B F' U' F2
R2 L2 U' B F' U' F2
F' L' B L' U F B'
F' L' B L' U B' F
L R2 U' B F' L' U'
B L' B2 U F' B2 U
B L' B2 U B2 F' U
F' L2 R' U F R B'
F' L2 R' U F B' R
F' L2 R' U B' F R
B' L2 U D' F' U R2
D2 L2 U F' B U F2
F' L2 U F B' D' R2
B' L2 U F' U D' R2
D' L2 U F' B U F2
B' L2 U F' D' U R2
B' L2 U F' B2 U D
B' L2 U F' B2 U D'
B' L2 U F' B2 U D2
B' L2 U F' B2 D U
B' L2 U F' B2 D' U
B' L2 U F' B2 D2 U
D2 L2 U B F' U F2
D' L2 U B F' U F2
F' L2 U B' D' R2 F
F' L2 U B' D' F R2
F' L2 U B' F D' R2
B' L2 U B2 D F' U
B' L2 U B2 D' F' U
B' L2 U B2 D2 F' U
B' L2 U B2 F' U D
B' L2 U B2 F' U D'
B' L2 U B2 F' U D2
B' L2 U B2 F' D U
B' L2 U B2 F' D' U
B' L2 U B2 F' D2 U
D L2 U F' B U F2
D L2 U B F' U F2
U2 L2 U' F' B U F2
U2 L2 U' B F' U F2
U' L2 U2 F' B U F2
U' L2 U2 B F' U F2
B' L2 D L2 U F' U
F' L2 D B U F B2
F' L2 D B U B2 F
B' L2 D' U F' U R2
F' L2 D' B U F B2
F' L2 D' B U B2 F
F' L2 D2 B U F B2
F' L2 D2 B U B2 F
U2 L2 F U' F2 B U
U2 L2 F U' B F2 U
U L2 F' L2 B U F2
B L2 F' U' F B2 U2
B L2 F' U' B2 F U2
U2 L2 F' B U F2 B'
U2 L2 F' B U B' F2
U L2 F' B L2 U F2
F' L2 B R U F B2
F' L2 B R U B2 F
F' L2 B R' U F B2
F' L2 B R' U B2 F
F' L2 B R2 U F B2
F' L2 B R2 U B2 F
F' L2 B U F B2 D
F' L2 B U F B2 D'
F' L2 B U F B2 D2
F' L2 B U B2 D F
F' L2 B U B2 D' F
F' L2 B U B2 D2 F
F' L2 B U B2 F D
F' L2 B U B2 F D'
F' L2 B U B2 F D2
U2 L2 B F' U F2 B'
U2 L2 B F' U B' F2
U L2 B F' L2 U F2
L' U D F' B R U
L' U D B F' R U
L2 U D F' B U F2
L2 U D B F' U F2
L' U D' F' B R' U
B L2 B2 U F' B2 U
B L2 B2 U B2 F' U
L' U D' B F' R' U
L2 U D' F' B U F2
L2 U D' B F' U F2
L2 U D2 F' B U F2
L2 U D2 B F' U F2
L' U F' D' B R' U
L2 U F' D B R2 U
L2 U F' B R U F2
L2 U F' B R' U F2
L2 U F' B R2 U F2
L2 U F' B U F2 D
L2 U F' B U F2 D'
L2 U F' B U F2 D2
L2 U F' B D R2 U
B' R U F' B2 U L'
B' R U B2 F' U L'
L U F' B U2 L U'
L U F' B' R' B2 U
L' U B D F' R U
L2 U B U F D' L2
L2 U B D F' U F2
L2 U B D' F' U F2
L2 U B D2 F' U F2
L2 U B F' R U F2
L2 U B F' R' U F2
L2 U B F' R2 U F2
L2 U B F' U F2 D
L2 U B F' U F2 D'
L2 U B F' U F2 D2
L2 U B F' D R2 U
L U B F' U2 L U'
L U B' F' R' B2 U
R2 U' L2 F' B U' F2
R2 U' L2 B F' U' F2
F' R' L2 U F R B'
F' R' L2 U F B' R
F' R' L2 U B' F R
R2 U' F' L2 B U' F
R2 U' F' B U B2 U2
R2 U' F' B U' D2 F2
R2 U' F' B D L2 U'
R2 U' F' B D2 U' F2
F' R' U' F B' U2 R'
F' R' U' B' F U2 R'
R2 U' B D L2 F' U'
R2 U' B D F' L2 U'
R2 U' B D2 F' U' F'
R2 U' B F' U B2 U2
R2 U' B F' U' D2 F2
R2 U' B F' D L2 U'
R2 U' B F' D2 U' F2
L2 U2 F U' F2 B U
L2 U2 F U' B F2 U
L2 U2 F' B U F2 B'
L2 U2 F' B U B' F2
B' R2 U B2 U2 B' U'
B' R2 U' D' B U' R2
B' R2 U' D2 F2 B U'
B' R2 U' D2 B F2 U'
B' R2 U' B U2 B U
L2 U2 B F' U F2 B'
L2 U2 B F' U B' F2
B' R2 D L2 U' B U'
B' R2 D' U' B U' R2
B' R2 D2 U' F2 B U'
B' R2 D2 U' B F2 U'
D' R2 B' U' F' B2 U'
D2 R2 B' U' F' B2 U'
D' R2 B' U' B2 F' U'
D2 R2 B' U' B2 F' U'
L' D U F' B R U
L' D U B F' R U
D R2 B' U' F' B2 U'
D R2 B' U' B2 F' U'
L2 D U F' B U F2
L2 D U B F' U F2
B' U L B2 L' F' U
B' U L' F' L B2 U
B' U L2 F' L2 B2 U
B' U L2 F' B2 L2 U
B' U L2 B2 L2 F' U
B' U L2 B2 F' L2 U
B' U R' B2 R F' U
R2 D B' U' F' B2 U'
R2 D B' U' B2 F' U'
B' U D F' U D2 R2
B' U D F' U' L2 U2
B' U D F' D' B2 U
B' U D F' D2 U R2
B' U D' F' U R2 D
B' U D' F' U R2 D'
B' U D' F' U R2 D2
B' U D' F' D B2 U
B' U D' F' B U R2
B' U D' F' B' U R2
B' U D' F' B2 U R2
B' U D' B F' U R2
B' U D' B' F' U R2
B' U D' B2 F' U R2
D' U F' B U D2 F2
D' U F' B U' B2 U2
D' U F' B D' R2 U
D' U F' B D2 U F2
D2 U F' B U D2 F2
D2 U F' B U' B2 U2
D2 U F' B D' R2 U
D2 U F' B D2 U F2
B' U D2 F' U2 F' U'
B U D' F' R2 U R2
D U F' B U D2 F2
D U F' B U' B2 U2
D U F' B D' R2 U
D U F' B D2 U F2
B' U F U D' L2 R2
B' U F U D' R2 L2
U D F' B U D2 F2
U D F' B U' B2 U2
U D F' B D' R2 U
U D F' B D2 U F2
B' U F D' U L2 R2
B' U F D' U R2 L2
B' U F B2 U D' L2
B' U F B2 D' U L2
B' U F' L B2 L' U
D' U B D' F' R2 U
B' U F' L2 B2 L2 U
D' U B D2 F' U F'
D2 U B D' F' R2 U
D2 U B D2 F' U F'
D' U B F' U D2 F2
D' U B F' U' B2 U2
B' U F' R' B2 R U
D' U B F' D' R2 U
D' U B F' D2 U F2
D2 U B F' U D2 F2
B' U F' R2 B2 R2 U
D2 U B F' U' B2 U2
D2 U B F' D' R2 U
D2 U B F' D2 U F2
B' U F' U R D' R2
B' U F' U R' D' R2
B' U F' U R2 D' R2
B' U F' U D' R2 D
B' U F' U D' R2 D'
B' U F' U D' R2 D2
B' U F' U' D L2 U2
B' U F' U2 D2 F2 U'
B' U F' D U' L2 U2
B2 U F' R2 B' U F'
B' U F' D' U R2 D
B' U F' D' U R2 D'
B' U F' D' U R2 D2
B' U F' D' B U R2
B' U F' D' B' U R2
B' U F' D' B2 U R2
B' U F' D2 U2 F2 U'
B' U F' B D B U
B' U F' B D' B U
B' U F' B D2 B U
B' U F' B' D B' U
B' U F' B' D' B' U
B' U F' B' D2 B' U
B2 U F' B' U D2 F2
B2 U F' B' U' B2 U2
B2 U F' B' D' R2 U
D U B D' F' R2 U
B2 U F' B' D2 U F2
D U B D2 F' U F'
D U B F' U D2 F2
D U B F' U' B2 U2
D U B F' D' R2 U
D U B F' D2 U F2
U D B D' F' R2 U
B U F' D' R2 U R2
U D B D2 F' U F'
B' U F2 D' F U R2
U D B F' U D2 F2
U D B F' U' B2 U2
U D B F' D' R2 U
U D B F' D2 U F2
B' U F2 B2 D F U
B' U F2 B2 D' F U
B' U F2 B2 D2 F U
B' U B D F' B U
B' U B D B F' U
B' U B D' F' B U
B' U B D' B F' U
B' U B D2 F' B U
B' U B D2 B F' U
B' U B F' D B U
B' U B F' D' B U
B' U B F' D2 B U
B' U B' D F' B' U
B' U B' D B' F' U
B' U B' D' F' B' U
B' U B' D' B' F' U
B' U B' D2 F' B' U
B' U B' D2 B' F' U
B' U B' F' D B' U
B' U B' F' D' B' U
B' U B' F' D2 B' U
B2 U B' D' F' R2 U
L' D' U F' B R' U
B2 U B' D2 F' U F'
B' U B2 L' F' L U
B' U B2 L2 F' L2 U
L' D' U B F' R' U
B2 U B' F' U D2 F2
B2 U B' F' U' B2 U2
B2 U B' F' D' R2 U
B2 U B' F' D2 U F2
L2 D' U F' B U F2
B' U B2 D F' U D
B' U B2 D F' U D'
B' U B2 D F' U D2
B' U B2 D F' D U
B' U B2 D F' D' U
B' U B2 D F' D2 U
B' U B2 D' F' U D
B' U B2 D' F' U D'
B' U B2 D' F' U D2
B' U B2 D' F' D U
B' U B2 D' F' D' U
B' U B2 D' F' D2 U
L2 D' U B F' U F2
B' U B2 D2 F' U D
B' U B2 D2 F' U D'
B' U B2 D2 F' U D2
B' U B2 D2 F' D U
B' U B2 D2 F' D' U
B' U B2 D2 F' D2 U
B' U B2 F U D' L2
B' U B2 F D' U L2
B' U B2 F2 D F U
B' U B2 F2 D' F U
B' U B2 F2 D2 F U
B' U' R2 B R2 F' U'
R2 D' B' U' F' B2 U'
R2 D' B' U' B2 F' U'
U D' F' B U D2 F2
U D' F' B U' B2 U2
U D' F' B D' R2 U
U D' F' B D2 U F2
B' U' D2 F2 U2 F U
U D' B D' F' R2 U
U D' B D2 F' U F'
U D' B F' U D2 F2
U D' B F' U' B2 U2
U D' B F' D' R2 U
U D' B F' D2 U F2
B' U' F U' D' L2 R2
B' U' F U' D' R2 L2
B' U' F U2 F2 B2 U
B' U' F U2 B2 F2 U
B' U' F D' U' L2 R2
B' U' F D' U' R2 L2
B' U' F D2 F2 B2 U'
B' U' F D2 B2 F2 U'
F' U' F B' U B2 U
F' U' F B' U2 D' R2
F' U' F B' D L2 U2
F' U' F B' D' U2 R2
B' U' F2 U2 F B2 U
B' U' F2 U2 B2 F U
B' U' B U2 F' B U
B' U' B U2 B F' U
B' U' B' U2 F' B' U
B' U' B' U2 B' F' U
