D F' R B U B
F' L D2 L2 U F R
D L F' R B U B
R2 L' D B U' R' F
R2 L' D B U' F R'
F' L' U D F R B2
F' L' U D F B2 R
F' L' U D B2 F R
F' L' U F D R B2
F' L' U F D B2 R
R' L' F' R' B U' F2
L' R' F' R' B U' F2
F' L' U2 R2 U' F R
F' L' D U F R B2
F' L' D U F B2 R
F' L' D U B2 F R
D L' F' R B U B
L' R2 D B U' R' F
L' R2 D B U' F R'
D2 L2 R B U F' L'
D2 L2 D' F' R B U
D2 L2 F' R B U F'
D2 L2 F' U F R F'
D L2 F' R B U B
D2 R L2 B U F' L'
F R F2 L' B U F
D2 R B L2 U F' L'
F R F2 B L' U F
F R B F2 L' U F
L' U2 R2 B U' F R
U' R2 B U L B' U2
R2 D F L' B U' R'
R2 D F B L' U' R'
R2 D F2 B U' R' F'
R2 D B F L' U' R'
R2 D B F2 U' R' F'
L D2 F' L2 U F R
R' F' L' R' B U' F
D F' L R B U B
D2 F' L2 R B U F'
D2 F' L2 U F R F'
D F' L' R B U B
B' D F' R B U B
D2 F' R L2 B U F'
B2 D F' R B U B
D F' L2 R B U B
D2 F' R B L2 U F'
R' F' R' L' B U' F
B D F' R B U B
D F' R L B U B
D F' R L' B U B
D F' R L2 B U B
R' F' R' B L' U' F
D F' R D L2 B U
D F' R D B L2 U
D F' R B L U B
D F' R B L' U B
D F' R B L2 U B
D F' R B U D B
D F' R B U D' B
D F' R B U D2 B
D F' R B U B D
D F' R B U B D'
D F' R B U B D2
D F' R B D U B
D F' R B D' U B
D F' R B D2 U B
D F' D L2 R B U
D F' D R L2 B U
D F' D R B L2 U
L F' D2 L2 U F R
D F' B' R B U B2
D F' B2 R B U B'
F' D2 L2 R B U F'
F' D2 L2 U F R F'
F' D2 R L2 B U F'
F' D2 R B L2 U F'
D B' F' R B U B2
D B2 F' R B U B'
