F' L D' R F' U' L2
F L' B U R' D F2
F L' B U D R' F2
F L' B U D F2 R'
F L' B U2 L2 U' R'
F L' B D U R' F2
F L' B D U F2 R'
F L' B D2 R2 U R
B2 R' F L' B' U R'
B2 R' F B' L' U R'
B2 R' B' F L' U R'
B2 U' R' F L' B' U
B2 U' F L' R' B' U
B2 U' F R' L' B' U
B2 U2 R' F L' U R
B2 U2 F L' R' U R2
B2 U2 F R' L' U R2
F D L' U2 F L2 U'
F' D' L R F' U' L
F' D' R L F' U' L
F' D' R F' L U' L
F D' B2 L' R' B U
F D' B2 R' L' B U
F D' B2 R' B L' U
B2 F L' R' B' U R'
B2 F R' L' B' U R'
B2 F R' B' L' U R'
B F D L' U R' F
B F D L' U F R'
F B D L' U R' F
F B D L' U F R'
F B2 L' R' B' U R'
F B2 R' L' B' U R'
F B2 R' B' L' U R'
