U2 L D F' B' L2
U2 L D B' L2 F'
U2 L D B' F' L2
U2 L F' D B' L2
U' L B2 U' F' B
U' L B2 U' B F'
U2 L' D L2 F' B'
U2 L' D L2 B' F'
D' R2 B U' R' U'
U2 F' L D B' L2
U2 F' L' D L2 B'
U' B2 L U' F' B'
U' B2 L U' B' F'
U L U D F' B' L2
U L U D B' L2 F'
U L U D B' F' L2
U L U F' D B' L2
U2 L U B2 U' F' B
U2 L U B2 U' B F'
U' L U' D F' B' L2
U' L U' D B' L2 F'
U' L U' D B' F' L2
U' L U' F' D B' L2
B2 L U' F2 R F B'
B2 L U' F2 R B' F
B2 L U' F2 B' R F
B2 L U' B' F2 R F
U L U2 B2 U' F' B
U L U2 B2 U' B F'
U2 L D L2 F' D2 B2
U' L D U' F' B' L2
U' L D U' B' L2 F'
U' L D U' B' F' L2
U2 L D F B' L2 F2
U L D U F' B' L2
U L D U B' L2 F'
U L D U B' F' L2
U2 L D F' B L2 B2
U2 L D F' B' L2 D
U2 L D F' B' L2 D'
U2 L D F' B' L2 D2
U2 L D F' B2 L2 B
F' L D B L2 B2 R'
U2 L D B L2 F' B2
U2 L D B L2 B2 F'
U2 L D B F' L2 B2
U2 L D B' L F' L
U2 L D B' L2 D F'
U2 L D B' L2 D' F'
U2 L D B' L2 D2 F'
U2 L D B' L2 F' D
U2 L D B' L2 F' D'
U2 L D B' L2 F' D2
U2 L D B' F L2 F2
U2 L D B' F' L2 D
U2 L D B' F' L2 D'
U2 L D B' F' L2 D2
U2 L D B2 L2 F' B
U2 L D B2 L2 B F'
U2 L D B2 F' L2 B
U2 L D' F' D2 B' L2
U2 L D' F' B' D2 L2
U2 L D' B' D2 L2 F'
U2 L D' B' D2 F' L2
U2 L D' B' F' D2 L2
U2 L D2 B' D' L2 F'
U2 L D2 B' D' F' L2
U L D2 F2 U F B'
U L D2 F2 U B' F
U2 L F' L2 D L2 B'
U2 L F' U B2 U' B
U2 L F' D B L2 B2
U2 L F' D B' L2 D
U2 L F' D B' L2 D'
U2 L F' D B' L2 D2
U2 L F' D B2 L2 B
U2 L F' D' B' D2 L2
U2 L F' D2 B' D' L2
U2 L F' B' U B' U'
F L F2 R D B' L2
B2 L F2 U' R F B'
B2 L F2 U' R B' F
B2 L F2 U' B' R F
U2 L F2 D F B' L2
U2 L F2 D B' F L2
F L F2 D R B' L2
F L F2 D B' L2 R
F L F2 D B' R L2
U2 L B' L2 F' D' L2
U2 L B' U B' U' F'
U2 L B' F' U B' U'
U' L B2 L U' F' B
U' L B2 L U' B F'
U' L B2 L' U' F' B
U' L B2 L' U' B F'
U' L B2 L2 U' F' B
U' L B2 L2 U' B F'
U' L B2 U' D F' B
U' L B2 U' D B F'
U' L B2 U' D' F' B
U' L B2 U' D' B F'
U' L B2 U' D2 F' B
U' L B2 U' D2 B F'
U' L B2 U' F' D B
U' L B2 U' F' D' B
U' L B2 U' F' D2 B
U' L B2 U' F' B D
U' L B2 U' F' B D'
U' L B2 U' F' B D2
U' L B2 U' B D F'
U' L B2 U' B D' F'
U' L B2 U' B D2 F'
U' L B2 U' B F' D
U' L B2 U' B F' D'
U' L B2 U' B F' D2
U' L B2 D U' F' B
U' L B2 D U' B F'
F L B2 U' F2 B R
F L B2 U' B F2 R
U' L B2 D' U' F' B
U' L B2 D' U' B F'
U' L B2 D2 U' F' B
U' L B2 D2 U' B F'
B2 L' U F L U2 F2
U L' U D L2 F' B'
U L' U D L2 B' F'
U' L' U' D L2 F' B'
U' L' U' D L2 B' F'
B2 L' U' F' D2 B2 R'
U2 L' D L F' L B'
U2 L' D L2 D F' B'
U2 L' D L2 D B' F'
U2 L' D L2 D' F' B'
U2 L' D L2 D' B' F'
U2 L' D L2 D2 F' B'
