U2 D2 B R' U' R'
D2 U2 B R' U' R'
D2 L U2 B R' U' R'
D' L B2 L U B L
D' L B2 L2 F U B
F L B2 L2 F U R'
D' L B2 U B D L2
D' L B2 U2 B' U' B2
F L' U' L' U' B U'
D2 L' U2 B R' U' R'
F L' U2 F2 B U' R
F L' U2 B U L' U2
F L' U2 B F2 U' R
B2 L' F L' F U R
F L' F2 U2 B U' R
F L' B U' L' U2 L
D' L' B2 L2 F U B'
F L' B' D2 F2 U R
B2 L2 U F L' U F'
U' L2 U' D2 B R' U'
D2 L2 U2 B R' U' R'
F' L2 U2 B R U' R'
U' L2 D2 U' B R' U'
B2 L2 F L' U' L U2
B2 L2 F L' B2 U R'
U' L2 F' U' B R U'
D R' F2 L' U' B L
L2 U2 D2 B R' U' R
L2 U2 F' B R U' R'
L' U2 F2 B U' R B
L' U2 B F2 U' R B
L2 U2 B F' R U' R'
U2 D R' F2 U' B L
U2 D F2 R' U' B L
U2 D F2 D B R' U'
U2 D F2 B R' U' B
U2 D B R' F2 U' B
U2 D B F2 R' U' B
F' U' L2 U' B R U'
B2 U' L2 U F L' U
D U2 R' F2 U' B L
L2 D2 U2 B R' U' R
D2 U2 F B R' U' R'
U2 D2 F B R' U' R'
D2 U2 F' B R' U' R'
U2 D2 F' B R' U' R'
D2 U2 F2 B R' U' R'
D2 U2 B R' U' R' D
D2 U2 B R' U' R' D'
D2 U2 B R' U' R' D2
D2 U2 B R' U' D R'
D2 U2 B R' U' D' R'
D2 U2 B R' U' D2 R'
D2 U2 B R' D U' R'
D2 U2 B R' D' U' R'
D2 U2 B R' D2 U' R'
D2 U2 B R' F U' R'
D2 U2 B R' F' U' R'
D2 U2 B R' F2 U' R'
U2 D2 F2 B R' U' R'
D U2 F2 R' U' B L
D2 U2 B D' R' F2 U'
D2 U2 B D' F2 R' U'
D2 U2 B F R' U' R'
D U2 F2 D B R' U'
D2 U2 B F' R' U' R'
U2 D2 B R' U' R' D
U2 D2 B R' U' R' D'
U2 D2 B R' U' R' D2
U2 D2 B R' U' D R'
U2 D2 B R' U' D' R'
U2 D2 B R' U' D2 R'
U2 D2 B R' D U' R'
U2 D2 B R' D' U' R'
U2 D2 B R' D2 U' R'
U2 D2 B R' F U' R'
U2 D2 B R' F' U' R'
D2 U2 B F2 R' U' R'
U2 D2 B R' F2 U' R'
D U2 F2 B R' U' B
U2 D2 B D' R' F2 U'
U2 D2 B D' F2 R' U'
U2 D2 B F R' U' R'
D U2 B R' F2 U' B
U2 D2 B F' R' U' R'
U2 D2 B F2 R' U' R'
D U2 B F2 R' U' B
F' U2 D B R F2 U'
F U2 D F2 B R U'
F U2 D B F2 R U'
F' U2 D2 B R U' R
R2 F L' R2 F2 U R
R2 F L' F2 R2 U R'
F' U2 B R U L2 U2
F' U2 B R U' D2 R2
F' U2 B R D F2 U'
F' U2 B R D2 U' R2
F' U2 B D R F2 U'
F' U2 B D2 R U' R
R2 F R2 L' F2 U R
F U2 B D F2 R U'
D2 F U2 B R' U' R'
U2 F D F2 B R U'
F D L' U2 F2 B U'
F D L' U2 B F2 U'
U2 F D B F2 R U'
U2 F B D F2 R U'
B D R' F2 L' U' B
F' D U2 B R F2 U'
U' F' L2 U' B R U'
F D U2 F2 B R U'
F D U2 B F2 R U'
R2 F' R2 D' B2 L U
D2 F' U2 B R' U' R'
B2 D' L B2 U B L
L2 F' U2 B R U' R'
F D' L B2 L2 F U
U2 F' D B R F2 U'
F D' L' B2 U2 B' U'
U2 F' D2 B R U' R
U2 F' B R U L2 U2
U2 F' B R U' D2 R2
U2 F' B R D F2 U'
U2 F' B R D2 U' R2
U2 F' B D R F2 U'
U2 F' B D2 R U' R
F' D' B2 U2 R B' U'
F' D' B2 U2 B' R U'
F2 D' B2 U2 B' R' U'
F D' B2 L2 F L U
D2 F2 U2 B R' U' R'
F D2 L' U2 B U' R2
F' D2 U2 B R U' R
D2 B R' U' R' D' F2
B' D2 F2 B' L U R2
D2 B R' U2 R U R2
D2 B R' F' U' R' F'
D2 B R' F2 L' U' R'
B' D2 B' L F2 U R2
D B R' F2 L' U' B
B' D2 B' F2 L U R2
B' F L' D2 F2 U R
B F L' U' L' U2 L
U2 B D R' F2 U' B
D2 B D' R' F2 L' U'
U2 B D F2 R' U' B
F B L' U' L' U2 L
U2 B F D F2 R U'
U2 B F' R U L2 U2
U2 B F' R U' D2 R2
U2 B F' R D F2 U'
U2 B F' R D2 U' R2
U2 B F' D R F2 U'
U2 B F' D2 R U' R
D2 B' L U R2 D L2
D2 B' L U2 B2 U' R2
D2 B' L D B2 U L2
B' F D2 L' F2 U R2
F B' L' D2 F2 U R
D2 B' U2 B2 R' U' R'
D' B2 L U B L B2
B' F' D2 F2 L' U R2
F' B' D2 F2 L' U R2
D' B2 L2 F L' U B'
F B' D2 L' F2 U R2
L B2 L2 F L' U R'
D' B2 D L2 F L' U
