U2 L F L' U R F2
U R' F' R U' L' F'
F' R2 U R' F' B U'
F' R2 U R' B F' U'
F' U R U2 B U L
F' U R' F' R2 U' L'
R2 D B L R' U2 B
R2 D B R' L U2 B
B' U D F' L' R' B
B' U D F' R' L' B
B' U D F' R' B L'
B' U F' L' R' D B2
B' U F' R' L' D B2
B' U F' R' D L' B2
B' U F' R' D B2 L'
B' U' D F' R' B L
B' D U F' L' R' B
B' D U F' R' L' B
B' D U F' R' B L'
B' D U' F' R' B L
U F2 U F L' R B'
U F2 U F L' B' R
U F2 U F R L' B'
D2 B' L U F' L' R'
D2 B' L U F' R' L'
D B' U F' L' R' B
D B' U F' R' L' B
D B' U F' R' B L'
B' F' R' U R2 B U'
D B' U' F' R' B L
F' B' R' U R2 B U'
R B' D L2 R' F' B
R B' D L2 R' B F'
R B' D R' L2 F' B
R B' D R' L2 B F'
R B' D R' F' L2 B
R B' D R' F' B L2
R B' D R' B L2 F'
R B' D R' B F' L2
