L' R U L2 U2
L' R U' D2 R2
L' R D F2 U'
L' R D2 U' R2
R L' U L2 U2
R L' U' D2 R2
R L' D F2 U'
R L' D2 U' R2
L' D R F2 U'
L' D2 R U' R
L' R U L2 U2 D
L' R U L2 U2 D'
L' R U L2 U2 D2
L' R U L2 D U2
L' R U L2 D' U2
L' R U L2 D2 U2
L' R U' R D2 R2
L' R U' R' D2 R2
L' R U' R2 D2 R2
L' R U' D2 R2 D
L' R U' D2 R2 D'
L' R U' D2 R2 D2
L' R U2 D' B2 U
L' R D F2 U' D
L' R D F2 U' D'
L' R D F2 U' D2
L' R D F2 D U'
L' R D F2 D' U'
L' R D F2 D2 U'
U L U' L2 R U'
U L U' R L2 U'
L' R D' U2 B2 U
L' R D2 U' R2 D
L' R D2 U' R2 D'
L' R D2 U' R2 D2
L' R D2 F U' R2
L' R D2 F' U' R2
L' R D2 F2 U' R2
L' R F U L2 U2
L' R F U' D2 R2
L' R F D F2 U'
L' R F D2 U' R2
L' R F' U L2 U2
L' R F' U' D2 R2
L' R F' D F2 U'
L' R F' D2 U' R2
L' R F2 U L2 U2
L' R F2 U' D2 R2
L2 R F2 L U' R
L' R F2 D F2 U'
L' R F2 D2 U' R2
R L' U L2 U2 D
R L' U L2 U2 D'
R L' U L2 U2 D2
R L' U L2 D U2
R L' U L2 D' U2
R L' U L2 D' U2
R L' U L2 D2 U2
R L' U' R D2 R2
R L' U' R' D2 R2
R L' U' R2 D2 R2
R L' U' D2 R2 D
R L' U' D2 R2 D'
R L' U' D2 R2 D2
D' L' R U L2 U2
D' L' R U' D2 R2
D2 L' R U L2 U2
D' L' R D F2 U'
D L' R U L2 U2
D2 L' R U' D2 R2
D L' R U' D2 R2
D' L' R D2 U' R2
D L' R D F2 U'
D2 L' R D F2 U'
R L' U2 D' B2 U
D2 L' R D2 U' R2
D L' R D2 U' R2
R' L' D F2 U' B2
L' R' D F2 U' B2
R2 L' D R' F2 U'
B2 L' R B2 U' R2
R2 L' D F2 R' U'
R L' D F2 U' D
R L' D F2 U' D'
R L' D F2 U' D2
R L' D F2 D U'
R L' D F2 D' U'
R L' D F2 D2 U'
R L' D F2 D2 U'
R L' D' U2 B2 U
R2 L' D2 R' U' R'
R L' D2 U' R2 D
R L' D2 U' R2 D'
R L' D2 U' R2 D2
R L' D2 F U' R2
R L' D2 F' U' R2
R L' D2 F2 U' R2
R L' F U L2 U2
R L' F U' D2 R2
R L' F D F2 U'
R L' F D2 U' R2
R L' F' U L2 U2
R L' F' U' D2 R2
R L' F' D F2 U'
D' L' D R F2 U'
D2 L' D R F2 U'
R L' F' D2 U' R2
D L' D R F2 U'
R L' F2 U L2 U2
R L' F2 U' D2 R2
R L' F2 D F2 U'
R L' F2 D2 U' R2
