B2 L F' U' B' L' U2
F L' R D' F L2 B'
F' L' U2 R' U' R F
B2 L' F R D' L2 B2
B2 L' F R D' B2 L2
B2 L' F D' L2 R B2
B2 L' F D' L2 B2 R
B2 L' F D' R L2 B2
B2 L' F D' R B2 L2
B2 L' F D' B2 L2 R
B2 L' F D' B2 R L2
B L' F' U F2 R B
F' L2 B2 L U R' F
F' L2 B2 L U F R'
F R L' D' F L2 B'
F' R' U L' U2 F L
F R2 F2 L' U R' F
F R2 F2 L' U F R'
F' U' L' U' R' U' F
F' U2 R' U L' U2 F
L' F R D B2 D2 L2
L' F R D' L2 D2 B2
L' F D' L2 R D B2
L' F D' R L2 D B2
L' F D2 R D L2 B2
L' F D2 R D B2 L2
L' F' U F2 R D B2
L' F' U2 R' U' F2 R
L' F' B U F2 R B
F D2 R D L2 F' B2
F D2 R D L2 B2 F'
F D2 R D F' L2 B2
F D2 R D F' B2 L2
F D2 R D B2 L2 F'
F D2 R D B2 F' L2
F D2 R F' D L2 B2
F D2 R F' D B2 L2
L' B F' U F2 R B
F' B U' L' U2 F B'
F' B U' L' U2 B' F
B2 F' L U' L2 U2 F
B2 F' L U' B' L2 U2
B F' U' L' U2 F B'
B F' U' L' U2 B' F
L2 B2 L F' U F2 R
F' B2 L U' L2 U2 F
F' B2 L U' B' L2 U2
