U2 R U' F U'
F2 L' U F' U' F'
F2 L' F D R2 F
F2 L' F D F R2
F2 L' F2 U F U'
U2 L2 R U B' U
R' U D F B2 U'
R' U D B2 F U'
R' U D2 F U' L2
R' U F U R2 U2
R' U F U' D2 L2
R' U F D B2 U'
R' U F D2 U' L2
R2 U F U R' U2
U2 R L2 U B' U
R2 U F B2 U' L
R U F U2 F' U
U2 R U' D F U'
U2 R U' D' F U'
U2 R U' D2 F U'
U2 R U' F U' D
U2 R U' F U' D'
U2 R U' F U' D2
U2 R U' F D U'
U2 R U' F D' U'
U2 R U' F D2 U'
U2 R D U' F U'
R2 U B2 F U' L
U2 R D' U' F U'
U2 R D2 U' F U'
L2 U' F2 B' U L'
L2 U' B' U' R U2
L2 U' B' F2 U L'
L' U2 R U B U
L2 U2 R U B' U
R' U2 R2 U' F U'
R2 U2 R' U' F U'
R' D U F B2 U'
R' D U B2 F U'
U2 D R U' F U'
F' U F2 U' F' L'
U2 D' R U' F U'
R' D2 L2 U' B' U
R' D2 U F U' L2
D2 U2 R U' F U'
U2 D2 R U' F U'
D' U2 R U' F U'
D U2 R U' F U'
U F U' F L' F'
U F U2 F U L'
F' D R2 F' L' F2
U F D2 B' U' L
F' D F' L' R2 F2
F' D F' L' F2 R2
F' D F' R2 L' F2
F' D' F' L' F2 R
L2 R U' B' U2 B U'
F2 L U F' U' L2 F'
F2 L U F' U' F' L2
B' L D' B R' D2 L2
U2 L D2 R U' F' U'
F' L F' L' F D R2
F2 L F2 L2 U' B' U
F2 L F2 U F U' L2
L2 R' U' D' F2 B' U
L2 R' U' D' B' F2 U
L2 R' U' D2 B' U L2
L2 R' U' B' U D2 L2
L2 R' U' B' U' R2 U2
L2 R' U' B' D' F2 U
L2 R' U' B' D2 U L2
R2 L' U2 R' U' F' U'
L2 R' U2 R2 U B' U
U2 L' R U B' U R'
U2 L' R U' F U' R
F2 L' R' F' D' F' R
F2 L' R2 U' B U F2
L2 R' D' U' F2 B' U
L2 R' D' U' B' F2 U
F2 L' R2 F2 U' B U
F2 L' U L F' U' F'
F2 L' U L' F' U' F'
L2 R' D2 L2 U F U'
F2 L' U L2 F' U' F'
F2 L' U D' L2 F' U'
F2 L' U D' F' L2 U'
L2 R' D2 U' B' U L2
F2 L' U F' L U' F'
F2 L' U F' L' U' F'
F2 L' U F' L2 U' F'
F2 L' U F' U' D F'
F2 L' U F' U' D' F'
F2 L' U F' U' D2 F'
F2 L' U F' U' F' D
F2 L' U F' U' F' D'
F2 L' U F' U' F' D2
F2 L' U F' D U' F'
F2 L' U F' D' U' F'
F2 L' U F' D2 U' F'
F2 L' U' R2 B U F2
F2 L' U' D R2 B U
D2 L' U2 R U B U
D' L' U2 R U B U
D L' U2 R U B U
F2 L' D U' R2 B U
F2 L' D' U L2 F' U'
F2 L' D' U F' L2 U'
F2 L' D' F D R2 F2
F2 L' D' F D F2 R2
F2 L' F R D R2 F
F2 L' F R D F R2
F2 L' F R' D R2 F
F2 L' F R' D F R2
F2 L' F R2 D R2 F
F2 L' F R2 D F R2
U L' F L F U' L'
F2 L' F U F2 U' F'
F2 L' F D R' F R'
F2 L' F D R2 D F
F2 L' F D R2 D' F
F2 L' F D R2 D2 F
F2 L' F D R2 F D
F2 L' F D R2 F D'
F2 L' F D R2 F D2
F2 L' F D F R2 D
F2 L' F D F R2 D'
F2 L' F D F R2 D2
F2 L' F D F' R2 F2
F2 L' F D' F D2 R2
F2 L' F D2 F D' R2
F2 L' F2 R U F U'
R' L2 U' D' F2 B' U
R' L2 U' D' B' F2 U
F2 L' F2 R' U F U'
R' L2 U' D2 B' U L2
F2 L' F2 R2 U F U'
U L' F2 L F U' L2
F2 L' F2 U D F U'
F2 L' F2 U D' F U'
F2 L' F2 U D2 F U'
F2 L' F2 U F U' D
F2 L' F2 U F U' D'
F2 L' F2 U F U' D2
F2 L' F2 U F D U'
F2 L' F2 U F D' U'
F2 L' F2 U F D2 U'
R' L2 U' B' U D2 L2
R' L2 U' B' U' R2 U2
R' L2 U' B' D' F2 U
R' L2 U' B' D2 U L2
F2 L' F2 D U F U'
F2 L' F2 D' U F U'
F2 L' F2 D2 U F U'
L' R2 U2 R' U' F' U'
R' L2 U2 R2 U B' U
R L2 U' B' U2 B U'
L2 R2 U2 R' U B' U
R2 L2 U2 R' U B' U
R' L2 D' U' F2 B' U
R' L2 D' U' B' F2 U
R' L2 D2 L2 U F U'
U2 L2 R U D B' U
U2 L2 R U D' B' U
U2 L2 R U D2 B' U
U2 L2 R U B' U D
U2 L2 R U B' U D'
U2 L2 R U B' U D2
U2 L2 R U B' D U
U2 L2 R U B' D' U
U2 L2 R U B' D2 U
R' L2 D2 U' B' U L2
U2 L2 R D U B' U
U2 L2 R D' U B' U
U2 L2 R D2 U B' U
F2 L2 U F' U' L F'
F2 L2 U F' U' F' L
U2 L2 U F2 B' U L'
U2 L2 U B' U' R U2
U2 L2 U B' F2 U L'
D2 L2 U' F2 B' U L'
D' L2 U' F2 B' U L'
D2 L2 U' B' U' R U2
D2 L2 U' B' F2 U L'
D' L2 U' B' U' R U2
D' L2 U' B' F2 U L'
D L2 U' F2 B' U L'
D2 L2 U2 R U B' U
D' L2 U2 R U B' U
D L2 U' B' U' R U2
D L2 U' B' F2 U L'
D L2 U2 R U B' U
U2 L2 D R U B' U
U2 L2 D' R U B' U
U2 L2 D2 R U B' U
F2 L2 F D R2 F L
U L2 F L2 F U' L'
F2 L2 F D F L R2
F2 L2 F D F R2 L
F2 L2 F2 U F U' L
U L2 F2 L2 F U' L
U' L2 F2 B' L2 U L
U' L2 B' L2 U' R U2
U' L2 B' L2 F2 U L'
R U R2 F R2 B U'
R' U D F U' D L2
R' U D F D U' L2
R' U D F B2 U' D
R' U D F B2 U' D'
R' U D F B2 U' D2
R' U D F B2 D U'
R' U D F B2 D' U'
R' U D F B2 D2 U'
U' L2 B' F2 L2 U L
R' U D B2 D F U'
R' U D B2 D' F U'
