F' R' B U F2
D' F' U R F2
F' R U2 F' U' F'
F' R D R2 B U
F' R' D B R2 U
F' R' B R U F2
F' R' B R' U F2
F' R' B R2 U F2
F' R' B U F2 D
F' R' B U F2 D'
F' R' B U F2 D2
F' R' B D R2 U
F R' F2 B U F2
F R' B F2 U F2
F' R2 U F R F
R2 U2 B U' F R
F' U F' D' F' R
R' D' B U F L'
F' D R2 B U R'
D' F' R' U R2 F2
D' F' R' U F2 R2
F' D B R2 U R
D' F' R2 U R' F2
D' F' R2 U F2 R'
D' F' U R F2 D
D' F' U R F2 D'
D' F' U R F2 D2
D' F' U R' F2 R2
D' F' U R2 F2 R'
D' F' D R2 U R'
D' F' B U R F2
D' F' B' U R F2
D F' B U R' F2
D F' B U F2 R'
D' F' B2 U R F2
F2 D' F U F2 R
B' D' F' U R F2
B2 D' F' U R F2
B D' F' U R F2
R' B R F' U F2
R' B U D' F L'
R' B D' U F L'
F' B R' B U F2
D' B F' U R F2
D B F' U R' F2
D B F' U F2 R'
F' B' R' B U F2
B' F' R' B U F2
B2 F' R' B U F2
B F' R' B U F2
D' B' F' U R F2
F' B2 R' B U F2
D' B2 F' U R F2
F' L R' B L' U F2
D2 L B' L' F' U F2
D' L' F' L U R F
F' L2 R' B L2 U F2
D' L2 F' L2 U R F
R2 U R D' F L' R
R2 U R D' F R L'
R2 U R2 F R D' L2
R2 U R2 F D' L2 R
R2 U R2 F D' R L2
R2 U F U B U' R
R U F U F2 U' L'
R U F' L' F2 D R2
D' R U F' L' R F2
F' R U F D R2 F
F' R U F D F R2
D' R U F' R L' F2
F' R U F2 U F U'
U R U F' U' L' F2
F' R U2 L F' U' F'
F' R U2 L' F' U' F'
F' R U2 L2 F' U' F'
F' R U2 D' L2 F' U'
F' R U2 D' F' L2 U'
F' R U2 F' L U' F'
F' R U2 F' L' U' F'
F' R U2 F' L2 U' F'
F' R U2 F' U' D F'
F' R U2 F' U' D' F'
F' R U2 F' U' D2 F'
F' R U2 F' U' F' D
F' R U2 F' U' F' D'
F' R U2 F' U' F' D2
F' R U2 F' D U' F'
F' R U2 F' D' U' F'
F' R U2 F' D2 U' F'
F' R D R2 D B U
F' R D R2 D' B U
F' R D R2 D2 B U
F' R D R2 B U D
F' R D R2 B U D'
F' R D R2 B U D2
F' R D R2 B D U
F' R D R2 B D' U
F' R D R2 B D2 U
F' R D B R2 B U
F' R D B' R2 B U
F' R D B2 R2 B U
F' R D' U2 L2 F' U'
F' R D' U2 F' L2 U'
F R F2 U2 F U' F
F' R B R2 B U F2
F' R B U2 F' U' F'
F' R B D R2 B U
F' R B' R2 B U F2
F' R B' U2 F' U' F'
F' R B' D R2 B U
F' R B2 R2 B U F2
F' R B2 U2 F' U' F'
F' R B2 D R2 B U
F' R' L B L' U F2
F' R' L2 B L2 U F2
R U' F D R2 B L
F' R' U F2 U' B U
F' R' D R2 U2 F' U'
F' R' D B R2 U D
F' R' D B R2 U D'
F' R' D B R2 U D2
F' R' D B R2 D U
F' R' D B R2 D' U
F' R' D B R2 D2 U
F' R' D B U D' F2
F' R' D B D' U F2
F' R' D B' R2 B2 U
F2 R' D F B R' U
F' R' D B2 R2 B' U
F2 R' D B R' F U
F2 R' D B F R' U
B' R' D' B U F L'
F' R' D' B U D F2
F' R' D' B U2 L2 U'
F' R' D' B D U F2
F' R' D' B D2 R2 U
B2 R' D' B U F L'
B R' D' B U F L'
F' R' D2 B R2 U F'
F' R' D2 B U' B U2
F2 R' F D B R' U
F2 R' F B R U F'
F' R' B R U F2 D
F' R' B R U F2 D'
F' R' B R U F2 D2
F' R' B R D R2 U
B' R' B R F' U F2
F' R' B R' U F2 D
F' R' B R' U F2 D'
F' R' B R' U F2 D2
F' R' B R' D R2 U
F' R' B R2 U F2 D
F' R' B R2 U F2 D'
F' R' B R2 U F2 D2
F' R' B R2 D R2 U
F' R' B U L' F2 L
F' R' B U L2 F2 L2
F' R' B U R F2 R'
F' R' B U R2 F2 R2
B' R' B U D' F L'
F' R' B U F D F
F' R' B U F D' F
F' R' B U F D2 F
F' R' B U F' D F'
F' R' B U F' D' F'
F' R' B U F' D2 F'
B2 R' B R F' U F2
F' R' B U' D2 B2 U2
F' R' B U' B U2 F2
F' R' B U' B' U2 F2
F' R' B U' B2 U2 F2
F' R' B U2 L U' F2
F2 R' B R F U F2
F' R' B U2 L' U' F2
F' R' B U2 L2 U' F2
F R' F2 D B R2 U
F' R' B U2 D' L2 U'
F' R' B D R2 U D
F' R' B D R2 U D'
F' R' B D R2 U D2
F' R' B D R2 D U
F' R' B D R2 D' U
F' R' B D R2 D2 U
B2 R' B U D' F L'
F' R' B D' U2 L2 U'
B' R' B D' U F L'
F R' F2 B R U F2
F R' F2 B R' U F2
F R' F2 B R2 U F2
F R' F2 B U F2 D
F R' F2 B U F2 D'
F R' F2 B U F2 D2
F R' F2 B D R2 U
F' R' B D2 U' B2 U2
B R' B R F' U F2
B2 R' B D' U F L'
B R' B U D' F L'
F2 R' B F R U F'
F R' B R F2 U F2
F R' B R' F2 U F2
F' R' B' R B2 U F2
F R' B R2 F2 U F2
F' R' B' R' B2 U F2
B R' B D' U F L'
F' R' B' R2 B2 U F2
F' R' B' U F2 D' R2
F R' B F2 R U F2
F R' B F2 R' U F2
F R' B F2 R2 U F2
F R' B F2 U F2 D
F R' B F2 U F2 D'
F R' B F2 U F2 D2
F R' B F2 D R2 U
F' R' B2 R B' U F2
F' R' B2 R' B' U F2
F' R' B2 R2 B' U F2
F' R' B2 D R2 B' U
F' R' B2 D B' R2 U
R2 U2 D B U' F R
R2 U2 D' B U' F R
R2 U2 D2 B U' F R
F' R2 U R F R F
F' R2 U R' F R F
F' R2 U R2 F R F
F' R2 U F R D F
F' R2 U F R D' F
F' R2 U F R D2 F
F' R2 U F R F D
F' R2 U F R F D'
F' R2 U F R F D2
F' R2 U F R' F R2
F' R2 U F R2 F R'
F' R2 U F D R F
F' R2 U F D' R F
F' R2 U F D2 R F
R U2 F' L' B' U' F2
R U2 F' U' F' L' F'
F' R2 U' B L U2 F2
F' R2 U' B' U2 R' F2
F' R2 U' B' U2 F2 R'
F' R2 U2 L F U' F
R2 U2 B U' R F R
R2 U2 B U' R' F R
R2 U2 B U' R2 F R
R2 U2 B U' D F R
R2 U2 B U' D' F R
R2 U2 B U' D2 F R
R2 U2 B U' F R D
R2 U2 B U' F R D'
R2 U2 B U' F R D2
R2 U2 B U' F D R
R2 U2 B U' F D' R
R2 U2 B U' F D2 R
F' R2 U2 F U' F R
R2 U2 B D U' F R
B' R2 U2 B U' F R
R2 U2 B D' U' F R
R2 U2 B D2 U' F R
B2 R2 U2 B U' F R
F' R2 D R B R U
D R2 U2 B U' R' F
D R2 U2 B U' F R'
B R2 U2 B U' F R
F2 R2 F U' B L U2
F' R2 B R B U F2
F R2 F2 R B U F2
F' R2 B U F R F
F R2 F2 U F R F
F' R2 B' R B U F2
F' R2 B' U F R F
U R2 B U' F B' R'
U R2 B U' B' R' F
U R2 B U' B' F R'
F' R2 B2 R B U F2
F' R2 B2 U F R F
R2 D U2 B U' F R
F' U R U F' U' F'
F' U R F D R2 F
F' U R F D F R2
F' U R F2 U F U'
R' D B U' R' U2 F
F' U R' U' B U F2
F' U R' F2 U' B U
D' U F U' F2 U R
D' U F' R F2 D' L2
F' U D' F D F2 R
F' U D' F' R D F2
F' U D' F' D R F2
F2 U D' F' R D' L2
F2 U D' F' D' L2 R
F2 U D' F' D' R L2
L' D' L F' U R F2
F' U F R F D R2
F' U F D' F' R F2
F' U F' D' F' R D
F' U F' D' F' R D'
F' U F' D' F' R D2
F' U F' D' F' D R
F' U F' D' F' D' R
F' U F' D' F' D2 R
F' U F2 R U F' U'
F' U F2 R' U' B U
R' D' R' U F L' R
R' D' R' U F R L'
F' U F2 D B R' B'
F' U F2 D' F' R F
F' U F2 B' D B R'
F' U B' F2 D B R'
R2 D' U2 B U' F R
L' D' F' L U R F
R' D' F' B U F2 L'
R' D' B R U F L'
R' D' B R' U F L'
R' D' B R2 U F L'
R' D' B U F L' D
R' D' B U F L' D'
R' D' B U F L' D2
R' D' B U F D L'
R' D' B U F D' L'
R' D' B U F D2 L'
R' D' B F' U F2 L'
U D' F U' F2 U R
U D' F' R F2 D' L2
L' D2 L F' B' U F2
L' D2 L B' F' U F2
R2 D2 U2 B U' F R
L' D2 F' L B' U F
R' D2 B U D F L'
R' D2 B D U F L'
F' U2 D' L2 F' U' R
F' U2 D' F' L2 U' R
D' F L2 D' B2 L2 R'
D' F L2 D' B2 R' L2
F' U2 F' U' D' F' R
F' U2 F' D' U' F' R
D' F R F2 U R F2
D' F R' F2 U R F2
D' F R2 F2 U R F2
U F R' U' F2 B U
U F R' U' B F2 U
D' F D' L2 D' B2 R'
F' D R B R U R2
U F D' L2 F' R F
R' F B R F' U F
F' D R' D' R' B U
U F D' F' R F L2
F' D R' B U R' F'
F' D R2 U B R' B'
F' D R2 B U R' D
F' D R2 B U R' D'
F' D R2 B U R' D2
F' D R2 B U D R'
F' D R2 B U D' R'
F' D R2 B U D2 R'
F' D R2 B D U R'
F' D R2 B D' U R'
F' D R2 B D2 U R'
F' D R2 B' U' L U2
L' F' L R' B U F
L' F' L R2 U F R
D2 F' L B' L' U F2
F2 D F B U R' F2
F2 D F B U F2 R'
L2 F' L2 R' B U F
L2 F' L2 R2 U F R
D' F' R U F2 D R2
B' D F' B U R' F2
B' D F' B U F2 R'
D' F' R D R2 U R2
B2 D F' B U R' F2
B2 D F' B U F2 R'
D' F' R' U R' F2 R'
D' F' R' U R2 F2 D
D' F' R' U R2 F2 D'
D' F' R' U R2 F2 D2
D' F' R' U F R2 F
D' F' R' U F2 R2 D
D' F' R' U F2 R2 D'
D' F' R' U F2 R2 D2
L' F' R' L B U F
D' F' R' D R2 B2 U
D' F' R' D B2 R2 U
B D F' B U R' F2
B D F' B U F2 R'
D' F' R' B U R2 F2
D' F' R' B U F2 R2
D' F' R' B' U R2 F2
D' F' R' B' U F2 R2
L2 F' R' L2 B U F
D' F' R' B2 U R2 F2
D' F' R' B2 U F2 R2
F' D B R2 U R D
F' D B R2 U R D'
F' D B R2 U R D2
F' D B R2 U D R
F' D B R2 U D' R
F' D B R2 U D2 R
F' D B R2 D U R
F' D B R2 D' U R
F' D B R2 D2 U R
F' D B R2 B U R
F' D B R2 B' U R
F' D B R2 B2 U R
F' D B U D' R' F2
F' D B U D' F2 R'
D' F' R2 U R F2 R2
L' F' R2 L U F R
D F' R B U R' F2
D F' R B U F2 R'
D' F' R2 U R' F2 D
D' F' R2 U R' F2 D'
D' F' R2 U R' F2 D2
D' F' R2 U F R' F
D' F' R2 U F2 R' D
D' F' R2 U F2 R' D'
D' F' R2 U F2 R' D2
D' F' R2 U F2 D R'
D' F' R2 U F2 D' R'
D' F' R2 U F2 D2 R'
B' D B F' U R' F2
B' D B F' U F2 R'
D' F' R2 D R2 U R
F' D B D' U R' F2
F' D B D' U F2 R'
B2 D B F' U R' F2
B2 D B F' U F2 R'
L2 F' R2 L2 U F R
F2 D B F U R' F2
F2 D B F U F2 R'
D' F' U L' R F2 L
F' D B' R2 U' L U2
F' D B' R2 B2 U R'
D' F' U L2 R F2 L2
D F' R' B U R' F2
D F' R' B U F2 R'
D' F' U R L' F2 L
D' F' U R L2 F2 L2
D' F' U R F D F
D' F' U R F D' F
D' F' U R F D2 F
D' F' U R F' D F'
D' F' U R F' D' F'
D' F' U R F' D2 F'
D' F' U R' F R2 F
D' F' U R' F2 R2 D
D' F' U R' F2 R2 D'
D' F' U R' F2 R2 D2
D' F' U R2 F R' F
D' F' U R2 F2 R' D
D' F' U R2 F2 R' D'
D' F' U R2 F2 R' D2
D' F' U R2 F2 D R'
D' F' U R2 F2 D' R'
D' F' U R2 F2 D2 R'
D' F' U D' R D F2
D' F' U D2 R D2 F2
U F' R' B U F2 B'
U F' R' B U B' F2
D2 F' U F' D F' R
D' F' U F2 U2 L' U2
B D B F' U R' F2
B D B F' U F2 R'
D' F' U B R F2 B'
D' F' U B R B' F2
D' F' U B2 R F2 B2
D' F' U B2 R B2 F2
D' F' U' L U2 R F2
D' F' U' L' U2 R F2
F' D B2 R2 B' U R'
D' F' U' L2 U2 R F2
D F' R2 B U R' F2
D F' R2 B U F2 R'
D' F' U' D2 B2 U2 R
D' F' U' B U2 R F2
D' F' U' B' U2 R F2
D' F' U' B2 U2 R F2
D' F' U2 L U' R F2
D' F' U2 L' U' R F2
D2 F' U2 L' F U' F
D F' U F' D2 F' R
D' F' U2 L2 U' R F2
D F' U F2 B R' B'
D F' U B R' F2 B'
D F' U B R' B' F2
D F' U B F2 R' B'
D' F' U2 D' L2 U' R
D F' U' B U2 R' F2
D F' U' B U2 F2 R'
D F' U' B' L U2 F2
D' F' D R2 U R' D
D' F' D R2 U R' D'
D' F' D R2 U R' D2
D' F' D R2 U D R'
D' F' D R2 U D' R'
D' F' D R2 U D2 R'
D' F' D R2 D U R'
D' F' D R2 D' U R'
D' F' D R2 D2 U R'
D' F' D B R2 U R'
D' F' D B' R2 U R'
D' F' D B2 R2 U R'
D' F' D' U R D F2
D' F' D' U2 L2 U' R
L' F' D2 L B' U F
D' F' D2 U R D2 F2
D' F' D2 U' B2 U2 R
R' F' B R F' U F'
D' F' B R' U R2 F2
D' F' B R' U F2 R2
D' F' B R2 U R' F2
D' F' B R2 U F2 R'
D' F' B U R F2 D
D' F' B U R F2 D'
D' F' B U R F2 D2
D' F' B U R' F2 R2
D' F' B U R2 F2 R'
D' F' B D R2 U R'
D' F' B' R' U R2 F2
D' F' B' R' U F2 R2
D' F' B' R2 U R' F2
D' F' B' R2 U F2 R'
D' F' B' U R F2 D
D' F' B' U R F2 D'
D' F' B' U R F2 D2
D' F' B' U R' F2 R2
D' F' B' U R2 F2 R'
D' F' B' D R2 U R'
D F' B R U R2 F2
D F' B R U F2 R2
D F' B R2 U R F2
D F' B U R F2 R2
D F' B U R' F2 D
D F' B U R' F2 D'
D F' B U R' F2 D2
D F' B U F R' F
D F' B U F2 R' D
D F' B U F2 R' D'
D F' B U F2 R' D2
D F' B U F2 D R'
D F' B U F2 D' R'
D F' B U F2 D2 R'
D' F' B2 R' U R2 F2
D' F' B2 R' U F2 R2
D' F' B2 R2 U R' F2
D' F' B2 R2 U F2 R'
D F' B D R2 U R
D' F' B2 U R F2 D
D' F' B2 U R F2 D'
D' F' B2 U R F2 D2
D' F' B2 U R' F2 R2
D' F' B2 U R2 F2 R'
F' D' U F D F2 R
F' D' U F' R D F2
F' D' U F' D R F2
D' F' B2 D R2 U R'
F2 D' U F' R D' L2
F2 D' U F' D' L2 R
F2 D' U F' D' R L2
D F' B' U' L U2 F2
F' D' U2 L2 F' U' R
F' D' U2 F' L2 U' R
F2 D' F R U F2 R
F2 D' F R' U F2 R
F2 D' F R2 U F2 R
F2 D' F U R F2 R
F2 D' F U R' F2 R
F2 D' F U R2 F2 R
F2 D' F U F2 R D
F2 D' F U F2 R D'
F2 D' F U F2 R D2
F2 D' F U F2 D R
F2 D' F U F2 D' R
F2 D' F U F2 D2 R
F2 D' F U' L' U2 F2
B' D' F' R' U R2 F2
B' D' F' R' U F2 R2
B' D' F' R2 U R' F2
B' D' F' R2 U F2 R'
B' D' F' U R F2 D
B' D' F' U R F2 D'
B' D' F' U R F2 D2
B' D' F' U R' F2 R2
B' D' F' U R2 F2 R'
F2 D' F B U F2 R
F2 D' F B' U F2 R
F2 D' F B2 U F2 R
B' D' F' D R2 U R'
B2 D' F' R' U R2 F2
B2 D' F' R' U F2 R2
B2 D' F' R2 U R' F2
B2 D' F' R2 U F2 R'
B' D' F' B U R F2
B' D' F' B' U R F2
B2 D' F' U R F2 D
B2 D' F' U R F2 D'
B2 D' F' U R F2 D2
B2 D' F' U R' F2 R2
B2 D' F' U R2 F2 R'
B' D' F' B2 U R F2
B2 D' F' D R2 U R'
B2 D' F' B U R F2
B2 D' F' B' U R F2
B2 D' F' B2 U R F2
B D' F' R' U R2 F2
B D' F' R' U F2 R2
B D' F' R2 U R' F2
B D' F' R2 U F2 R'
B D' F' U R F2 D
B D' F' U R F2 D'
B D' F' U R F2 D2
B D' F' U R' F2 R2
B D' F' U R2 F2 R'
B D' F' D R2 U R'
D' F2 R' F U R F'
B D' F' B U R F2
F D' F' U R F L2
B D' F' B' U R F2
B D' F' B2 U R F2
B' D' B F' U R F2
B2 D' B F' U R F2
F2 D' B F U F2 R
B' D' B' F' U R F2
B D' B F' U R F2
B2 D' B' F' U R F2
F2 D' B' F U F2 R
B' D' B2 F' U R F2
B D' B' F' U R F2
B2 D' B2 F' U R F2
F2 D' B2 F U F2 R
B D' B2 F' U R F2
R F2 U F' L' D R2
R F2 U F' D L' R2
R F2 U F' D R2 L'
D2 F2 D F U F2 R
D' F2 D F U R F2
D' F2 D' F U R F2
D' F2 D2 F U R F2
U F2 D' F' R D' L2
U F2 D' F' D' L2 R
U F2 D' F' D' R L2
D F2 D2 F U F2 R
R' B R U F D' L2
R' B R D F' U F2
R' B R D' F' U F2
R' B R D2 F' U F2
R' B R F' R U F2
R' B R F' R' U F2
R' B R F' R2 U F2
R' B R F' U F2 D
R' B R F' U F2 D'
R' B R F' U F2 D2
R' B R F' D R2 U
R' B R' U2 B U' F
R' B R2 U F' L' F2
R' B R2 F2 U F' L'
R' B U D' F L' D
R' B U D' F L' D'
R' B U D' F L' D2
R' B U D' F D L'
R' B U D' F D' L'
R' B U D' F D2 L'
D B U R' D' F L'
D B U F R' D' L2
D B U F D' L2 R'
D B U F D' R' L2
D2 B D F' U R F2
R' B D' R U F L'
R' B D' R' U F L'
R' B D' R2 U F L'
R' B D' U F L' D
R' B D' U F L' D'
R' B D' U F L' D2
R' B D' U F D L'
R' B D' U F D' L'
R' B D' U F D2 L'
R' B D' F' U F2 L'
F' B R U2 F' U' F'
F' B R D R2 B U
D B D F' U R' F2
D B D F' U F2 R'
B' F R' F2 B U F2
D B D' F' U R' F2
D B D' F' U F2 R'
F' B R' D B R2 U
R' B F R F' U F
