F R D2 F2 D' L2
D2 U' F U F R
U' D2 F U F R
D' F' D' F2 L2 R
D' F' D' F2 R L2
D2 F2 U' F' U R
F D2 R F2 D' L2
F D2 R F2 D' L2
F' D2 F2 R D L2
F' D2 F2 D L2 R
F' D2 F2 D R L2
F L R D2 F2 D' L2
D L U L F B' U'
D L U L B' F U'
U L D F L2 U' L
F' L D' L2 D' R2 F2
F' L D' L2 D' F2 R2
F' L D2 R2 F2 D L2
F L D2 R F2 D' L2
F' L D2 F2 R2 D L2
D2 L F R D F L'
D2 L F D R F L'
F L' R D2 F2 D' L2
F L' D2 R F2 D' L2
F' L' B2 U F2 U B2
F' L' B2 U2 B2 D' L2
F L2 R D2 F2 D' L2
B2 L2 U' B' U' B' R'
F' L2 D' L2 D' F2 R
F L2 D2 R F2 D' L2
B' L2 F B R D L2
B' L2 F B D L2 R
B' L2 F B D R L2
D L2 F B' U' B R
B' L2 B D F L2 R
B' L2 B D F R L2
B' L2 B F R D L2
B' L2 B F D L2 R
B' L2 B F D R L2
U L2 B' L2 U' F R
D L2 B' F U' B R
U2 L2 B2 U' B U' R'
F R L D2 F2 D' L2
F R L' D2 F2 D' L2
F R L2 D2 F2 D' L2
F R U D L2 U' L2
D' R U' R F B U
D' R U' R B F U
D2 R U' F U F R
L2 U B' U B' U2 R'
F R U2 B2 U' B2 U'
F R U2 B2 U2 D L2
F R U2 B2 D U2 L2
F R U2 B2 D' R2 U2
F R D U L2 U' L2
U' R D' F B R2 U
U' R D' B R2 F U
U' R D' B F R2 U
F R D' F2 D' L2 F2
F R D' F2 D' F2 L2
U' R D2 F B U F
F R D2 L F2 D' L2
F' R D2 F2 R D L2
F R D2 L' F2 D' L2
F' R D2 F2 D L2 R
F' R D2 F2 D R L2
F R D2 L2 F2 D' L2
U' R D2 B F U F
F R D2 F2 L D' L2
F R D2 F2 L' D' L2
F R D2 F2 L2 D' L2
F R D2 F2 U' F2 U
F R D2 F2 D' L2 D
F R D2 F2 D' L2 D'
F R D2 F2 D' L2 D2
U' R F D' B R2 U
U' R F D2 B U F2
U' R F B R2 U F'
U' R F B U' B U2
B R F U R F' B'
B R F U R B' F'
B R F U B' R F'
D2 R F2 U' F' U R
U' R B R2 F U F2
F R F2 D' L2 D' F2
F R F2 D2 F2 D L2
U' R B F R2 U F'
U' R B F U' B U2
R' U' D2 F U F R
R2 U' D2 F U F R
R U' D2 F U F R
D2 R' U' F U F R
U' R' D' R2 F B U
U' R' D' R2 B F U
F' R' D2 F2 R D L2
F' R' D2 F2 D L2 R
F' R' D2 F2 D R L2
U' R' F D2 B2 U F2
D2 R' F2 U' F' U R
F R' B U R2 F' B'
F R' B U R2 B' F'
D2 R2 U' F U F R
L2 U2 B2 U' B U' R'
F' R2 D2 F2 R D L2
F' R2 D2 F2 D L2 R
F' R2 D2 F2 D R L2
F R2 D2 R' F2 D' L2
D' R2 F B U R B'
D' R2 F B U B' R
F R2 D2 F2 R' D' L2
F R2 D2 F2 D' L2 R'
F R2 D2 F2 D' R' L2
D' R2 F B' U B R
D' R2 F B2 U R B2
D' R2 F B2 U B2 R
B R2 F U R F2 B'
B R2 F U R B' F2
B R2 F U B' R F2
D2 R2 F2 U' F' U R
D' R2 B F U R B'
D' R2 B F U B' R
D' R2 B' F U B R
D' R2 B2 F U R B2
D' R2 B2 F U B2 R
D U L F L B' U'
U D L F L B' U'
L D F R D L' F2
L D F D L' R F2
L D F D R L' F2
L D F' D F2 L' R
L D F' D F2 R L'
F U D L2 U' L2 R
F U D L2 U' R L2
F' U D2 B2 U' F2 R
B2 U F L' B' U B'
B2 U F U B' R' B'
B2 U F B' U B' R'
B2 U B' F U B' R'
D2 U' R F B U F
U' D' R B R F U
D' U' R B R F U
D2 U' R B F U F
R' D' F' D' F2 L2 R
R' D' F' D' F2 R L2
R2 D' F' D' F2 L2 R
R2 D' F' D' F2 R L2
D' U' F R B R U
U' D' F R B R U
D2 U' F R B U F
D2 U' F U R F R
D2 U' F U R' F R
D2 U' F U R2 F R
D2 U' F U D F R
D2 U' F U D' F R
D2 U' F U D2 F R
D2 U' F U F R D
D2 U' F U F R D'
D2 U' F U F R D2
D2 U' F U F D R
D2 U' F U F D' R
D2 U' F U F D2 R
D2 U' F D U F R
D2 U' F D' U F R
D2 U' F D2 U F R
D2 U' F B U F R
D2 U' F B' U F R
R D' F' D' F2 L2 R
R D' F' D' F2 R L2
D2 U' F B2 U F R
D2 U' B F U F R
D2 U' B' F U F R
D2 U' B2 F U F R
F2 U' F' U R D2 F2
F2 U' F' U D2 R F2
F2 U' F' U' B2 U2 R
F2 U' F' D' R2 U R'
F2 U' F' D2 U R F2
F' U' F2 U R D2 F2
F' U' F2 U D2 R F2
F' U' F2 U' B2 U2 R
F' U' F2 D' R2 U R'
F' U' F2 D2 U R F2
U' D2 R F B U F
U' D2 R B F U F
R' D2 U' F U F R
R2 D2 U' F U F R
U' D2 F R B U F
U' D2 F U R F R
U' D2 F U R' F R
U' D2 F U R2 F R
U' D2 F U D F R
U' D2 F U D' F R
U' D2 F U D2 F R
U' D2 F U F R D
U' D2 F U F R D'
U' D2 F U F R D2
U' D2 F U F D R
U' D2 F U F D' R
U' D2 F U F D2 R
U' D2 F D U F R
U' D2 F D' U F R
U' D2 F D2 U F R
R D2 U' F U F R
U' D2 F B U F R
U' D2 F B' U F R
U' D2 F B2 U F R
F' U2 L' B2 U F2 U
F' U2 L' B2 U2 D' L2
F' U2 L' B2 D R2 U2
F' U2 L' B2 D' U2 L2
L D2 F R F D' L2
R' D2 F2 U' F' U R
L D2 F D' R F L'
R2 D2 F2 U' F' U R
U' D2 B F U F R
R D2 F2 U' F' U R
U' D2 B' F U F R
U' D2 B2 F U F R
U' F R D' B R2 U
U' F R D2 B U F2
R' F R D2 F2 D' L2
D2 F R F U' F' U
U' F R B R2 U F'
U' F R B U' B U2
D2 F R F2 D' L2 F'
D2 F R F2 D' F' L2
U' F R' D' R2 B U
D F R U L2 U' L2
R2 F R D2 F2 D' L2
D F R D F2 D' L2
R F R D2 F2 D' L2
D' F R2 B' U B R'
D' F R2 B2 U B2 R'
U' F U D2 F R F
U' F U F R D2 F2
U' F U F D2 R F2
U' F U F' D2 F2 R
F' U2 B2 L' U F2 U
F' U2 B2 L' U2 D' L2
F' U2 B2 L' D R2 U2
F' U2 B2 L' D' U2 L2
F' U2 B2 U F2 U R
F' U2 B2 D L' R2 U2
F' U2 B2 D R2 L' U2
F' U2 B2 D' L' U2 L'
F2 U2 B2 U F' U R
D F U L2 U' L2 R
D F U L2 U' R L2
U' F U' B L B U2
F U2 B2 U' B2 U' R
F U2 B2 U2 R D L2
F U2 B2 U2 D L2 R
F U2 B2 U2 D R L2
F U2 B2 D U2 L2 R
F U2 B2 D U2 R L2
F U2 B2 D' R2 U2 R'
U' F D' R B R U
D' F D' R F2 D' L2
D F D R F2 D' L2
U' F D2 R B U F2
F' D R D F2 L' R
F' D R D F2 R L'
R' F D2 R F2 D' L2
U' F D2 U F R F
U' F B U' B L U2
D' F B R2 U R' B'
R2 F D2 R F2 D' L2
F D R U L2 U' L2
D2 F B U R F B'
D2 F B U R B' F
D2 F B U B' R F
F D R D F2 D' L2
U' F B' U' B' U2 R'
D2 F B' U B R F
R F D2 R F2 D' L2
D' F B2 R2 U R' B2
D2 F B2 U R F B2
D2 F B2 U R B2 F
D2 F B2 U B2 R F
F D U L2 U' L2 R
F D U L2 U' R L2
D' F' L2 D' L2 F2 R
F' D F2 R D F2 L'
D' F' U' R2 F2 U R
D2 F' U' F2 U R F
D' F' U' F2 R2 U R'
D' F' D' R F2 L2 R
D' F' D' R F2 R L2
D' F' D' R' F2 L2 R
D' F' D' R' F2 R L2
D' F' D' R2 F2 L2 R
D' F' D' R2 F2 R L2
D F' D R F2 L' R
D F' D R F2 R L'
D' F' D' F' L2 F' R
D2 F' D' F2 R F L2
D' F' D' F2 L2 R D
D' F' D' F2 L2 R D'
D' F' D' F2 L2 R D2
D' F' D' F2 L2 D R
D' F' D' F2 L2 D' R
D' F' D' F2 L2 D2 R
D' F' D' F2 R L2 D
D' F' D' F2 R L2 D'
