B' U' F' B2 U
B' U' B2 F' U
U' F' B U B2
F' B U F B2
F' B U B2 F
U' B F' U B2
B F' U F B2
B F' U B2 F
B' L U' F' B2 U
B' L U' B2 F' U
B L F' U F B2
B L F' U B2 F
B' L' U' F' B2 U
B' L' U' B2 F' U
B L' F' U F B2
B L' F' U B2 F
B' L2 U' F' B2 U
B' L2 U' B2 F' U
B L2 F' U F B2
B L2 F' U B2 F
R2 U F' B U' B2
R2 U B F' U' B2
L U' F' L' B U
F' R' U F R B'
F' R' U F B' R
F' R' U B' F R
L U' F' B L' U
L U' B F' L' U
U R2 F' B U' B2
U R2 B F' U' B2
U' D F' B U B2
F' U F B' D' R2
U' D B F' U B2
F' U B' D' R2 F
F' U B' D' F R2
F' U B' F D' R2
U' D' F' B U B2
D2 U' F' B U B2
D' U' F' B U B2
D U' F' B U B2
U' D' B F' U B2
B' U' D' F' U R2
D2 U' B F' U B2
D' U' B F' U B2
D U' B F' U B2
B' U' F' U D' R2
B' U' F' D' U R2
B2 U' F' B' U B2
B' U' F' B2 U D
B' U' F' B2 U D'
B' U' F' B2 U D2
B' U' F' B2 D U
B' U' F' B2 D' U
B' U' F' B2 D2 U
B2 U' B' F' U B2
B' U' B2 D F' U
B' U' B2 D' F' U
B' U' B2 D2 F' U
B' U' B2 F' U D
B' U' B2 F' U D'
B' U' B2 F' U D2
B' U' B2 F' D U
B' U' B2 F' D' U
B' U' B2 F' D' U
B' U' B2 F' D2 U
U' D2 F' B U B2
U' D2 B F' U B2
B D L2 F' U F
F' D B U F B2
F' D B U B2 F
U' F' U B' D' R2
U' F' D B U B2
U' F' D' B U B2
U' F' D2 B U B2
U' F' B L U B2
U' F' B L' U B2
U' F' B L2 U B2
U' F' B U B2 D
U' F' B U B2 D'
U' F' B U B2 D2
U' F' B D L2 U
D2 F' B U F B2
D2 F' B U B2 F
D' F' B U F B2
D' F' B U B2 F
R2 F' B U' F B2
R2 F' B U' B2 F
B' D' R2 U B U'
D F' B U F B2
D F' B U B2 F
B' D' U' F' U R2
F' D' B U F B2
F' D' B U B2 F
U' B L F' U B2
U' B L' F' U B2
U' B L2 F' U B2
F' D2 B U F B2
F' D2 B U B2 F
U' B D L2 F' U
U' B D F' L2 U
F' B R U F B2
F' B R U B2 F
F' B R' U F B2
F' B R' U B2 F
F' B R2 U F B2
F' B R2 U B2 F
U' B F' L U B2
U' B F' L' U B2
U' B F' L2 U B2
U' B F' U B2 D
U' B F' U B2 D'
U' B F' U B2 D2
U' B F' U B2 D2
U' B F' D L2 U
F' B U F B2 D
F' B U F B2 D'
F' B U F B2 D2
D2 B F' U F B2
