U L U' F L2 B
U L U' F B L2
U L U' B F L2
B L' U L U' F
B L' U' R' U F'
B L' F U' R U
B L' F' U L' U'
L' U L U' F B
L' U L U' B F
B L2 F' L D F2
R U' L' R' F' B
R U' L' R' B F'
R U' R' L' F' B
R U' R' L' B F'
R U' R' B L' F'
B U L U' F L2
B U' R' U L' F'
L' F B U' R U
L2 F' L D F2 B
L2 F' L D B F2
L2 F' L B D F2
L' F' U L' U' B
L' F' B U L' U'
F2 D' F2 L' F B
F2 D' F2 L' B F
F2 D' F2 B L' F
F2 D' B F2 L' F
L' B U L U' F
L' B U' R' U F'
L' B F U' R U
L' B F' U L' U'
F2 B D' F2 L' F
B F2 D' F2 L' F
L2 R U L R' F B
L2 R U L R' B F
L2 R U L F R' B
L2 R U R' L F B
L2 R U R' L B F
L2 R U' L R' F' B
L2 R U' L R' B F'
L R U' L2 R' F' B
L R U' L2 R' B F'
L2 R U' R' L F' B
L2 R U' R' L B F'
L R U' R' L2 F' B
L R U' R' L2 B F'
L2 R U' R' F' L B
L R U' R' F' L2 B
L R U' R' F' B L2
L R U' R' B L2 F'
L R U' R' B F' L2
R L U' L2 R' F' B
R L U' L2 R' B F'
R L U' R' L2 F' B
R L U' R' L2 B F'
R L U' R' F' L2 B
R L U' R' F' B L2
R L U' R' B L2 F'
R L U' R' B F' L2
B L U L U' F L
U L U' L2 B D2 F2
B L U' R' U L2 F'
B L U' R' U F' L2
U L U' F L' B L'
U L U' F L2 D B
U L U' F L2 D' B
U L U' F L2 D2 B
U L U' F L2 B D
U L U' F L2 B D'
U L U' F L2 B D2
U L U' F B L2 D
U L U' F B L2 D'
U L U' F B L2 D2
U L U' F B' L2 B2
U L U' F' L2 F2 B
U L U' F' L2 B F2
U L U' F' B L2 F2
U L U' F2 L2 F' B
U L U' F2 L2 B F'
U L U' F2 B L2 F'
U L U' B F L2 D
U L U' B F L2 D'
U L U' B F L2 D2
U L U' B F' L2 F2
U L U' B F2 L2 F'
U L U' B' F L2 B2
L' R F R' D' F2 B
L' R F R' D' B F2
L' R F R' B D' F2
F2 L D' F2 L' F B
F2 L D' F2 L' B F
F2 L D' F2 B L' F
F2 L D' B F2 L' F
U L D' B2 U' F B'
U L D' B2 U' B' F
B L F L2 U' R U
F' L F D L' F2 B
F' L F D L' B F2
F' L F D B L' F2
B L F U' R U L2
F' L F B D L' F2
B L F' L D L F2
B L F' L D F2 L
B L F' L2 U L U'
B L F' U L' U' L'
F' L F' D F2 L' B
F' L F' D F2 B L'
F' L F' D B F2 L'
F' L F' B D F2 L'
B L F2 L' D' L' F
F2 L B D' F2 L' F
F' L B F D L' F2
F' L B F' D F2 L'
U L B' U' F L2 B2
U L B' U' F B2 L2
U L B' U' B2 F L2
U L B2 U' F B' L2
U L B2 U' B' F L2
B L' R F R' D' F2
D2 L' U L U' F B
D2 L' U L U' B F
D' L' U L U' F B
D' L' U L U' B F
B' L' U L U' F B2
B' L' U L U' B2 F
D L' U L U' F B
D L' U L U' B F
B2 L' U L U' F B'
B2 L' U L U' B' F
B L' U L U' D F
B L' U L U' D' F
B L' U L U' D2 F
B L' U L U' F D
B L' U L U' F D'
B L' U L U' F D2
B L' U L D U' F
B L' U L D' U' F
B L' U L D2 U' F
B L' U L' U B' U2
B L' U D L U' F
B L' U D' L U' F
B L' U D2 L U' F
B' L' U' R' U F' B2
B' L' U' R' U B2 F'
B L' U' R U' B U2
R L' F R' D' F2 B
R L' F R' D' B F2
R L' F R' B D' F2
B L' U' R' U D F'
B L' U' R' U D' F'
B L' U' R' U D2 F'
B L' U' R' U F' D
B L' U' R' U F' D'
B L' U' R' U F' D2
B L' U' R' D U F'
B L' U' R' D' U F'
B L' U' R' D2 U F'
B L' U' D R' U F'
B L' U' D' R' U F'
B L' U' D2 R' U F'
B L' U2 B U' L U'
B L' U2 B' U R' U
B L' D U L U' F
B L' D U' R' U F'
B L' D F U' R U
B L' D F' U L' U'
B L' D' U L U' F
B L' D' U' R' U F'
F2 L' D' F2 L' F B
F2 L' D' F2 L' B F
F2 L' D' F2 B L' F
B L' D' F U' R U
F2 L' D' B F2 L' F
B L' D' F' U L' U'
B L' D2 U L U' F
B L' D2 U' R' U F'
B L' D2 F U' R U
B L' D2 F' U L' U'
B' L' F U' R U B2
B L' F R' D' R F2
B L' F U' R U D
B L' F U' R U D'
B L' F U' R U D2
B L' F U' R D U
B L' F U' R D' U
B L' F U' R D2 U
D' L' F B U' R U
D2 L' F B U' R U
B L' F U' D R U
B L' F U' D' R U
B L' F U' D2 R U
B L' F D U' R U
B L' F D' U' R U
B' L' F B2 U' R U
B L' F D2 U' R U
D L' F B U' R U
R2 L2 U L R2 F B
R2 L2 U L R2 B F
L2 R2 U L R2 F B
L2 R2 U L R2 B F
B L' F' L D L' F2
R L2 U L R' F B
R L2 U L R' B F
D2 L' F' U L' U' B
D' L' F' U L' U' B
R L2 U L F R' B
B' L' F' U L' U' B2
L2 R2 U R2 L F B
R2 L2 U R2 L F B
R2 L2 U R2 L B F
L2 R2 U R2 L B F
R L2 U R' L F B
R L2 U R' L B F
D L' F' U L' U' B
B L' F' U L' U' D
B L' F' U L' U' D'
B L' F' U L' U' D2
B L' F' U L' D U'
B L' F' U L' D' U'
B L' F' U L' D2 U'
B L' F' U D L' U'
B L' F' U D' L' U'
B L' F' U D2 L' U'
D' L' F' B U L' U'
D2 L' F' B U L' U'
B L' F' D U L' U'
B' L' F' B2 U L' U'
B L' F' D' U L' U'
B L' F' D2 U L' U'
D L' F' B U L' U'
B L' F2 L D' L' F
R L2 U' L R' F' B
R L2 U' L R' B F'
B L' F2 R' D R F'
R L2 U' R' L F' B
R L2 U' R' L B F'
R L2 U' R' F' L B
B L' F2 D R F' R'
B L' F2 D' L' F L
D' L' B U L U' F
D2 L' B U L U' F
D' L' B U' R' U F'
D2 L' B U' R' U F'
U' L' B U' B' R' U
D L' B U L U' F
D L' B U' R' U F'
D' L' B F U' R U
D2 L' B F U' R U
D' L' B F' U L' U'
F2 L' B D' F2 L' F
D2 L' B F' U L' U'
D L' B F U' R U
D L' B F' U L' U'
U L' B D2 F2 D R2
B' L' B2 U L U' F
B' L' B2 U' R' U F'
B' L' B2 F U' R U
B' L' B2 F' U L' U'
B L2 U L' U' L2 F
B L2 U L2 U' L' F
B L2 U' R' U L F'
B L2 U' R' U F' L
U L2 U' L B D2 F2
U L2 U' L' F L2 B
U L2 U' L' F B L2
U L2 U' L' B F L2
B L2 D F' L D F2
L' U L U' D F B
L' U L U' D B F
L' U L U' D' F B
L' U L U' D' B F
L' U L U' D2 F B
L' U L U' D2 B F
L' U L U' F D B
L' U L U' F D' B
L' U L U' F D2 B
L' U L U' F B D
L' U L U' F B D'
L' U L U' F B D2
L' U L U' B D F
L' U L U' B D' F
L' U L U' B D2 F
L' U L U' B F D
L' U L U' B F D'
L' U L U' B F D2
L' U L D U' F B
L' U L D U' B F
L' U L D' U' F B
L' U L D' U' B F
F2 L2 D' F2 L' F B
F2 L2 D' F2 L' B F
L' U L D2 U' F B
L' U L D2 U' B F
R2 U L R2 F L2 B
F2 L2 D' F2 B L' F
R2 U L R2 F B L2
R2 U L R2 B F L2
B L2 D' F' L D F2
F2 L2 D' B F2 L' F
R U L R' F L2 B
R U L R' F B L2
R U L R' B F L2
L U L U' F L B
L' U L' U B' U2 B2
R U L F L2 R' B
R U L F R' L2 B
R U L F R' B L2
L' U L' U' B D2 F2
R2 U L' R2 B D2 F2
L2 U L' U' L2 F B
L2 U L' U' L2 B F
B L2 D2 F' L D F2
F' L2 F L' D F2 B
F' L2 F L' D B F2
F' L2 F L' B D F2
R U L' R' B D2 F2
B L2 F L U' R U
R2 U L' B2 R2 F' B
R2 U L' B2 R2 B F'
F' L2 F B D L' F
B L2 F U' R U L
D2 L2 F' L D F2 B
D2 L2 F' L D B F2
D2 L2 F' L B D F2
D' L2 F' L D F2 B
D' L2 F' L D B F2
D' L2 F' L B D F2
L2 U L2 U' L' F B
L2 U L2 U' L' B F
L2 U L2 U' B L' F
B' L2 F' L B2 D F2
D L2 F' L D F2 B
D L2 F' L D B F2
B L2 F' L U L2 U'
B L2 F' L D F2 D
B L2 F' L D F2 D'
B L2 F' L D F2 D2
D L2 F' L B D F2
B L2 F' L F D F2
B L2 F' L F' D F2
B L2 F' L F2 D F2
B L2 F' U L' U' L2
B L2 F' D L D F2
B L2 F' D' L D F2
B L2 F' D2 L D F2
B L2 F2 L2 D' L' F
B L2 F2 D' L' F L2
R U R' L F L2 B
R U R' L F B L2
R U R' L B F L2
R U R' L' B D2 F2
F' L2 B F D L' F
F2 L2 B D' F2 L' F
R U R' B L F L2
R2 U R2 L F L2 B
R2 U R2 L F B L2
R2 U R2 L B F L2
R2 U R2 L' B D2 F2
L' U D L U' F B
L' U D L U' B F
R2 U R2 B L F L2
L' U D' L U' F B
L' U D' L U' B F
L' U D2 L U' F B
L' U D2 L U' B F
B R L' F R' D' F2
D2 R U' L' R' F' B
D2 R U' L' R' B F'
D' R U' L' R' F' B
D' R U' L' R' B F'
