D' L R F' B' L
D' L R B' L F'
D' L R B' F' L
D' L B' L R F'
D' L B' R L F'
D' L B' R F' L
D' R L F' B' L
D' R L B' L F'
D' R L B' F' L
D' R F' L B' L
D' R F' B' L B'
D' R B' L F' B'
D' R B' L B' F'
D' R B' F' L B'
D' B' L R F' B'
D' B' L R B' F'
D' B' L B' R F'
D' B' R L F' B'
D' B' R L B' F'
D' B' R F' L B'
D' L R F B' L F2
D' L R F' B' L D
D' L R F' B' L D'
D' L R F' B' L D2
D' L R F' B' D L
D' L R F' B' D' L
D' L R F' B' D2 L
D' L R B' L D F'
D' L R B' L D' F'
D' L R B' L D2 F'
D' L R B' L F' D
D' L R B' L F' D'
D' L R B' L F' D2
D' L R B' L' F' L2
D' L R B' D L F'
D' L R B' D F' L
D' L R B' D' L F'
D' L R B' D' F' L
D' L R B' D2 L F'
D' L R B' D2 F' L
D' L R B' F L F2
D' L R B' F' L D
D' L R B' F' L D'
D' L R B' F' L D2
D' L R B' F' D L
D' L R B' F' D' L
D' L R B' F' D2 L
D' L U R F' B' L
D' L U R B' L F'
D' L U R B' F' L
D' L U B' L R F'
D' L U B' R L F'
D' L U B' R F' L
D' L U' R F' B' L
D' L U' R B' L F'
D' L U' R B' F' L
D' L U' B' L R F'
D' L U' B' R L F'
D' L U' B' R F' L
D' L U2 R F' B' L
D' L U2 R B' L F'
D' L U2 R B' F' L
D' L U2 B' L R F'
D' L U2 B' R L F'
D' L U2 B' R F' L
D' L B' L R D F'
D' L B' L R D' F'
D' L B' L R D2 F'
D' L B' L R F' D
D' L B' L R F' D'
D' L B' L R F' D2
D' L B' L' R F' L2
D' L B' R L D F'
D' L B' R L D' F'
D' L B' R L D2 F'
D' L B' R L F' D
D' L B' R L F' D'
D' L B' R L F' D2
D' L B' R L' F' L2
D' L B' R D L F'
D' L B' R D F' L
D' L B' R D' L F'
D' L B' R D' F' L
D' L B' R D2 L F'
D' L B' R D2 F' L
D' L B' R F L F2
D' L B' R F' L D
D' L B' R F' L D'
D' L B' R F' L D2
D' L B' R F' D L
D' L B' R F' D' L
D' L B' R F' D2 L
D L' R F L' D2 B2
D L' R F D2 L' B2
D L' R F D2 B2 L'
D L' R' F L' B R2
D L' R' F B L' R2
D L' R' F B R2 L'
B L' R' F L' U R2
D L' R' B R2 F L'
D L' R' B F L' R2
D L' R' B F R2 L'
D' L2 R F' L' B' L
D' R L F B' L F2
D' R L F' B' L D
D' R L F' B' L D'
D' R L F' B' L D2
D' R L F' B' D L
D' R L F' B' D' L
D' R L F' B' D2 L
D' R L B' L D F'
D' R L B' L D' F'
D' R L B' L D2 F'
D' R L B' L F' D
D' R L B' L F' D'
D' R L B' L F' D2
D' R L B' L' F' L2
D' R L B' D L F'
D' R L B' D F' L
D' R L B' D' L F'
D' R L B' D' F' L
D' R L B' D2 L F'
D' R L B' D2 F' L
D' R L B' F L F2
D' R L B' F' L D
D' R L B' F' L D'
D' R L B' F' L D2
D' R L B' F' D L
D' R L B' F' D' L
D' R L B' F' D2 L
D R L' F L' D2 B2
D R L' F D2 L' B2
D R L' F D2 B2 L'
D' R L2 F' L' B' L
B R D' L F2 B' L
B R D' L B' L F2
B R D' L B' F2 L
B R D' F2 L B' L
B R D' F2 B' L B'
B R D' B' L F2 B'
B R D' B' L B' F2
B R D' B' F2 L B'
D' R F L F2 B' L
D' R F L B' L F2
D' R F L B' F2 L
D R F L' D2 F B2
D R F L' D2 B2 F
D' R F B' L F2 B'
D' R F B' L B' F2
D' R F' L B' L D
D' R F' L B' L D'
D' R F' L B' L D2
D' R F' L B' D L
D' R F' L B' D' L
D' R F' L B' D2 L
D' R F' B' L D B'
D' R F' B' L D' B'
D' R F' B' L D2 B'
D' R F' B' L B' D
D' R F' B' L B' D'
D' R F' B' L B' D2
D' R B' L D F' B'
D' R B' L D B' F'
D' R B' L D' F' B'
D' R B' L D' B' F'
D' R B' L D2 F' B'
D' R B' L D2 B' F'
D' R B' L F' D B'
D' R B' L F' D' B'
D' R B' L F' D2 B'
D' R B' L F' B' D
D' R B' L F' B' D'
D' R B' L F' B' D2
D' R B' L B' D F'
D' R B' L B' D' F'
D' R B' L B' D2 F'
D' R B' L B' F' D
D' R B' L B' F' D'
D' R B' L B' F' D2
D' R B' F L F2 B'
D' R B' F L B' F2
D' R B' F' L D B'
D' R B' F' L D' B'
D' R B' F' L D2 B'
D' R B' F' L B' D
D' R B' F' L B' D'
D' R B' F' L B' D2
D R' L' F L' B R2
D R' L' F B L' R2
D R' L' F B R2 L'
B R' L' F L' U R2
D R' L' B R2 F L'
D R' L' B F L' R2
D R' L' B F R2 L'
D R' F L' F B R2
D R' F L' B R2 F
D R' F L' B F R2
B R' F L' F U R2
D R' F B L' R2 F
D R' F B L' F R2
D R' F B R2 L' F
D R' B L' R2 F L'
D R' B L' F L' R2
D R' B L' F R2 L'
D R' B R2 L' F L'
D R' B R2 F L' F
D R' B F L' R2 F
D R' B F L' F R2
D R' B F R2 L' F
R2 D L' R' F L' B
R2 D L' R' F B L'
R2 D L' R' B F L'
R2 D L' F L' R' B
R2 D L' F R' L' B
R2 D L' F R' B L'
R2 D R' L' F L' B
R2 D R' L' F B L'
R2 D R' L' B F L'
R2 D R' F L' F B
R2 D R' F L' B F
R2 D R' F B L' F
R2 D R' B L' F L'
R2 D R' B F L' F
D' U L R F' B' L
D' U L R B' L F'
D' U L R B' F' L
D' U L B' L R F'
D' U L B' R L F'
D' U L B' R F' L
R2 D F L' R' F B
R2 D F L' R' B F
R2 D F L' F R' B
R2 D F R' L' F B
