F' B' L B2 D F2
B' F' L B2 D F2
B' L U L U' F B2
B' L U L U' B2 F
B' L U' R' U F' B2
B' L U' R' U B2 F'
U L U' D2 F L' B
U L U' D2 F B L'
U L U' D2 B F L'
U L U' F B' L B2
U L U' B' F L B2
U L D2 U' F L' B
U L D2 U' F B L'
U L D2 U' B F L'
B' L F U' R U B2
B' L F B2 U' R U
B' L F' U L' U' B2
B' L F' B2 U L' U'
U L B' U' F L B2
B' L B2 U L U' F
B' L B2 U' R' U F'
B' L B2 F U' R U
B' L B2 F' U L' U'
U L' U B' U2 L B2
D L' F R U R' B
R U R' B' L F B2
R U R' B' L B2 F
R2 U R2 B' L F B2
R2 U R2 B' L B2 F
B' R U L R' F B2
B' R U L R' B2 F
B' R U L F R' B2
B' R U R' L F B2
B' R U R' L B2 F
F R U R' B' L B2
B' R U' L R' F' B2
B' R U' L R' B2 F'
B' R U' R' L F' B2
B' R U' R' L B2 F'
B' R U' R' F' L B2
U' R U' B R' U2 B
R2 U B' L R2 F B
R2 U B' L R2 B F
R2 U B' R2 L F B
R2 U B' R2 L B F
R2 U B2 R2 B L F
R U' R' F' B' L B2
R U' R' B' L F' B2
R U' R' B' L B2 F'
R U' R' B' F' L B2
B' R' U L R F B2
B' R' U L R B2 F
B' R' U L B2 R F
B' R' U R L F B2
B' R' U R L B2 F
B' R2 U L R2 F B2
B' R2 U L R2 B2 F
B' R2 U L F R2 B2
B' R2 U L F B2 R2
B' R2 U L B2 R2 F
B' R2 U L B2 F R2
B' R2 U R2 L F B2
B' R2 U R2 L B2 F
B R2 F2 R2 D' L' F
D2 U L U' F L' B
D2 U L U' F B L'
D2 U L U' B F L'
B U L U R' U2 F
B' U L' U' L2 F B2
B' U L' U' L2 B2 F
F' U L' U' B' L B2
D U L B' U' F B2
D U L B' U' B2 F
B U L B2 U' F L
F' U L' B' U' L B2
B U L' U R' B' U2
U D L B' U' F B2
U D L B' U' B2 F
B' U L2 U' L' F B2
B' U L2 U' L' B2 F
B' U L2 U' B2 L' F
F' U B' L' U' L2 B2
F' U B' L' U' B2 L2
B U B2 L' U' L2 F
B U B2 L2 U' L' F
B' U' R' U L F' B2
B' U' R' U L B2 F'
B' U' R' U F' L B2
B U' R U' R2 U2 F'
B U' R U' B R2 U2
B U' R2 U' R U2 F'
U D2 L U' F L' B
U D2 L U' F B L'
U D2 L U' B F L'
B U2 R' U R' U F'
B U2 R' U' L U' F
B U2 R' B U' L U'
B U2 R' B' U R' U
D2 F L' B U' R U
D2 F R U L' R' B
D2 F R U R' L' B
D2 F R U R' B L'
D' F R F' U R' B
F' D L B D L2 F2
F' D L B D F2 L2
D2 F B L' U' R U
D' F B U' R F' U
D2 F B U' R U L'
D2 F' L D F2 L' B
D2 F' L D F2 B L'
D2 F' L D B F2 L'
D2 F' L B D F2 L'
D F' L B D L2 F2
D F' L B D F2 L2
F2 D' L' D' F L' B
F2 D' L' D' F B L'
F2 D' L' D' B F L'
F2 D' L' B D' F L'
D2 F' B L D F2 L'
F D' R F' U R' B
L' F' B' L B2 D F2
L2 F' B' L B2 D F2
L F' B' L B2 D F2
B' D' F' L D F2 B2
B' D' F' L D B2 F2
F2 D' B L' D' F L'
F D' B U' R F' U
D' F2 D' L' F L' B
D' F2 D' L' F B L'
D' F2 D' L' B F L'
D' F2 D' F L' F B
D' F2 D' F L' B F
D2 F2 D' F' L' F B
D2 F2 D' F' L' B F
D' F2 D' F B L' F
D2 F2 D' F' B L' F
D' F2 D' B L' F L'
D2 F2 D' B F' L' F
D' F2 D' B F L' F
D' F2 B D' L' F L'
D2 F2 B D' F' L' F
D' F2 B D' F L' F
F2 D2 F D L' F B
F2 D2 F D L' B F
F2 D2 F D B L' F
F D2 F D' L' F B
F D2 F D' L' B F
F D2 F D' B L' F
F D2 F B D' L' F
D2 B U L U' F L'
F D2 B F D' L' F
D B U L B' U' F
B' F L U' R U B2
B' F L B2 U' R U
B' F R U L R' B2
B' F R U R' L B2
D2 B F L' U' R U
D2 B F U' R U L'
D' B F U' R F' U
D2 B F' L D F2 L'
F' B U L' U R' U2
F' B U L' B2 U' L
D2 B F2 D' F' L' F
D' B F2 D' L' F L'
D' B F2 D' F L' F
B' F U' R U L B2
F' B U B2 L' U' L2
F' B U2 R' U' L' U'
B F U' R U D2 L2
B F U' R U' R2 U2
B F U' R D' F2 U
B F U' R D2 U L2
F2 B U2 D R' B U2
F B U' R U D2 L2
F B U' R U' R2 U2
F B U' R D' F2 U
F B U' R D2 U L2
B F U2 R' U R2 U
B F U2 R' U2 D' F2
B F U2 R' D B2 U2
B F U2 R' D' U2 F2
F2 B D U2 R' B U2
F B U2 R' U R2 U
F B U2 R' U2 D' F2
F B U2 R' D B2 U2
F B U2 R' D' U2 F2
U B' L' U' L2 F B2
U B' L' U' L2 B2 F
U B' L2 U' L' F B2
U B' L2 U' L' B2 F
U B' L2 U' B2 L' F
B' F' L U L2 U' B2
B' F' L D F2 D' B2
F' B' L U L2 U' B2
B' F' L F B2 D F2
B' F' L F' B2 D F2
B' F' L F2 B2 D F2
F' B' L D F2 D' B2
B' F' L B D F2 B
B' F' L B D B F2
B' F' L B' D F2 B'
B' F' L B' D B' F2
B' F' L B2 U L2 U'
B' F' L B2 D F2 D
B' F' L B2 D F2 D'
B' F' L B2 D F2 D2
