F2 L' U F U2 L
F2 L' U' L2 B' L'
U L2 F2 L' U' B'
D2 R' D' F2 B R2
D2 R' D' B R2 F2
D2 R' D' B F2 R2
L2 F2 L' U' B' L'
U F2 L' U F U2
U' L R U D R2 B'
U' L R U D B' R2
U' L R U B' D R2
U' L R U2 F2 U' B'
U' L R D U R2 B'
U' L R D U B' R2
U' L R D2 B2 U B
L R U D R2 B' L'
L R U D B' L' R2
L R U D B' R2 L'
R L U D R2 B' L'
R L U D B' L' R2
R L U D B' R2 L'
L R U B' L' D R2
L R U B' D L' R2
L R U B' D R2 L'
R L U B' L' D R2
R L U B' D L' R2
R L U B' D R2 L'
L R D U R2 B' L'
L R D U B' L' R2
L R D U B' R2 L'
R L D U R2 B' L'
R L D U B' L' R2
R L D U B' R2 L'
F2 L U' D B' L' F2
F2 L U' B' D L' F2
R' L D' B' L' F2 R
U' L D R U R B'
U' L D R U B' R
L R D2 B2 U L' B
L R D2 B2 U B L'
F2 L D U' B' L' F2
R L D2 B2 U L' B
R L D2 B2 U B L'
U' L D2 R B2 U B
R' L B' D' L' F2 R
R2 L B' D L' R2 F
R2 L B' D L' F R2
R2 L B' D R2 L' F
F2 L B L2 U' L B2
F2 L B2 L2 U' L B
F2 L' R U F U2 L
F2 L' R U' L2 B' L'
F2 L' R' U F U2 L
F2 L' R' U' L2 B' L'
F2 L' R2 U F U2 L
F2 L' R2 U' L2 B' L'
L R' D' B' L' F2 R
F2 L' U R F U2 L
F2 L' U R' F U2 L
F2 L' U R2 F U2 L
F2 L' U D F U2 L
F2 L' U D' F U2 L
F2 L' U D2 F U2 L
F2 L' U F R U2 L
F2 L' U F R' U2 L
F2 L' U F R2 U2 L
F2 L' U F U2 L D
F2 L' U F U2 L D'
F2 L' U F U2 L D2
F2 L' U F U2 D L
F2 L' U F U2 D' L
F2 L' U F U2 D2 L
F2 L' U F D U2 L
F2 L' U F D' U2 L
F2 L' U F D2 U2 L
F2 L' U' L2 D B' L'
F2 L' U' L2 D' B' L'
F2 L' U' L2 D2 B' L'
F2 L' U' L2 B L' B2
F2 L' U' L2 B' L' D
F2 L' U' L2 B' L' D'
F2 L' U' L2 B' L' D2
F2 L' U' L2 B' D L'
F2 L' U' L2 B' D' L'
F2 L' U' L2 B' D2 L'
F2 L' U' L2 B2 L' B
F2 L' U' D L2 B' L'
F2 L' U' D' L2 B' L'
F2 L' U' D2 L2 B' L'
F2 L' U' B L2 B' L
F2 L' U2 L2 U B' L'
F2 L' D U F U2 L
F2 L' D U' L2 B' L'
F2 L' D' U F U2 L
F2 L' D' U' L2 B' L'
F2 L' D2 U F U2 L
F2 L' D2 U' L2 B' L'
L R' B' D' L' F2 R
U2 L' F U' F L' U'
U L' F2 L' R2 U' B
U L' F2 L' U F' U2
U L' F2 R2 L' U' B
F2 L' B U' L2 B' L
F2 L' B2 U R' F U2
F2 L' B2 U F R' U2
L R2 B' D L' R2 F
L R2 B' D L' F R2
L R2 B' D R2 L' F
R U L F2 U' F2 B'
R U L F2 U' B' F2
F' L2 F' L' U' B' L'
B' L2 F2 L' U' B' L'
