B U F' U2 R' F
B U F' U2 F R'
F' U2 B U' R' B'
U' F' U' B U' R'
U2 B R2 U' B R
U2 B U F' U2 R'
U2 B U' R2 B R
B L U F' U2 R' F
B L U F' U2 F R'
F' L U2 B U' R' B'
U' L F' U' B U' R'
B L' U F' U2 R' F
B L' U F' U2 F R'
F' L' U2 B U' R' B'
U' L' F' U' B U' R'
B L2 U F' U2 R' F
B L2 U F' U2 F R'
F' L2 U2 B U' R' B'
F2 L2 U2 B U' R' B2
U' L2 F' U' B U' R'
L' U' F' U' B U' R'
L2 U' F' U' B U' R'
L U' F' U' B U' R'
U2 R' U' R' B L R'
U2 R' U' R' B R' L
U2 R' U' B L R' B
U2 R' U' B R' L B
U2 R' B U' R' B L
U' R2 U F' U B R'
L' U2 B R2 U' B R
L' U2 B U F' U2 R'
L' U2 B U' R2 B R
B R2 U' D' B R F2
L2 U2 B R2 U' B R
L2 U2 B U F' U2 R'
L2 U2 B U' R2 B R
B R2 U' B D' R F2
U R2 U' F' U B R'
L U2 B R2 U' B R
L U2 B U F' U2 R'
L U2 B U' R2 B R
U2 R2 U2 F' U B R'
B R2 D' U' B R F2
B R2 D2 L2 U' B R
F R2 F' R2 U B R'
U R2 F' U F B R'
U R2 F' U B R' F
U R2 F' U B F R'
U R2 B U' F' U R'
B U L F' U2 R' F
B U L F' U2 F R'
B U L' F' U2 R' F
B U L' F' U2 F R'
B U L2 F' U2 R' F
B U L2 F' U2 F R'
B U R' U2 R F' U2
B U R2 D2 L2 B R
B U R2 D2 B L2 R
B U R2 D2 B R L2
B U R2 B D2 L2 R
B U R2 B D2 R L2
B U D F' U2 R' F
B U D F' U2 F R'
B U D' F' U2 R' F
B U D' F' U2 F R'
B U D2 F' U2 R' F
B U D2 F' U2 F R'
B U F' L' U2 R' F'
B U F' U2 R F R2
B U F' U2 R' D F
B U F' U2 R' D' F
B U F' U2 R' D2 F
B U F' U2 R' F D
B U F' U2 R' F D'
B U F' U2 R' F D2
B U F' U2 D R' F
B U F' U2 D F R'
B U F' U2 D' R' F
B U F' U2 D' F R'
B U F' U2 D2 R' F
B U F' U2 D2 F R'
B U F' U2 F R' D
B U F' U2 F R' D'
B U F' U2 F R' D2
B U F' U2 F D R'
B U F' U2 F D' R'
B U F' U2 F D2 R'
B U F' U2 F' R' F2
B U F' D U2 R' F
B U F' D U2 F R'
B U F' D' U2 R' F
B U F' D' U2 F R'
B U F' D2 U2 R' F
B U F' D2 U2 F R'
B U F' B U2 F R
B U B F' U2 F R
B U B2 L F' U2 F
B' U' L D F' U2 L2
B' U' L D' R2 U2 B
B' U' L D' F' R2 U2
B' U' L F' U' B2 U'
B' U' L F' U2 D L2
B' U' L F' D U2 L2
B' U' L F' D' R2 U2
B U' L' F' U2 L R'
B U' L' F' U2 R' L
B U' L2 F' U2 L2 R'
B U' L2 F' U2 R' L2
D2 U' F' U' B U' R
B' U' D L F' U2 L
B' U' D F' L U2 L
B' U' D' L R2 U2 B
B' U' D' L F' R2 U2
B' U' D' R2 L U2 B
B' U' D' F' L R2 U2
B' U' D' F' R2 L U2
F2 U' F U' B U' R'
B' U' F' L U' B2 U'
B' U' F' L U2 D L2
B' U' F' L D U2 L2
B' U' F' L D' R2 U2
B' U' F' U' B2 U' R'
B' U' F' D L U2 L
B' U' F' D' L R2 U2
B' U' F' D' R2 L U2
B U' F' L U2 L' R'
B U' F' L U2 R' L'
B U' F' L' U2 L R'
B U' F' L' U2 R' L
B U' F' L2 U2 L2 R'
B U' F' L2 U2 R' L2
F' U' B L2 U' R' F
F' U' B L2 U' F R'
F U' F2 U' B U' R'
B U' B' R2 F' B R'
B U' B' R2 B F' R'
U' D2 F' U' B U' R
D2 U2 B U F' U2 R
B' U2 R' B2 U' R' B
U2 D2 B U F' U2 R
B' U2 R2 B2 U' R' B'
F' U2 F B U' R' B'
F' U2 F' B U' R' B'
F' U2 F2 B U' R' B'
F' U2 B R U' R2 B'
F' U2 B R U' B' R2
F' U2 B R2 U' R B'
F' U2 B R2 U' B' R
F' U2 B U' R B' R2
F' U2 B U' R' D B'
F' U2 B U' R' D' B'
F' U2 B U' R' D2 B'
F' U2 B U' R' B' D
F' U2 B U' R' B' D'
F' U2 B U' R' B' D2
F' U2 B U' R2 B' R
F' U2 B U' D R' B'
F' U2 B U' D' R' B'
F' U2 B U' D2 R' B'
F' U2 B D U' R' B'
F2 U2 B U F U2 R'
F' U2 B D' U' R' B'
F' U2 B D2 U' R' B'
F' U2 B F U' R' B'
F' U2 B F' U' R' B'
F' U2 B F2 U' R' B'
F U2 B U F2 U2 R'
F U2 B U' R' D2 B2
F U2 B U' D2 R' B2
F U2 B D R2 U' R
B' U2 B2 R2 U' B R
F U2 B D2 U' R' B2
B' U2 B2 U F' U2 R'
B' U2 B2 U' R2 B R
U2 F B U F2 U2 R'
U2 F B U' R' D2 B2
U2 F B U' D2 R' B2
U2 F B D R2 U' R
U2 F B D2 U' R' B2
R2 F B D' L2 R' F2
R2 F B D' L2 F2 R'
R2 F B D' R' L2 F2
R2 F B D' R' F2 L2
R2 F B D' F2 L2 R'
R2 F B D' F2 R' L2
B' D U' L F' U2 L
U' F' L U' B U' R'
B' D U' F' L U2 L
B D U F' U2 R' F
B D U F' U2 F R'
U' F' L' U' B U' R'
U' F' L2 U' B U' R'
R2 F' R2 U R2 B R'
U' F' U' F B U' R'
U' F' U' F' B U' R'
U' F' U' F2 B U' R'
U' F' U' B U' R' D
U' F' U' B U' R' D'
U' F' U' B U' R' D2
U' F' U' B U' D R'
U' F' U' B U' D' R'
U' F' U' B U' D2 R'
U' F' U' B D U' R'
U' F' U' B D' U' R'
U' F' U' B D2 U' R'
U' F' U' B F U' R'
U' F' U' B F' U' R'
U' F' U' B F2 U' R'
R2 F' U B D' R' F2
R2 F' U B D' F2 R'
D2 F' U2 B U' R B'
D2 F' U2 B U' B' R
L' F' U2 B U' R' B'
L2 F' U2 B U' R' B'
U F' U' B U' R' F
U F' U' B U' F R'
L F' U2 B U' R' B'
B' D' U' L R2 U2 B
B' D' U' L F' R2 U2
R2 F' B' R2 U B2 R'
B' D' U' R2 L U2 B
B' D' U' F' L R2 U2
B' D' U' F' R2 L U2
B D' U F' U2 R' F
B D' U F' U2 F R'
U2 F2 B U F U2 R'
B D2 U F' U2 R' F
B D2 U F' U2 F R'
B' D2 F2 U' F L U2
U2 B R2 U' D B R
U2 B R2 U' D' B R
U2 B R2 U' D2 B R
U2 B R2 U' B R D
U2 B R2 U' B R D'
U2 B R2 U' B R D2
U2 B R2 U' B D R
U2 B R2 U' B D' R
U2 B R2 U' B D2 R
U2 B R2 U' B' R B2
U2 B R2 U' B2 R B'
U2 B R2 D U' B R
U2 B R2 D' U' B R
U2 B R2 D2 U' B R
D2 B U F' U2 R F
L' B U F' U2 R' F
L' B U F' U2 F R'
U2 B U L F' U2 R'
U2 B U L' F' U2 R'
U2 B U L2 F' U2 R'
U2 B U D F' U2 R'
U2 B U D' F' U2 R'
U2 B U D2 F' U2 R'
U2 B U F' L U2 R'
U2 B U F' L' U2 R'
U2 B U F' L2 U2 R'
U2 B U F' U2 R' D
U2 B U F' U2 R' D'
U2 B U F' U2 R' D2
U2 B U F' U2 D R'
U2 B U F' U2 D' R'
U2 B U F' U2 D2 R'
U2 B U F' D U2 R'
U2 B U F' D' U2 R'
U2 B U F' D2 U2 R'
L2 B U F' U2 R' F
L2 B U F' U2 F R'
U2 B U' R2 D B R
U2 B U' R2 D' B R
U2 B U' R2 D2 B R
U2 B U' R2 B R D
U2 B U' R2 B R D'
U2 B U' R2 B R D2
U2 B U' R2 B D R
U2 B U' R2 B D' R
U2 B U' R2 B D2 R
U2 B U' R2 B' R B2
U2 B U' R2 B2 R B'
U2 B U' D R2 B R
U2 B U' D' R2 B R
U2 B U' D2 R2 B R
U2 B U' B' R2 B R'
L B U F' U2 R' F
L B U F' U2 F R'
R2 B U' F' R2 U R
U2 B D R2 U' B R
U2 B D U F' U2 R'
U2 B D U' R2 B R
U2 B D' R2 U' B R
U2 B D' U F' U2 R'
U2 B D' U' R2 B R
U2 B D2 R2 U' B R
U2 B D2 U F' U2 R'
U2 B D2 U' R2 B R
U2 B F U F2 U2 R'
U2 B F U' R' D2 B2
U2 B F U' D2 R' B2
U2 B F D R2 U' R
U2 B F D2 U' R' B2
R2 B F D' L2 R' F2
R2 B F D' L2 F2 R'
R2 B F D' R' L2 F2
R2 B F D' R' F2 L2
R2 B F D' F2 L2 R'
R2 B F D' F2 R' L2
F2 B U F U2 F' R'
U2 B F2 U F U2 R'
B F U F2 U2 R' F2
B F U F2 U2 F2 R'
F B U F2 U2 R' F2
F B U F2 U2 F2 R'
B' F D2 F2 U B2 R'
U2 B' R' B2 U' R' B
U2 B' R2 B2 U' R' B'
B' F' U2 B2 U' R' B2
F' B' U2 B2 U' R' B2
R2 B' F' R2 U B2 R'
F B' D2 F2 U B2 R'
U2 B2 R' B' U' R' B
U2 B2 R2 B' U' R' B2
B F2 U F U2 F' R'
