U L' U' B' R' F'
B' R' F' U' L' U
U R' F' L' U' B'
F' U' L' B' R' U
U F' L' U' B' R'
R' F' U' L' B' U
F2 D B' R' F' B
F2 D B' R' B F'
B' F R' D F' B2
B' F R' D B2 F'
B' F R' F' D B2
F B' R' D F' B2
F B' R' D B2 F'
F B' R' F' D B2
F2 B' D R' F' B
F2 B' D R' B F'
B' F2 D R' F' B
B' F2 D R' B F'
U' L' R B' R' U B2
B' L' R' F' L D' B2
U' L' R2 B' R' U B
U L' U' R' F' B' R'
U L' U' R' B' F' R'
U L' U' D B' R' F'
U L' U' D' B' R' F'
U L' U' D2 B' R' F'
U L' U' F B' R' F'
U L' U' F' B' R' F'
U L' U' F2 B' R' F'
U L' U' B' R' D F'
U L' U' B' R' D' F'
U L' U' B' R' D2 F'
U L' U' B' R' F' D
U L' U' B' R' F' D'
U L' U' B' R' F' D2
U L' U' B' D R' F'
U L' U' B' D' R' F'
U L' U' B' D2 R' F'
U L' U' B' F R' F'
U L' U' B' F' R' F'
U L' U' B' F2 R' F'
U L' U' B' F2 R' F'
U L' D U' B' R' F'
F2 L' D' L B' R' F'
U L' D' U' B' R' F'
U L' D2 U' B' R' F'
U' L' B' R' U' F' U2
U2 L' B' U' R' F' U'
R' U L' U' F' B' R'
R' U L' U' B' F' R'
U' R L' B' R' U B2
U' R U B' R' F' B2
U' R U B' R' B2 F'
B' R' L' F' L D' B2
B' R' U L' U' F' B'
B' R' U L' U' B' F'
F' R' U' L' B' U F'
U' R' U' F' L' B' U2
B' R' D F' U' L' U
F2 R' D F' B' R' B
F2 R' D B' F' R' B
F R' D F' B' R' B'
U R' D F' L' U' B'
B' R' D' F' U' L' U
F R' D B' F' R' B'
F R' D B2 D2 F' R
U R' D' F' L' U' B'
B' R' D2 F' U' L' U
B' R' F U R U' F2
U R' D2 F' L' U' B'
B' R' F' L D' L' B2
B' R' F' L D' B2 L'
D2 R' F' U' L' B' U
D' R' F' U' L' B' U
B' R' F' U' L' U D
B' R' F' U' L' U D'
B' R' F' U' L' U D2
B' R' F' U' L' D U
B' R' F' U' L' D' U
B' R' F' U' L' D2 U
B' R' F' U' D L' U
B' R' F' U' D' L' U
B' R' F' U' D2 L' U
B' R' F' D U' L' U
F' R' F' D B' R' B
B' R' F' D' U' L' U
B' R' F' D2 U' L' U
B' R' F' B U' L' U
B' R' F' B' U' L' U
F' R' F' B' D R' B
B' R' F' B2 U' L' U
U R' F' L' R U' B'
U R' F' L' R' U' B'
U R' F' L' R2 U' B'
U R' F' L' U' D B'
U R' F' L' U' D' B'
U R' F' L' U' D2 B'
D R' F' U' L' B' U
U R' F' L' U' B' D
U R' F' L' U' B' D'
U R' F' L' U' B' D2
U R' F' L' D U' B'
U R' F' L' D' U' B'
U R' F' L' D2 U' B'
U R' F' R L' U' B'
F2 R' F' B' R' D B2
U R' F' R' L' U' B'
U R' F' R2 L' U' B'
F R' F' D B' R' B'
U R' F' D L' U' B'
U R' F' D' L' U' B'
U R' F' D2 L' U' B'
F R' F' B D B2 R'
F R' F' B' D R' B2
B' R' B F' U' L' U
F R' B D F' B2 R'
F R' B D B2 F' R'
F R' B F' D B2 R'
F' R' B' F' D R' B
B' R' B' F' U' L' U
F2 R' B' D F' R' B
F2 R' B' F' R' D B2
F R' B' D F' R' B2
F R' B' F' D R' B2
B' R' B2 F' U' L' U
U' R2 L' B' R' U B
U' R2 U B' R' F' B
U' R2 U B' R' B F'
D' U L' U' B' R' F'
D2 U L' U' B' R' F'
B' U L' U' R' F' B'
B' U L' U' R' B' F'
D U L' U' B' R' F'
R' D F' U' L' B' U
U D L' U' B' R' F'
D' U R' F' L' U' B'
D2 U R' F' L' U' B'
F2 U R' F' L' R U'
F2 U R' F' R L' U'
D U R' F' L' U' B'
F U R' F' L' R2 U'
F U R' F' R2 L' U'
U D R' F' L' U' B'
D' U F' L' U' B' R'
D2 U F' L' U' B' R'
D U F' L' U' B' R'
U D F' L' U' B' R'
B' U F' L' U' R' B'
U D' L' U' B' R' F'
F' U' L' R B' R' U
F' U' L' R' B' R' U
F' U' L' R2 B' R' U
F' U' L' D B' R' U
F' U' L' D' B' R' U
F' U' L' D2 B' R' U
F' U' L' B' R' U D
F' U' L' B' R' U D'
F' U' L' B' R' U D2
F' U' L' B' R' D U
F' U' L' B' R' D' U
F' U' L' B' R' D2 U
F' U' L' B' D R' U
F' U' L' B' D' R' U
F' U' L' B' D2 R' U
R' D' F' U' L' B' U
F' U' R L' B' R' U
B2 U' R U B R' F'
U D' R' F' L' U' B'
F' U' R' L' B' R' U
F' U' R2 L' B' R' U
U D' F' L' U' B' R'
F' U' D L' B' R' U
F' U' D' L' B' R' U
F' U' D2 L' B' R' U
U D2 L' U' B' R' F'
F' U' B' L' R' B' U
F' U' B' R' L' B' U
U D2 R' F' L' U' B'
R' D2 F' U' L' B' U
U D2 F' L' U' B' R'
B' D R' F' U' L' U
F2 D R' F' B' R' B2
F2 D R' B' F' R' B2
R' F B' R' F2 D B2
D' F B' R' D F' B2
D' F B' R' D B2 F'
D' F B' R' F' D B2
D2 F B' R' D F' B2
D2 F B' R' D B2 F'
D2 F B' R' F' D B2
D F B' R' D F' B2
D F B' R' D B2 F'
D F B' R' F' D B2
F' D U' L' B' R' U
B' D F R' D F' B2
B' D F R' D B2 F'
B' D F R' F' D B2
U2 F' L' B' U' R' U'
F2 D F B' R' F' B
F2 D F B' R' B F'
U F' L' R' F' U' B'
U F' L' U' R B' R'
U F' L' U' R' B' R'
U F' L' U' R2 B' R'
U F' L' U' D B' R'
U F' L' U' D' B' R'
U F' L' U' D2 B' R'
U F' L' U' B' R' D
U F' L' U' B' R' D'
U F' L' U' B' R' D2
U F' L' U' B' D R'
U F' L' U' B' D' R'
U F' L' U' B' D2 R'
R' F' R U' L' B' U
U F' L' D U' B' R'
U F' L' D' U' B' R'
U F' L' D2 U' B' R'
U F' L' F U' B' R'
U F' L' F' U' B' R'
U F' L' F2 U' B' R'
F2 D F' B' R' F' B
F2 D F' B' R' B F'
B' D F2 D R' F' B
B' D F2 D R' B F'
R' F' R' U' L' B' U
F2 D F2 B' R' F' B
F2 D F2 B' R' B F'
R' F' R2 U' L' B' U
U F' R' L' F' U' B'
F2 D B' R' D F' B
F2 D B' R' D B F'
F2 D B' R' D' F' B
F2 D B' R' D' B F'
F2 D B' R' D2 F' B
F2 D B' R' D2 B F'
F2 D B' R' F' D B
F2 D B' R' F' D' B
F2 D B' R' F' D2 B
F2 D B' R' F' B D
F2 D B' R' F' B D'
F2 D B' R' F' B D2
F2 D B' R' B D F'
F2 D B' R' B D' F'
F2 D B' R' B D2 F'
F2 D B' R' B F' D
F2 D B' R' B F' D'
F2 D B' R' B F' D2
F2 D B' F R' F' B
F2 D B' F R' B F'
F2 D B' F' R' F' B
F2 D B' F' R' B F'
R' F' U' L' D B' U
R' F' U' L' D' B' U
R' F' U' L' D2 B' U
F2 D B' F2 R' F' B
F2 D B' F2 R' B F'
R' F' U' L' B' U D
R' F' U' L' B' U D'
R' F' U' L' B' U D2
R' F' U' L' B' D U
R' F' U' L' B' D' U
R' F' U' L' B' D2 U
D2 F' U' L' B' R' U
D' F' U' L' B' R' U
R' F' U' D L' B' U
F2 D B2 R' F' B R'
R' F' U' D' L' B' U
F2 D B2 R' B F' R'
R' F' U' D2 L' B' U
F D B' R' D F' B2
F D B' R' D B2 F'
F D B' R' F' D B2
R' F' U' B L' B' U
R' F' U' B' L' B' U
R' F' U' B2 L' B' U
D F' U' L' B' R' U
F2 D' L B' L' R' F'
F2 D' L B' R' L' F'
R' F' D U' L' B' U
R' F' D' U' L' B' U
U F' D L' U' B' R'
R' F' D2 U' L' B' U
U F' D' L' U' B' R'
B' D' R' F' U' L' U
U F' D2 L' U' B' R'
R' F' B' R' U' L' U
R' F' B' U' L' U R'
F' D' U' L' B' R' U
B' D' F R' D F' B2
B' D' F R' D B2 F'
B' D' F R' F' D B2
B' D' F2 D R' F' B
B' D' F2 D R' B F'
F2 D' B' D2 R' F' B
F2 D' B' D2 R' B F'
F D' B' R' D F' B2
F D' B' R' D B2 F'
F D' B' R' F' D B2
R' F2 D F B' R' B
R' F2 D B' R' F B
R' F2 D B' R' B F
R' F2 D B' F R' B
D2 F2 D B' R' F' B
D2 F2 D B' R' B F'
D' F2 D B' R' F' B
D' F2 D B' R' B F'
L' F2 D' L B' R' F'
D F2 D B' R' F' B
D F2 D B' R' B F'
B' D2 R' F' U' L' U
R' F2 B' D R' F B
R' F2 B' D R' B F
R' F2 B' D F R' B
D2 F2 B' D R' F' B
D2 F2 B' D R' B F'
D' F2 B' D R' F' B
D' F2 B' D R' B F'
F' D2 U' L' B' R' U
D F2 B' D R' F' B
D F2 B' D R' B F'
B' D2 F R' D F' B2
B' D2 F R' D B2 F'
B' D2 F R' F' D B2
B' D2 F2 D R' F' B
B' D2 F2 D R' B F'
F D2 B' R' D F' B2
F D2 B' R' D B2 F'
F D2 B' R' F' D B2
B' F R' D F' B2 D
B' F R' D F' B2 D'
B' F R' D F' B2 D2
B' F R' D B2 D F'
B' F R' D B2 D' F'
B' F R' D B2 D2 F'
B' F R' D B2 F' D
B' F R' D B2 F' D'
B' F R' D B2 F' D2
B' F R' D2 F' D' B2
B' F R' F' U R2 U'
B' F R' F' D B2 D
B' F R' F' D B2 D'
B' F R' F' D B2 D2
B' F R' F' B D B2
B' F R' F' B' D B2
B' F R' F' B2 D B2
B' F R' F2 D F B2
B' F R' F2 D B2 F
B' F R' B D F' B2
B' F R' B D B2 F'
B' F R' B F' D B2
B' F R' B' D F' B2
B' F R' B' D B2 F'
B' F R' B' F' D B2
B' F R' B2 D F' B2
B' F R' B2 D B2 F'
B' F R' B2 F' D B2
B F R' D F' B2 R'
B F R' D B2 F' R'
B F R' F' D B2 R'
F B R' D F' B2 R'
F B R' D B2 F' R'
F B R' F' D B2 R'
B' F D R' D F' B2
B' F D R' D B2 F'
B' F D R' F' D B2
B' F D' R' D F' B2
B' F D' R' D B2 F'
B' F D' R' F' D B2
F2 B D B2 R' F' B
F2 B D B2 R' B F'
U' B' R' U' F' L' U2
B' F D2 R' D F' B2
B' F D2 R' D B2 F'
B' F D2 R' F' D B2
D2 B' R' F' U' L' U
D' B' R' F' U' L' U
D B' R' F' U' L' U
U2 B' U' R' F' L' U'
B' F' R' U' L' U F'
F' B' R' U' L' U F'
F2 B' R' F' U R U'
F B' R' D F' B2 D
F B' R' D F' B2 D'
F B' R' D F' B2 D2
F B' R' D B2 D F'
F B' R' D B2 D' F'
F B' R' D B2 D2 F'
F B' R' D B2 F' D
F B' R' D B2 F' D'
F B' R' D B2 F' D2
F B' R' D2 F' D' B2
F B' R' F' U R2 U'
F B' R' F' D B2 D
F B' R' F' D B2 D'
F B' R' F' D B2 D2
F B' R' F' B D B2
F B' R' F' B' D B2
F B' R' F' B2 D B2
F B' R' F2 D F B2
F B' R' F2 D B2 F
F B' R' B D F' B2
F B' R' B D B2 F'
F B' R' B F' D B2
B' F' U' L' U R' F'
F B' R' B' D F' B2
F B' R' B' D B2 F'
F B' R' B' F' D B2
F B' R' B2 D F' B2
F B' R' B2 D B2 F'
F B' R' B2 F' D B2
D2 B' F R' D F' B2
D2 B' F R' D B2 F'
D2 B' F R' F' D B2
R' B' F R' F2 D B2
F' B' U' L' U R' F'
D' B' F R' D F' B2
D' B' F R' D B2 F'
D' B' F R' F' D B2
R' B' F' R' U' L' U
R' B' F' U' L' U R'
D B' F R' D F' B2
D B' F R' D B2 F'
D B' F R' F' D B2
R' B' F2 D R' F B
R' B' F2 D R' B F
D2 B' F2 D R' F' B
D2 B' F2 D R' B F'
R' B' F2 D F R' B
D' B' F2 D R' F' B
D' B' F2 D R' B F'
R B' D2 F2 D R' B
F2 B' D R' D F' B
F2 B' D R' D B F'
F2 B' D R' D' F' B
F2 B' D R' D' B F'
F2 B' D R' D2 F' B
F2 B' D R' D2 B F'
F2 B' D R' F' D B
F2 B' D R' F' D' B
F2 B' D R' F' D2 B
F2 B' D R' F' B D
F2 B' D R' F' B D'
F2 B' D R' F' B D2
F2 B' D R' B D F'
F2 B' D R' B D' F'
F2 B' D R' B D2 F'
F2 B' D R' B F' D
F2 B' D R' B F' D'
F2 B' D R' B F' D2
F2 B' D F R' F' B
F2 B' D F R' B F'
F2 B' D F' R' F' B
F2 B' D F' R' B F'
F2 B' D F2 R' F' B
F2 B' D F2 R' B F'
D B' F2 D R' F' B
D B' F2 D R' B F'
F B' D R' D F' B2
F B' D R' D B2 F'
F B' D R' F' D B2
F B' D' R' D F' B2
F B' D' R' D B2 F'
F B' D' R' F' D B2
F B' D2 R' D F' B2
F B' D2 R' D B2 F'
F B' D2 R' F' D B2
B' F2 R' F' U R U'
B' F2 D R' D F' B
B' F2 D R' D B F'
B' F2 D R' D' F' B
B' F2 D R' D' B F'
B' F2 D R' D2 F' B
B' F2 D R' D2 B F'
B' F2 D R' F' D B
B' F2 D R' F' D' B
B' F2 D R' F' D2 B
B' F2 D R' F' B D
B' F2 D R' F' B D'
B' F2 D R' F' B D2
B' F2 D R' B D F'
B' F2 D R' B D' F'
B' F2 D R' B D2 F'
B' F2 D R' B F' D
B' F2 D R' B F' D'
B' F2 D R' B F' D2
B' F2 D F R' F' B
B' F2 D F R' B F'
B' F2 D F' R' F' B
B' F2 D F' R' B F'
B' F2 D F2 R' F' B
B' F2 D F2 R' B F'
B F2 D B2 R' F' B
B F2 D B2 R' B F'
