L2 R U F L R
L2 R U F R L
R L2 U F L R
R L2 U F R L
L2 U F L D R2
L2 U F D L R2
L2 U F D R2 L
L2 U2 F' U' L F2
L2 U2 F' U' F2 L
F' U2 L2 U F L'
L2 F' U L F2 R
L2 R U R F L R
L2 R U R F R L
L2 R U R' F L R
L2 R U R' F R L
L2 R U R2 F L R
L2 R U R2 F R L
L2 R U D F L R
L2 R U D F R L
L2 R U D' F L R
L2 R U D' F R L
L2 R U D2 F L R
L2 R U D2 F R L
L2 R U F L R D
L2 R U F L R D'
L2 R U F L R D2
L2 R U F L D R
L2 R U F L D' R
L2 R U F L D2 R
L2 R U F R L D
L2 R U F R L D'
L2 R U F R L D2
L2 R U F R D L
L2 R U F R D' L
L2 R U F R D2 L
L2 R U F D L R
L2 R U F D R L
L2 R U F D' L R
L2 R U F D' R L
L2 R U F D2 L R
L2 R U F D2 R L
L2 R U F2 L F' R
L2 R D U F L R
L2 R D U F R L
L2 R D' U F L R
L2 R D' U F R L
L2 R D2 U F L R
L2 R D2 U F R L
R2 L' U' L' B U F
R2 L' U' B L' U F
F' L' U2 L' U F L'
R2 L' B L' U F L
R L2 U R F L R
R L2 U R F R L
R L2 U R' F L R
R L2 U R' F R L
R L2 U R2 F L R
R L2 U R2 F R L
R L2 U D F L R
R L2 U D F R L
R L2 U D' F L R
R L2 U D' F R L
R L2 U D2 F L R
R L2 U D2 F R L
R L2 U F L R D
R L2 U F L R D'
R L2 U F L R D2
R L2 U F L D R
R L2 U F L D' R
R L2 U F L D2 R
R L2 U F R L D
R L2 U F R L D'
R L2 U F R L D2
R L2 U F R D L
R L2 U F R D' L
R L2 U F R D2 L
L' R2 U' L' B U F
R L2 U F D L R
R L2 U F D R L
R L2 U F D' L R
R L2 U F D' R L
R L2 U F D2 L R
R L2 U F D2 R L
R L2 U F2 L F' R
L' R2 U' B L' U F
R L2 D U F L R
R L2 D U F R L
R L2 D' U F L R
R L2 D' U F R L
U' L2 R U F L R
