U L2 B' L U' B' R'
U2 D' F U R F' B
U2 D' F U R B F'
D' U2 F U R F' B
D' U2 F U R B F'
L2 F R B' L U' R'
U2 F U D' R F' B
U2 F U D' R B F'
U2 F D' U R F' B
U2 F D' U R B F'
U2 F B L R' U R2
U2 F B R' L U R2
L2 F B' L R U' R2
L2 F B' R L U' R2
U2 B R' F L U R
U2 B F L R' U R2
B F R' U D B2 R'
U2 B F R' L U R2
B F R' D U B2 R'
F B R' U D B2 R'
F B R' D U B2 R'
B' F U2 L R U' R2
L2 B' L R2 U' R B
B' F U2 R L U' R2
L2 B' L U' R B R2
L2 B' L F R U' R2
L2 B' R2 L U' R B
L2 B' F L R U' R2
L2 B' F R L U' R2
F B' U2 L R U' R2
F B' U2 R L U' R2
