F2 L2 U F' L' R
F2 L2 U F' R L'
R2 D' F L' R B2
R2 D' F L' B2 R
R2 D' F R L' B2
R2 D' F R B2 L'
R2 D' F B2 L' R
R2 D' F B2 R L'
R2 D' B2 F L' R
R2 D' B2 F R L'
R' F R D' L2 B2
R' F R D' B2 L2
R' F D' L2 R B2
R' F D' L2 B2 R
R' F D' R L2 B2
R' F D' R B2 L2
R' F D' B2 L2 R
R' F D' B2 R L2
L2 R' F' U' B' L' U2
F L2 R U B U' B'
F2 L2 R' F' U R F'
F L2 R' F' U R2 F
F L2 R' F' U F R2
R' L2 F' U' B' L' U2
F2 L2 U L F' L' R
F2 L2 U L F' R L'
F2 L2 U L' F' L' R
F2 L2 U L' F' R L'
F2 L2 U L2 F' L' R
F2 L2 U L2 F' R L'
F2 L2 U F' L' R D
F2 L2 U F' L' R D'
F2 L2 U F' L' R D2
F2 L2 U F' L' D R
F2 L2 U F' L' D' R
F2 L2 U F' L' D2 R
F2 L2 U F' R L' D
F2 L2 U F' R L' D'
F2 L2 U F' R L' D2
F2 L2 U F' R D L'
F2 L2 U F' R D' L'
F2 L2 U F' R D2 L'
F2 L2 U F' D L' R
F2 L2 U F' D R L'
F2 L2 U F' D' L' R
F2 L2 U F' D' R L'
F2 L2 U F' D2 L' R
F2 L2 U F' D2 R L'
F L2 F U F' L' R
F L2 F U F' R L'
F2 L2 B U F' L' R
F2 L2 B U F' R L'
F2 L2 B' U F' L' R
F2 L2 B' U F' R L'
F2 L2 B2 U F' L' R
F2 L2 B2 U F' R L'
F R L2 U B U' B'
F R U D' B U' B
F R U D2 B R2 U'
F R U B U' D' B2
F R U B U2 L2 U
F R U B D' U' B2
F R U B D2 R2 U'
F R U' L2 U2 B U'
F R D' U B U' B
F R D' B' D B' L2
F R D' B2 U B' U'
F R D2 U B R2 U'
F R D2 B' D L2 B2
F R D2 B' D B2 L2
F R B U' L2 U L2
F R B D' B2 D L2
F R B' D L2 D2 B2
F R B' D' B2 D2 L2
F R B2 U' L2 F U
F2 R' L2 F' U R F'
F R' L2 F' U R2 F
F R' L2 F' U F R2
F R' U' L2 F' U R2
F R' U' F' L2 U R2
L2 U' B' R' U' F' U'
D' R' F R B2 D' L2
B' R' F R D' L2 B2
B' R' F R D' B2 L2
B2 R' F R D' L2 B2
B2 R' F R D' B2 L2
B' R' F D' L2 R B2
B' R' F D' L2 B2 R
B' R' F D' R L2 B2
B' R' F D' R B2 L2
B' R' F D' B2 L2 R
B' R' F D' B2 R L2
D R' F R D' L2 B'
B R' F R D' L2 B2
B R' F R D' B2 L2
D' R' F B2 R D' L2
D' R' F B2 D' L2 R
D' R' F B2 D' R L2
B2 R' F D' L2 R B2
B2 R' F D' L2 B2 R
B2 R' F D' R L2 B2
B2 R' F D' R B2 L2
B2 R' F D' B2 L2 R
B2 R' F D' B2 R L2
F' R' F' L2 U F' R
D R' F D' L2 R B'
D R' F D' L2 B' R
D R' F D' R L2 B'
B R' F D' L2 R B2
B R' F D' L2 B2 R
B R' F D' R L2 B2
B R' F D' R B2 L2
B R' F D' B2 L2 R
B R' F D' B2 R L2
D' R' F' U F2 R B2
D' R' F' U F2 B2 R
D' R' F' U B2 F2 R
F2 R' F' L2 U R F'
D' R' B2 F R D' L2
D' R' B2 F D' L2 R
D' R' B2 F D' R L2
B' R2 D' F L' R B2
B' R2 D' F L' B2 R
B' R2 D' F R L' B2
B' R2 D' F R B2 L'
B' R2 D' F B2 L' R
B' R2 D' F B2 R L'
B2 R2 D' F L' R B2
B2 R2 D' F L' B2 R
B2 R2 D' F R L' B2
B2 R2 D' F R B2 L'
B2 R2 D' F B2 L' R
B2 R2 D' F B2 R L'
B' R2 D' B2 F L' R
B' R2 D' B2 F R L'
B2 R2 D' B2 F L' R
B2 R2 D' B2 F R L'
B R2 D' F L' R B2
B R2 D' F L' B2 R
B R2 D' F R L' B2
B R2 D' F R B2 L'
B R2 D' F B2 L' R
B R2 D' F B2 R L'
B R2 D' B2 F L' R
B R2 D' B2 F R L'
D' R2 B2 D' F L' R
D' R2 B2 D' F R L'
R' D F R D' L2 B'
R' D F D' L2 R B'
R' D F D' L2 B' R
R' D F D' R L2 B'
R2 D F L2 R B' L
R2 D F L2 B' L R
R2 D F L2 B' R L
R2 D F R L2 B' L
F2 U F' R D' L' B2
F2 U F' R D' B2 L'
F2 U F' D' L' R B2
F2 U F' D' L' B2 R
F2 U F' D' R L' B2
F2 U F' D' R B2 L'
F2 U F' D' B2 L' R
F2 U F' D' B2 R L'
R2 D' R F L' R B2
R2 D' R F L' B2 R
R2 D' R F R L' B2
R2 D' R F R B2 L'
R2 D' R F B2 L' R
R2 D' R F B2 R L'
R2 D' R B2 F L' R
R2 D' R B2 F R L'
R2 D' R' F L' R B2
R2 D' R' F L' B2 R
R2 D' R' F R L' B2
R2 D' R' F R B2 L'
R2 D' R' F B2 L' R
R2 D' R' F B2 R L'
R2 D' R' B2 F L' R
R2 D' R' B2 F R L'
R2 D' R2 F L' R B2
R2 D' R2 F L' B2 R
R2 D' R2 F R L' B2
R2 D' R2 F R B2 L'
R2 D' R2 F B2 L' R
R2 D' R2 F B2 R L'
R2 D' R2 B2 F L' R
R2 D' R2 B2 F R L'
R' D' F R B2 D' L2
R' D' F B2 R D' L2
R' D' F B2 D' L2 R
R' D' F B2 D' R L2
R2 D' F L R B2 L2
R2 D' F L B2 L2 R
R2 D' F L B2 R L2
R2 D' F L' R B2 D
R2 D' F L' R B2 D'
R2 D' F L' R B2 D2
R2 D' F L' R' B2 R2
R2 D' F L' B' R B'
R2 D' F L' B2 R D
R2 D' F L' B2 R D'
R2 D' F L' B2 R D2
R2 D' F L' B2 D R
R2 D' F L' B2 D' R
R2 D' F L' B2 D2 R
R2 D' F R L B2 L2
R2 D' F R L' B2 D
R2 D' F R L' B2 D'
R2 D' F R L' B2 D2
R2 D' F R B L' B
R2 D' F R B2 L' D
R2 D' F R B2 L' D'
R2 D' F R B2 L' D2
R2 D' F R B2 D L'
R2 D' F R B2 D' L'
R2 D' F R B2 D2 L'
R2 D' F R' L' B2 R2
R2 D' F R' B2 L' R2
R2 D' F R' B2 R2 L'
R' D' F' U F2 R B2
R' D' F' U F2 B2 R
R' D' F' U B2 F2 R
R2 D' F B L' B R
R2 D' F B' R B' L'
R2 D' F B2 L' R D
R2 D' F B2 L' R D'
R2 D' F B2 L' R D2
R2 D' F B2 L' D R
R2 D' F B2 L' D' R
R2 D' F B2 L' D2 R
R2 D' F B2 R L' D
R2 D' F B2 R L' D'
R2 D' F B2 R L' D2
R2 D' F B2 R D L'
R2 D' F B2 R D' L'
R2 D' F B2 R D2 L'
R2 D' F B2 D L' R
R2 D' F B2 D R L'
R2 D' F B2 D' L' R
R2 D' F B2 D' R L'
R2 D' F B2 D2 L' R
R2 D' F B2 D2 R L'
F U' L2 B U L R
F U' L2 B U R L
R2 D' B F L' B R
R' D' B2 F R D' L2
R' D' B2 F D' L2 R
R' D' B2 F D' R L2
R2 D' B' F R B' L'
R2 D' B2 R F L' R
R2 D' B2 R F R L'
R2 D' B2 R' F L' R
R2 D' B2 R' F R L'
R2 D' B2 R2 F L' R
R2 D' B2 R2 F R L'
R2 D' B2 F L' R D
R2 D' B2 F L' R D'
R2 D' B2 F L' R D2
R2 D' B2 F L' D R
R2 D' B2 F L' D' R
R2 D' B2 F L' D2 R
