U' L F U' F' B'
U' L F U' B' F'
L' F U' L F U'
U' L R F U' F' B'
U' L R F U' B' F'
U' L R' F U' F' B'
U' L R' F U' B' F'
U' L R2 F U' F' B'
U' L R2 F U' B' F'
B L U2 B' U L' U'
U' L D F U' F' B'
U' L D F U' B' F'
U' L D' F U' F' B'
U' L D' F U' B' F'
U' L D2 F U' F' B'
U' L D2 F U' B' F'
U' L F U' D F' B'
U' L F U' D B' F'
U' L F U' D' F' B'
U' L F U' D' B' F'
U' L F U' D2 F' B'
U' L F U' D2 B' F'
U' L F U' F' D B'
U' L F U' F' D' B'
U' L F U' F' D2 B'
U' L F U' F' B' D
U' L F U' F' B' D'
U' L F U' F' B' D2
U' L F U' B' D F'
U' L F U' B' D' F'
U' L F U' B' D2 F'
U' L F U' B' F' D
U' L F U' B' F' D'
U' L F U' B' F' D2
U' L F D U' F' B'
U' L F D U' B' F'
U' L F D' U' F' B'
U' L F D' U' B' F'
U' L F D2 U' F' B'
U' L F D2 U' B' F'
B L F2 U R U B'
B L B U' L' U' B2
U' L B' U F B U'
U' L B' U B F U'
B L B2 U' L' U' B
L2 R' D F2 L' B' R'
B L' F L2 U' L' U'
F' L' F U' L F U'
B' L' F U' L U' R'
F2 L' F U' L F U'
F L' F U' L F U'
R' L2 D F2 L' B' R'
B' L2 R' D F2 L' B'
B L2 U2 D F2 R B
B' L2 D R' F2 L' B'
B L2 D L' U2 F2 B'
B L2 D L' U2 B' F2
B L2 D U2 F2 R B
B L2 D' L' B2 U2 B
B' L2 D' B2 L F U2
B L2 D' B2 L' U2 B'
U' R L F U' F' B'
U' R L F U' B' F'
B R U L R' U2 B'
B R U R' L U2 B'
B' R U' B2 L R2 B'
B' R U' B2 L B' R2
B' R U' B2 R2 L B'
B2 R U' B2 L B' R'
B R U' B2 L R' B'
B R U' B2 R' L B'
L2 U' L F L R U'
L2 U' L F R L U'
B' R B2 U' L R2 B'
B' R B2 U' L B' R2
B' R B2 U' R2 L B'
B R B2 U' L R' B'
B R B2 U' R' L B'
U' R' L F U' F' B'
U' R' L F U' B' F'
B' R' L2 D F2 L' B'
B R' U L R U2 B'
B R' U R L U2 B'
L2 U2 D F R F B
L2 U2 D F R B F
U' R2 L F U' F' B'
U' R2 L F U' B' F'
L2 U2 F R D F2 B
L2 U2 F R D B F2
L2 U2 F R B D F2
L2 U2 F D R F2 B
L2 U2 F D R B F2
L2 U2 F' D F2 R B
B R2 U L R2 U2 B'
B R2 U R2 L U2 B'
L2 D L F U2 F R
L2 D L' B' R' F2 L'
L2 D R' F2 L' B' R'
L2 D U2 F R F B
L2 D U2 F R B F
L' D F U' L F U'
L2 D F U2 F R B
L2 D B L F U2 F
L2 D B' R' F2 L' B'
U2 D F L' U L R
U2 D F L' U R L
U' D F' R U' F R
L2 D' L' B2 U2 B R'
F' U' L F U' F' B'
F' U' L F U' B' F'
F2 U' L F U' F' B'
F2 U' L F U' B' F'
L' D' F U' L F U'
F U' L F U' F' B'
F U' L F U' B' F'
L2 D' B L F B U2
L2 D' B L B F U2
D U' F' R U' F R
L2 D' B2 U2 R B R'
B' U2 L U R' B' L'
L' D2 F U' L F U'
D U2 F L' U L R
D U2 F L' U R L
R2 D2 B' U' L2 R' B
R2 D2 B' U' R' L2 B
R2 D2 B' U' R' B L2
U' F L F U' F2 B'
U' F L F U' B' F2
U2 F L U R B' L'
U2 F L U B' L' R
U2 F L U B' R L'
L' F U' L D F U'
L' F U' L D' F U'
L' F U' L D2 F U'
L' F U' L F U' D
L' F U' L F U' D'
L' F U' L F U' D2
L' F U' L F D U'
L' F U' L F D' U'
L' F U' L F D2 U'
L' F U' D L F U'
L' F U' D' L F U'
L' F U' D2 L F U'
L' F U' F L F U'
L' F U' F' L F U'
L' F U' F2 L F U'
L' F D U' L F U'
L' F D' U' L F U'
L' F D2 U' L F U'
L' F B D L B' U2
U' F2 L F U' F B'
U' F2 L F U' B' F
L F2 U R B U B2
D' B L U' L' R' U'
D' B L U' R' L' U'
L F2 B' R' D' F2 L'
L2 B L F U' L U'
L B L U' L2 U' B2
L B L U2 B2 D F2
D' B R' U L R U2
D' B R' U R L U2
R' B U L R U2 B'
R' B U R L U2 B'
R2 B U L R2 U2 B'
R2 B U R2 L U2 B'
L' B D F L B' U2
L2 B D L F U2 F
L2 B D' L F B2 U2
L2 B D' L B2 F U2
L' B F D L B' U2
L B' L R' D F2 L'
L B' L D R' F2 L'
L2 B' R' D F2 L' B'
L B' R' L D F2 L'
D' B' U2 L U L' R'
D' B' U2 L U R' L'
R2 B' U' R' B2 L B'
R2 B' U' D2 L2 R' B
R2 B' U' D2 R' L2 B
R2 B' U' D2 R' B L2
R B' U' L R' B' L
R B' U' R' L B' L
U B' U' B L U2 B'
R B' U' R' B' L B'
L2 B' D R' F2 L' B'
L2 B' D' B2 L F U2
R2 B' D2 U' L2 R' B
R2 B' D2 U' R' L2 B
R2 B' D2 U' R' B L2
L B' F2 R' D' F2 L'
L B2 U' L' U' B R'
R B2 U' L B R' B2
