R B' U' R' F' U'
F L2 U R F L' B
F L2 U R F B L'
F L2 U R B F L'
F L2 U' R F L' B'
B' R U' R' F' R' U'
B' R U2 D B' R' B'
B' R U2 B D B2 R'
B' R U2 B' D R' B2
B' R D U2 B' R' B'
B' R D F U2 R B2
B' R D F U2 B2 R
B' R D F' L' U2 B2
B' R D' F' L' F' U2
B' R F U' R2 U' R'
B' R F U2 D R B2
B' R F U2 D B2 R
B' R F D U2 R B2
B' R F D U2 B2 R
B' R F D' F2 L' U2
B' R F' L' U' R2 U'
B' R F' L' U2 D B2
B' R F' L' D U2 B2
B' R F' L' D' F2 U2
B' R F' D L' U2 B2
B' R F' D' L' F2 U2
B' R F' D' F2 U2 R
D' R B' U' R' F' U'
D2 R B' U' R' F' U'
D R B' U' R' F' U'
B R B2 U' R' F' U'
F U L2 R F L' B
F U L2 R F B L'
F U L2 R B F L'
F U R L2 F L' B
F U R L2 F B L'
F U R L2 B F L'
R D B' U' R' F' U'
B' U' R' D F' B2 U'
B' U' R' D B2 F' U'
B' U' R' D2 F' U' L2
B' U' R' F' U R2 U2
B' U' R' F' U' D2 L2
B' U' R' F' D B2 U'
B' U' R' F' D2 U' L2
R D' B' U' R' F' U'
B' U' F' R' F' U' L'
R D2 B' U' R' F' U'
R F B' U' R' U' R2
R F B' U2 R D B2
R F' B' L' U' R' U'
B2 D' B R F' L' U2
L2 F2 U L' F' R B
L2 F2 U' L' F' R B'
L2 F2 U' L' F' B' R
L2 F2 U' L' B' F' R
U' B' R U B L U
R B' L U' R' F' U'
R B' L' U' R' F' U'
R B' L2 U' R' F' U'
R B' U' R' D F' U'
R B' U' R' D' F' U'
R B' U' R' D2 F' U'
R B' U' R' F' U' D
R B' U' R' F' U' D'
R B' U' R' F' U' D2
R B' U' R' F' D U'
R B' U' R' F' D' U'
R B' U' R' F' D2 U'
R B' U' D R' F' U'
R B' U' D' R' F' U'
R B' U' D2 R' F' U'
R B' U' F R' F' U'
R B' U' F' R' F' U'
R B' U' F2 R' F' U'
R B' U2 B' D' R' B
R B' D U' R' F' U'
R B' D' U' R' F' U'
R B' D2 U' R' F' U'
R B' F U' R' U' R2
R B' F U2 R D B2
R B' F' L' U' R' U'
