F R F' U B R'
F L R F' U B R'
F L' R F' U B R'
F L2 R F' U B R'
F R L F' U B R'
F R L' F' U B R'
F R L2 F' U B R'
F R D2 F' U B R
F R F' L U B R'
F R F' L' U B R'
F R F' L2 U B R'
F R F' U B R' D
F R F' U B R' D'
F R F' U B R' D2
F R F' U B D R'
F R F' U B D' R'
F R F' U B D2 R'
F R F' B' U B2 R'
R2 U' R' F' B L R'
R2 U' R' F' B R' L
R2 U' R' B L F' R'
R2 U' R' B F' L R'
R2 U' R' B F' R' L
F R B' F' U B2 R'
R2 U' B L R' F' B
R2 U' B L R' B F'
R2 U' B R' L F' B
R2 U' B R' L B F'
R2 U' B R' F' L B
R U2 F' U B R' F'
L' F R F' U B R'
L2 F R F' U B R'
L F R F' U B R'
R F B R' D' L2 F2
R F B R' D' F2 L2
R' F' U' L' B U' R'
R' F' U' B L' U' R'
R F' U2 L' U' B R'
R' B U F' U2 R' F'
R' B U' R2 B R F'
R2 B U' R' F' B L
R2 B U' R' B L F'
R2 B U' R' B F' L
B F R F' U B R2
F B R F' U B R2
R B F R' D' L2 F2
R B F R' D' F2 L2
