U' L U' R U' L2
F2 L' U' L2 R U2
F2 L' U' R L2 U2
U2 R U L U2 L2
U2 R U' L' D2 R2
U2 R B2 U' L' R'
U2 R B2 U' R' L'
U R' D B2 L' R'
U R' D B2 R' L'
L U2 R U' L2 R'
L U2 R U' R' L2
B2 U L' R' D B2
B2 U R' L' D B2
B2 U R' D L' B2
B2 U R' D B2 L'
B2 U2 R U' L' R2
B2 U2 R U' R2 L'
L2 F2 L' U L2 R
L2 F2 L' U R L2
U2 B2 R U' L' R2
U2 B2 R U' R2 L'
U B2 L' R' D B2
R B2 L U' L2 R'
R B2 L U' R' L2
U B2 R' L' D B2
U B2 R' D L' B2
U B2 R' D B2 L'
F2 L R U L2 R' U
F2 L R U R' L2 U
U' L R U2 L2 D' B2
U' L R' U' R2 U' L2
U' L R' U2 L2 D B2
U' L R2 U' R' U' L2
L R U2 R' U L2 R
L R U2 R' U R L2
R L U2 R' U L2 R
R L U2 R' U R L2
B2 L U L2 R' D B2
B2 L U R' L2 D B2
U' L U D F2 L' U
U' L U F2 L' U L'
U2 L U' L' R U' L'
U' L U' R U' L2 D
U' L U' R U' L2 D'
U' L U' R U' L2 D2
U2 L U' R L' U' L'
U' L U' R D' B2 U'
U' L U' R B U' L2
U' L U' R B' U' L2
U' L U' R B2 U' L2
U' L U' D' R B2 U'
U' L U' D' B2 R U'
U' L U' B R U' L2
U' L U' B' R U' L2
U' L U' B2 R U' L2
U' L U2 L2 U R U'
D2 L U2 R U' L2 R'
D2 L U2 R U' R' L2
D' L U2 R U' L2 R'
D' L U2 R U' R' L2
B2 L U2 R U' L2 R2
B2 L U2 R U' R2 L2
D L U2 R U' L2 R'
D L U2 R U' R' L2
U' L D U F2 L' U
B2 L D F2 L' U R'
U' L D' U' R B2 U'
U' L D' U' B2 R U'
U' L D2 R2 U' R' U'
B2 L F2 L' U L' R'
B2 L F2 L' U R' L'
U' L F2 U L' U L'
U L' R D2 R2 D B2
U L' R' D B2 D R2
U L' R' D2 R2 D' B2
F2 L' U R' D2 L2 R2
F2 L' U R' D2 R2 L2
U L' U R U L2 U2
U L' U R U' D2 R2
U L' U R D F2 U'
U L' U R D2 U' R2
U L' U D R F2 U'
F2 L' U F2 L' F2 R
U L' U D2 R U' R
F2 L' U' L2 R U2 D
F2 L' U' L2 R U2 D'
F2 L' U' L2 R U2 D2
F2 L' U' L2 R D U2
F2 L' U' L2 R D' U2
F2 L' U' L2 R D2 U2
F2 L' U' L2 D R U2
F2 L' U' L2 D' R U2
F2 L' U' L2 D2 R U2
F2 L' U' R L2 U2 D
F2 L' U' R L2 U2 D'
F2 L' U' R L2 U2 D2
F2 L' U' R L2 D U2
F2 L' U' R L2 D' U2
F2 L' U' R L2 D2 U2
F2 L' U' R U2 D2 R2
F2 L' U' R D2 U2 R2
F2 L' U' D2 R U2 R
F2 L' U2 D F2 U' L'
U L' U2 L2 U' R U'
F2 L' D U2 F2 U' L'
U L' D R' D R2 B2
U L' D R' D B2 R2
U L' D U R F2 U'
F2 L' D' F2 B2 U L'
F2 L' D' B2 U' R U2
F2 L' D' B2 F2 U L'
F2 L' D2 U' R U2 R
U L' D2 R' D R' B2
U L' D2 R2 U R' U'
F2 L' D2 F2 U L' R2
F2 L' D2 F2 U R2 L'
U L' D2 U R U' R
B2 L' F2 L' U L R'
B2 L' F2 L' U R' L
F2 L' F2 U D2 L' R2
F2 L' F2 U D2 R2 L'
F2 L' F2 U' L2 U2 L
F2 L' F2 D' B2 U L'
F2 L' F2 D2 U L' R2
F2 L' F2 D2 U R2 L'
F2 L' B U' L2 R U2
F2 L' B U' R L2 U2
F2 L' B' U' L2 R U2
F2 L' B' U' R L2 U2
F2 L' B2 U' L2 R U2
F2 L' B2 U' R L2 U2
B2 L2 U L R' D B2
B2 L2 U R' L D B2
B2 L2 U R' D L B2
B2 L2 U2 R U' L R2
B2 L2 U2 R U' R2 L
R U L U R' U L2
L U L2 U R U' R'
L' U R D F2 U' F2
D2 L2 F2 L' U L2 R
D2 L2 F2 L' U R L2
D' L2 F2 L' U L2 R
D' L2 F2 L' U R L2
F2 L2 F2 L U L2 R
F2 L2 F2 L U R L2
B2 L2 F2 L' U L2 R'
B2 L2 F2 L' U R' L2
D L2 F2 L' U L2 R
D L2 F2 L' U R L2
L' U D R F2 U' F2
L U D F2 L' U F2
U' R L U2 L2 D' B2
F2 R L U L2 R' U
F2 R L U R' L2 U
U R L' D2 R2 D B2
U2 R U L R U2 L2
U2 R U L R' U2 L2
U2 R U L R2 U2 L2
U2 R U L U2 L2 D
U2 R U L U2 L2 D'
U2 R U L U2 L2 D2
U2 R U L D2 R2 U2
U2 R U R L U2 L2
U2 R U R' L U2 L2
U2 R U R2 L U2 L2
U2 R U D L U2 L2
U2 R U D' L U2 L2
U2 R U D2 L U2 L2
