D F2 L' B' U' B
B2 L R F U B2 R'
D' L R F B2 U B2
D' L R B2 F U B2
D2 L R2 U' R' F U
D2 L R2 U' F R' U
D' L U' R F B2 U
D' L U' R B2 F U
D' L U' B2 R F U
L R F B2 U R' B2
R L F B2 U R' B2
R' L F' D' L2 F2 R
L R B2 F U R' B2
R L B2 F U R' B2
D' L B2 R F U B2
D L' U F2 B' L' U'
D L' U B' F2 L' U'
L R' F' D' L2 F2 R
F2 L' F2 B' U' B R
D L' F2 B' L' U' B
F2 L' B' U L' U2 B
F2 L' B' F2 U' B R
D L' B' F2 L' U' B
U2 L2 R' U F' R2 U
U2 L2 U R F' U L'
D' R L F B2 U B2
B2 R L F U B2 R'
D' R L B2 F U B2
B R U B L B2 R'
L' U F2 B' L' U' R
B R U' L2 F R U2
L' U B' F2 L' U' R
U' R D' F' B2 U L'
U' R D' B2 F' U L'
B R D' B2 U B L
U' R D2 F' U L' R2
U' R D2 F' U R2 L'
U' R F U' L2 R U2
U' R F U' R L2 U2
U' R F' U D2 L' R2
U' R F' U D2 R2 L'
U' R F' U' L2 U2 L
U' R F' D' B2 U L'
U' R F' D2 U L' R2
U' R F' D2 U R2 L'
L U' R F U' L U2
L U' R F B2 U R'
L U' R B2 F U R'
D2 R B' U B L R
D2 R B' U B R L
D' R B2 L F U B2
D' R B2 U B L B
U2 R' L2 U F' R2 U
L U' B2 R F U R2
D2 R2 L U' R' F U
D2 R2 L U' F R' U
D2 R2 U B U' L F
D2 R2 U' R' F' U L'
D2 R2 U' F' R' U L'
D U F2 L' B U' L
R D' L F B2 U B2
U D F2 L' B U' L
R D' L B2 F U B2
D U F2 B L' U' L2
U D F2 B L' U' L2
D U B F2 L' U' L2
U D B F2 L' U' L2
U' D' R F' B2 U L'
D' U' R F' B2 U L'
D' U' R B2 F' U L'
U' D' R B2 F' U L'
R D' B2 L F U B2
R D' B2 U B L B
D' U' B2 R F' U L'
U' D' B2 R F' U L'
R D2 B' U B L R2
R D2 B' U B R2 L
F2 D L' F2 B' U' B
F2 D L' B' F2 U' B
B' D F2 L' B' U' B2
U' F' U' L2 U2 L F
B D' R B2 U B L
D2 F2 L' B' U' B R2
D F2 L' R B' U' B
D F2 L' R' B' U' B
D F2 L' R2 B' U' B
D F2 L' D B' U' B
D F2 L' D' B' U' B
D F2 L' D2 B' U' B
D F2 L' B' U' D B
D F2 L' B' U' D' B
D F2 L' B' U' D2 B
D F2 L' B' U' B D
D F2 L' B' U' B D'
D F2 L' B' U' B D2
D F2 L' B' D U' B
D F2 L' B' D' U' B
D F2 L' B' D2 U' B
L' F2 R U B' L' U'
D F2 R L' B' U' B
D F2 R' L' B' U' B
D F2 R2 L' B' U' B
L' F2 U B' L' U' R
F2 D2 L' B' U' B R2
D F2 D L' B' U' B
D F2 D' L' B' U' B
D F2 D2 L' B' U' B
L' F2 B' L' U' B R
D F2 B' L' B' U' B2
D F2 B2 L' B' U' B'
R B U B L B2 R'
R B U' L2 F R U2
U B D F2 L' U' L2
R B D' B2 U B L
R B' U D2 B L R2
R B' U D2 B R2 L
R B' U B D2 L R2
R B' U B D2 R2 L
R B' U' L2 U2 B L
L' B' F2 L' U' B R
R B' D2 U B L R2
R B' D2 U B R2 L
D' B2 L R F U B2
D B' F2 L' B' U' B2
D' B2 R L F U B2
D' B2 R U B L B
R B2 L F U B2 R'
L B2 R F U R2 B2
L B2 R F U B2 R2
D B2 F2 L' B' U' B'
