F' R U D2 B2 L
F' R U' R' F2 U2
F' R U' F2 R' U2
F' R D2 U B2 L
F U' L' U L U2
U' F U' L' U' L
F' D2 R U B2 L
F' L R U D2 B2 L
F' L R U' R' F2 U2
F' L R U' F2 R' U2
F' L R D2 U B2 L
F L U D2 R2 U R2
F L U' L2 U L2 U2
F L U' L2 U' D2 R2
F L U' L2 D F2 U'
F L U' L2 D2 U' R2
F L U2 D F2 D R2
F L U2 F2 D R2 F2
F L U2 F2 D F2 R2
F L D U2 F2 D R2
F L D' B2 U B2 U
F L D' B2 U2 D' R2
F L D' B2 D L2 U2
F L D' B2 D' U2 R2
F' L D2 R U B2 L
F L D2 U R2 U R2
F L B U' L2 F U'
F L B2 D L2 U2 F2
F L B2 D' B2 U2 R2
F' L' R U D2 B2 L
F' L' R U' R' F2 U2
F' L' R U' F2 R' U2
F' L' R D2 U B2 L
F' L' D2 R U B2 L
F' L2 R U D2 B2 L
F' L2 R U' R' F2 U2
F' L2 R U' F2 R' U2
F' L2 R D2 U B2 L
F L2 U B2 R' U R
F L2 U' L U L' U2
F L2 U' L F2 U' R
F' L2 D2 R U B2 L
F L2 B2 U R' B2 U
F' R L U D2 B2 L
F' R L U' R' F2 U2
F' R L U' F2 R' U2
F' R L D2 U B2 L
F' R L' U D2 B2 L
F' R L' U' R' F2 U2
F' R L' U' F2 R' U2
F' R L' D2 U B2 L
F' R L2 U D2 B2 L
F' R L2 U' R' F2 U2
F' R L2 U' F2 R' U2
F' R L2 D2 U B2 L
F' R U L D2 B2 L
F' R U L' D2 B2 L
F' R U L2 D2 B2 L
F' R U D2 L B2 L
F' R U D2 L' B2 L
F' R U D2 L2 B2 L
F' R U D2 B2 L D
F' R U D2 B2 L D'
F' R U D2 B2 L D2
F' R U D2 B2 D L
F' R U D2 B2 D' L
F' R U D2 B2 D2 L
F' R U B2 L D2 B2
F' R U B2 D2 L B2
D R U F' D2 B2 L
F' R U' R F2 R2 U2
F' R U' R' U2 D2 B2
F' R U' R' D2 U2 B2
F' R U' R' F2 U2 D
F' R U' R' F2 U2 D'
F' R U' R' F2 U2 D2
F' R U' R' F2 D U2
F' R U' R' F2 D' U2
F' R U' R' F2 D2 U2
F' R U' R2 F2 U2 L'
F' R U' D2 R' U2 B2
F' R U' F R' F U2
F' R U' F2 R' U2 D
F' R U' F2 R' U2 D'
F' R U' F2 R' U2 D2
F' R U' F2 R' D U2
F' R U' F2 R' D' U2
F' R U' F2 R' D2 U2
F' R U' F2 D R' U2
F' R U' F2 D' R' U2
F' R U' F2 D2 R' U2
D R U' F R' U2 F2
F' R D' L2 U' R' U2
F' R D2 L U B2 L
F' R D2 L' U B2 L
F' R D2 L2 U B2 L
F' R D2 U L B2 L
F' R D2 U L' B2 L
F' R D2 U L2 B2 L
F' R D2 U B2 L D
F' R D2 U B2 L D'
F' R D2 U B2 L D2
F' R D2 U B2 D L
F' R D2 U B2 D' L
F' R D2 U B2 D2 L
F' R D2 U' R' U2 B2
F' R D2 F U B2 L
F' R D2 F' U B2 L
F' R D2 F2 U B2 L
U' R F U' L' U' L
F' R F U' R' F U2
F' R F U' F R' U2
F' R F' U' F' R' U2
R' U' R F U' L' U'
R U' R' F U' L' U'
R' U' D R F U2 F2
R2 U' R2 F U' L' U'
