B L B' R2 F' R U'
B' L' R' F L' B2 U
B' L' R' F B2 L' U
B' L' R' B2 F L' U
B' L' F L' R' B2 U
U2 L' F L' B R U
B' L' F R' L' B2 U
B' L' F R' B2 L' U
B L' F L' U2 L' U'
B L' F D L' U F2
U2 L' F B L' R U
U2 L' F B R L' U
B L' F D2 L' R2 U
B L' F D2 R2 L' U
F L' F B U2 L U'
F L' F B' R' B2 U
U2 L' B F L' R U
U2 L' B F R L' U
F L' B F U2 L U'
F L' B' R' F B2 U
F L' B' R' B2 F U
F L' B' F R' B2 U
B' R' L' F L' B2 U
B' R' L' F B2 L' U
B' R' L' B2 F L' U
B' R' F L' F B2 U
B' R' F L' B2 F U
B' R' F B2 L' F U
D2 R' B L R' F' U'
D2 R' B R' L F' U'
D2 R' B R' F' L U'
B' R' B2 L' F L' U
B' R' B2 F L' F U
L' U2 F L' B R U
L' U2 F B L' R U
L' U2 F B R L' U
L' U2 B F L' R U
L' U2 B F R L' U
F U2 L' F B R U
F U2 L' B F R U
B U2 D' L U' B' L
L' F L' B U2 L U'
L' F L' B' R' B2 U
U2 F L' B R F U
F U2 B L' F R U
L' F B L' U D F2
L' F B L' U2 L2 U'
L' F B L' D U F2
L' F B L' D2 R2 U
U2 F B L' R F U
U2 F B R L' F U
L' F B' L' R' B2 U
L' F B' R' L' B2 U
L' F B' R' B2 L' U
R2 F' R B L B' U'
R2 F' B L R B' U'
R2 F' B L B' R U'
R2 F' B R L B' U'
B D' U2 L U' B' L
R2 B L F' R B' U'
R2 B L F' B' R U'
R2 B L B' F' R U'
U2 B L' F L' R U
U2 B L' F R L' U
D2 B U2 L R' B U'
D2 B U2 R' L B U'
B' F L' R' F B2 U
B' F L' R' B2 F U
B' F L' F R' B2 U
B F L' U2 L2 B' U'
B F L' D F U F
B F L' D2 R2 F U
B F L' D2 F R2 U
B F L' F U D F2
B F L' F U2 L2 U'
B F L' F D U F2
B F L' F D2 R2 U
F B L' U2 L2 B' U'
F B L' D F U F
F B L' D2 R2 F U
F B L' D2 F R2 U
F B L' F U D F2
F B L' F U2 L2 U'
F B L' F D U F2
F B L' F D2 R2 U
B' F R' L' F B2 U
B' F R' L' B2 F U
L' B F L' U D F2
L' B F L' U2 L2 U'
L' B F L' D U F2
L' B F L' D2 R2 U
B' F R' B2 L' F U
U2 B F L' R F U
U2 B F R L' F U
R2 B F' L R B' U'
R2 B F' L B' R U'
R2 B F' R L B' U'
F' B U2 L R B' U'
F' B U2 L B' R U'
F' B U2 R L B' U'
F2 B U2 L B' R' U'
L' B' R' F L' B2 U
L' B' R' F B2 L' U
L' B' R' B2 F L' U
F B' L' R' F B2 U
F B' L' R' B2 F U
F B' L' F R' B2 U
F B' R' L' F B2 U
F B' R' L' B2 F U
F B' R' B2 L' F U
L' B' F L' R' B2 U
L' B' F R' L' B2 U
L' B' F R' B2 L' U
B F' U2 L R B' U'
B F' U2 L B' R U'
B F' U2 R L B' U'
B F2 U2 L B' R' U'
